cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason
27,2026-04-11T11:08:27.189249+00:00,ETHUSDT,long,8333.3333,2241.91,2241.8,-0.4089,0.0,6,0.08333333333333333,crisis,normal
29,2026-04-11T11:08:53.516562+00:00,NEARUSDT,long,8560.0862,1.348,1.348,0.0,0.0,10,0.0856008615241985,crisis,normal
29,2026-04-11T11:08:53.516591+00:00,ARBUSDT,long,9109.0473,0.1144,0.1148,31.8498,0.0,10,0.09109047349661523,crisis,normal
11,2026-04-11T11:09:08.881261+00:00,NEARUSDT,long,10514.3538,1.348,1.348,0.0,0.0,10,0.10514353785969491,normal,normal
11,2026-04-11T11:09:08.881284+00:00,ARBUSDT,long,15534.767,0.1147,0.1148,13.5438,0.0,10,0.15534767010979092,normal,normal
35,2026-04-11T11:10:34.006327+00:00,NEARUSDT,long,8618.4876,1.348,1.347,-6.3935,0.0,6,0.08618487612294679,normal,normal
17,2026-04-11T11:10:35.077638+00:00,NEARUSDT,long,10466.9417,1.348,1.347,-7.7648,0.0,6,0.10466941675563651,normal,normal
36,2026-04-11T11:10:53.474469+00:00,ARBUSDT,long,9211.7243,0.1148,0.1146,-16.0483,0.0,7,0.09211724316685023,normal,normal
19,2026-04-11T11:11:08.100199+00:00,ARBUSDT,long,15816.3619,0.1148,0.1146,-27.5546,0.0,8,0.15816361862174158,high_vol,normal
23,2026-04-11T11:12:22.890172+00:00,NEARUSDT,long,8738.8457,1.347,1.346,-6.4876,0.0,6,0.08738845651091327,crisis,normal
42,2026-04-11T11:12:34.682344+00:00,NEARUSDT,long,8154.8832,1.347,1.346,-6.0541,0.0,6,0.08154883216331181,crisis,normal
42,2026-04-11T11:12:34.682365+00:00,ARBUSDT,long,8648.8443,0.1146,0.1145,-7.547,0.0,6,0.08648844258854917,crisis,normal
49,2026-04-11T11:14:19.131563+00:00,ARBUSDT,long,10809.7566,0.1145,0.1142,-28.3225,0.0,6,0.10809756567470603,crisis,normal
34,2026-04-11T11:15:16.791259+00:00,ETHUSDT,long,8333.3333,2240.25,2240.37,0.4464,0.0,10,0.08333333333333333,crisis,normal
34,2026-04-11T11:15:16.791277+00:00,ADAUSDT,long,8333.3333,0.2496,0.2496,0.0,0.0,10,0.08333333333333333,crisis,normal
34,2026-04-11T11:15:16.791284+00:00,NEARUSDT,long,8333.3333,1.346,1.346,0.0,0.0,10,0.08333333333333333,crisis,normal
34,2026-04-11T11:15:16.791290+00:00,ARBUSDT,long,8333.3333,0.1143,0.1142,-7.2908,0.0,6,0.08333333333333333,crisis,normal
53,2026-04-11T11:15:38.699505+00:00,NEARUSDT,long,10226.4879,1.346,1.346,0.0,0.0,10,0.10226487897737345,normal,normal
57,2026-04-11T11:16:43.421729+00:00,ARBUSDT,long,10855.7854,0.1142,0.1141,-9.5059,0.0,7,0.1085578535075077,normal,normal
40,2026-04-11T11:16:57.384933+00:00,ARBUSDT,long,11453.6193,0.1142,0.1141,-10.0294,0.0,6,0.11453619347838,normal,normal
41,2026-04-11T11:17:17.458545+00:00,NEARUSDT,long,9930.4294,1.346,1.345,-7.3777,0.0,7,0.09930429442725607,normal,normal
50,2026-04-11T11:19:45.493587+00:00,ARBUSDT,long,10875.136,0.1141,0.1144,28.5937,0.0,10,0.10875135959132969,normal,normal
69,2026-04-11T11:19:47.253485+00:00,NEARUSDT,long,10245.6927,1.346,1.347,7.612,0.0,10,0.10245692728153286,normal,normal
69,2026-04-11T11:19:47.253507+00:00,ARBUSDT,long,10833.7703,0.1141,0.1144,28.4849,0.0,10,0.10833770315867655,normal,normal
70,2026-04-11T11:20:01.469380+00:00,ETHUSDT,long,8333.3333,2239.6,2239.16,-1.6372,0.0,9,0.08333333333333333,normal,normal
71,2026-04-11T11:20:18.748001+00:00,ADAUSDT,long,8333.3333,0.2494,0.2494,0.0,0.0,10,0.08333333333333333,normal,normal
53,2026-04-11T11:20:43.285484+00:00,NEARUSDT,long,10278.899,1.345,1.347,15.2846,0.0,10,0.10278899003334817,high_vol,normal
60,2026-04-11T11:22:29.879322+00:00,ARBUSDT,long,10803.9331,0.1144,0.1145,9.444,0.0,10,0.10803933122392907,high_vol,normal
83,2026-04-11T11:23:18.461569+00:00,NEARUSDT,long,10252.783,1.347,1.349,15.2231,0.0,10,0.10252783019255936,high_vol,normal
83,2026-04-11T11:23:18.461606+00:00,ARBUSDT,long,10789.444,0.1144,0.1146,18.8627,0.0,10,0.10789444018500556,high_vol,normal
69,2026-04-11T11:24:42.382060+00:00,NEARUSDT,long,10247.502,1.348,1.348,0.0,0.0,10,0.10247502011624837,normal,normal
97,2026-04-11T11:26:53.740894+00:00,NEARUSDT,long,10304.7313,1.35,1.348,-15.2663,0.0,6,0.10304731287114617,high_vol,normal
79,2026-04-11T11:27:16.596636+00:00,NEARUSDT,long,10321.5386,1.349,1.348,-7.6513,0.0,6,0.10321538568090208,normal,normal
83,2026-04-11T11:28:15.482912+00:00,ARBUSDT,long,10850.8168,0.1148,0.1151,28.3558,0.0,10,0.1085081680990388,normal,normal
88,2026-04-11T11:29:26.936987+00:00,NEARUSDT,long,10246.0839,1.348,1.347,-7.601,0.0,6,0.1024608385669174,normal,normal
95,2026-04-11T11:31:10.333426+00:00,ARBUSDT,long,10778.7291,0.1149,0.1149,0.0,0.0,10,0.10778729098425922,normal,normal
