cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason
21,2026-04-11T10:11:11.212766+00:00,NEARUSDT,long,8737.8034,1.346,1.344,-12.9834,0.0,6,0.08737803425353972,high_vol,normal
24,2026-04-11T10:12:27.417344+00:00,ARBUSDT,long,12944.5857,0.1143,0.114,-33.9753,0.0,9,0.12944585742800502,high_vol,normal
7,2026-04-11T10:12:58.320642+00:00,NEARUSDT,long,10451.1728,1.344,1.343,-7.7762,0.0,6,0.1045117278703293,high_vol,normal
7,2026-04-11T10:12:58.320689+00:00,ARBUSDT,long,15588.3095,0.1144,0.114,-54.5046,0.0,6,0.15588309470370468,high_vol,normal
18,2026-04-11T10:16:01.376532+00:00,NEARUSDT,long,10534.2746,1.343,1.342,-7.8438,0.0,6,0.10534274649501062,normal,normal
20,2026-04-11T10:17:00.897282+00:00,ARBUSDT,long,15275.2953,0.114,0.1139,-13.3994,0.0,8,0.15275295335773154,normal,normal
40,2026-04-11T10:17:11.516638+00:00,NEARUSDT,long,10229.9048,1.342,1.343,7.6229,0.0,10,0.10229904829393562,normal,normal
40,2026-04-11T10:17:11.516683+00:00,ARBUSDT,long,11035.7451,0.1137,0.1139,19.412,0.0,10,0.11035745102389448,normal,normal
40,2026-04-11T10:17:11.516694+00:00,ETHUSDT,long,5188.8491,2239.97,2238.77,-2.7798,0.0,6,0.05188849109197898,normal,normal
24,2026-04-11T10:18:06.495279+00:00,NEARUSDT,long,10240.3806,1.342,1.341,-7.6307,0.0,6,0.10240380587825092,high_vol,normal
26,2026-04-11T10:18:31.930486+00:00,ARBUSDT,long,11896.528,0.1139,0.1138,-10.4447,0.0,6,0.11896527969947178,normal,normal
46,2026-04-11T10:18:38.506852+00:00,NEARUSDT,long,10273.5633,1.343,1.342,-7.6497,0.0,6,0.102735632791985,normal,normal
48,2026-04-11T10:19:10.811159+00:00,ARBUSDT,long,10977.0548,0.1139,0.1138,-9.6374,0.0,8,0.10977054774372652,normal,normal
32,2026-04-11T10:20:13.820543+00:00,ETHUSDT,long,8333.3333,2238.87,2240.47,5.9554,0.0,10,0.08333333333333333,normal,normal
54,2026-04-11T10:21:35.951872+00:00,ETHUSDT,long,6847.8777,2238.04,2241.18,9.6077,0.0,10,0.06847877700415365,crisis,normal
56,2026-04-11T10:22:03.857707+00:00,ADAUSDT,long,8333.3333,0.2498,0.2501,10.008,0.0,10,0.08333333333333333,crisis,normal
56,2026-04-11T10:22:03.857744+00:00,NEARUSDT,long,8333.3333,1.342,1.344,12.4193,0.0,10,0.08333333333333333,crisis,normal
39,2026-04-11T10:22:49.705064+00:00,NEARUSDT,long,10203.2459,1.342,1.344,15.206,0.0,10,0.10203245888301966,crisis,normal
39,2026-04-11T10:22:49.705106+00:00,ARBUSDT,long,11023.0494,0.1137,0.1139,19.3897,0.0,10,0.11023049438649718,crisis,normal
60,2026-04-11T10:23:22.816258+00:00,ARBUSDT,long,10835.368,0.1138,0.114,19.0428,0.0,10,0.10835367951004889,crisis,normal
46,2026-04-11T10:24:58.482146+00:00,ARBUSDT,long,10804.9183,0.1139,0.1138,-9.4863,0.0,6,0.1080491828198388,crisis,normal
69,2026-04-11T10:25:39.918294+00:00,NEARUSDT,long,10207.1352,1.344,1.344,0.0,0.0,10,0.10207135242928018,high_vol,normal
50,2026-04-11T10:26:10.722167+00:00,NEARUSDT,long,10209.9396,1.344,1.343,-7.5967,0.0,10,0.10209939566225242,normal,normal
71,2026-04-11T10:26:21.149681+00:00,ARBUSDT,long,10801.064,0.1138,0.1137,-9.4913,0.0,8,0.10801063983411316,high_vol,normal
54,2026-04-11T10:27:45.139493+00:00,ADAUSDT,long,8333.3333,0.2502,0.2503,3.3307,0.0,5,0.08333333333333334,high_vol,normal
79,2026-04-11T10:28:30.745944+00:00,ADAUSDT,short,25000.0,0.2502,0.2503,-9.992,0.0,6,0.25,normal,normal
57,2026-04-11T10:28:31.922934+00:00,ARBUSDT,long,10927.4332,0.1138,0.1138,0.0,0.0,10,0.10927433204889203,high_vol,normal
59,2026-04-11T10:28:58.383639+00:00,ETHUSDT,long,8333.3333,2241.21,2241.87,2.454,0.0,10,0.08333333333333334,normal,normal
62,2026-04-11T10:29:43.795447+00:00,ADAUSDT,short,25000.0,0.2503,0.2502,9.988,0.0,8,0.25,normal,normal
86,2026-04-11T10:30:10.521893+00:00,ETHUSDT,long,8333.3333,2241.86,2241.36,-1.8586,0.0,6,0.08333333333333333,normal,normal
86,2026-04-11T10:30:10.521926+00:00,ADAUSDT,long,8333.3333,0.2503,0.2502,-3.3293,0.0,6,0.08333333333333333,normal,normal
86,2026-04-11T10:30:10.521935+00:00,NEARUSDT,long,8333.3333,1.344,1.343,-6.2004,0.0,6,0.08333333333333333,normal,normal
88,2026-04-11T10:30:47.020042+00:00,ARBUSDT,long,10873.812,0.1138,0.1136,-19.1104,0.0,6,0.10873812015012795,high_vol,normal
68,2026-04-11T10:31:11.850391+00:00,ETHUSDT,long,8333.3333,2241.49,2241.21,-1.041,0.0,6,0.08333333333333333,normal,normal
70,2026-04-11T10:31:47.376029+00:00,ADAUSDT,long,8333.3333,0.2502,0.2501,-3.3307,0.0,8,0.08333333333333333,high_vol,normal
70,2026-04-11T10:31:47.376043+00:00,ARBUSDT,long,10914.5349,0.1137,0.1135,-19.1988,0.0,6,0.10914534930664423,high_vol,normal
72,2026-04-11T10:32:31.351338+00:00,NEARUSDT,long,8333.3333,1.343,1.343,0.0,0.0,10,0.08333333333333333,high_vol,normal
96,2026-04-11T10:33:20.276824+00:00,NEARUSDT,long,10191.9983,1.343,1.344,7.589,0.0,10,0.1019199834190034,normal,normal
85,2026-04-11T10:35:50.261696+00:00,ARBUSDT,long,10755.8667,0.1136,0.1135,-9.4682,0.0,6,0.1075586674110488,normal,normal
89,2026-04-11T10:36:49.989261+00:00,NEARUSDT,long,10219.7599,1.344,1.344,0.0,0.0,10,0.10219759923837923,normal,normal
96,2026-04-11T10:38:41.687477+00:00,ARBUSDT,long,10928.5364,0.1135,0.1137,19.2573,0.0,10,0.10928536447442785,normal,normal
