cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
5,2026-04-17T02:38:32.768540+00:00,ADAUSDT,long,15000.0,1.051,1.061,142.7212,0.0,3,0.15,normal,normal,-342.5309,642.2455,0.2222,,0.2222
5,2026-04-17T02:38:32.768564+00:00,NEARUSDT,long,15000.0,11.12,10.959,-217.1763,0.0,3,0.15,normal,normal,-346.6727,122.7518,,0.6265,-0.6265
6,2026-04-17T02:38:34.795469+00:00,ETHUSDT,short,17395.6331,2680.67,2994.99,-2039.7122,0.0,2,0.17395633099920477,crisis,normal,-2039.7122,0.0,,1.0,-1.0
30,2026-04-17T02:39:49.272376+00:00,ETHUSDT,short,6146.4088,2616.79,2920.95,-714.4218,0.0,1,0.06146408839779006,crisis,normal,-714.4218,0.0,,1.0,-1.0
33,2026-04-17T02:39:54.226986+00:00,ADAUSDT,long,9426.7956,0.856,0.903,517.5927,0.0,4,0.09426795580110496,crisis,normal,0.0,1178.3494,0.4393,,0.4393
34,2026-04-17T02:39:56.181247+00:00,NEARUSDT,long,9426.7956,8.508,10.428,2127.3446,0.0,5,0.09426795580110496,crisis,normal,0.0,3656.3735,0.5818,,0.5818
52,2026-04-17T02:41:03.530179+00:00,ETHUSDT,short,25000.0,2938.92,2969.64,-261.3205,0.0,4,0.25,normal,normal,-261.3205,659.596,,1.0,-1.0
55,2026-04-17T02:41:09.265393+00:00,NEARUSDT,long,14315.2617,11.07,12.221,1488.4251,0.0,3,0.14315261673456597,normal,normal,0.0,2361.3069,0.6303,,0.6303
55,2026-04-17T02:41:09.265413+00:00,ETHUSDT,short,7123.1589,2969.64,3102.14,-317.8225,0.0,3,0.07123158884362268,normal,normal,-338.499,0.0,,0.9389,-0.9389
57,2026-04-17T02:41:12.698831+00:00,ADAUSDT,short,16666.6667,1.131,1.184,-781.0197,0.0,3,0.16666666666666666,high_vol,normal,-781.0197,515.7678,,1.0,-1.0
78,2026-04-17T02:41:47.810124+00:00,ADAUSDT,long,25000.0,0.933,0.914,-509.1104,0.0,3,0.25,normal,normal,-509.1104,616.2915,,1.0,-1.0
82,2026-04-17T02:41:55.000675+00:00,ADAUSDT,long,25000.0,0.937,0.91,-720.3842,0.0,3,0.25,normal,normal,-720.3842,400.2134,,1.0,-1.0
87,2026-04-17T02:42:03.610796+00:00,ADAUSDT,long,25000.0,0.906,0.8259,-2210.2649,0.0,4,0.25,normal,normal,-2210.2649,0.0,,1.0,-1.0
90,2026-04-17T02:42:08.233238+00:00,ADAUSDT,long,7999.4829,0.8259,0.8048,-204.3699,0.0,3,0.07999482904883985,normal,normal,-204.3699,167.5639,,1.0,-1.0
90,2026-04-17T02:42:08.233263+00:00,NEARUSDT,long,11862.1074,12.685,11.289,-1305.4396,0.0,3,0.11862107415000712,normal,normal,-1305.4396,181.415,,1.0,-1.0
92,2026-04-17T02:42:11.372269+00:00,ETHUSDT,short,5138.4097,2809.67,2824.81,-27.6885,0.0,5,0.051384096801153,normal,normal,-232.7369,151.8112,,0.119,-0.119
94,2026-04-17T02:42:14.476019+00:00,ADAUSDT,long,5952.9022,0.7556,0.7711,122.1149,0.0,3,0.05952902229117487,normal,normal,0.0,267.077,0.4572,,0.4572
96,2026-04-17T02:42:17.644169+00:00,NEARUSDT,long,5952.9022,10.336,11.217,507.402,0.0,5,0.05952902229117487,crisis,normal,0.0,1522.2059,0.3333,,0.3333
103,2026-04-17T02:42:30.564967+00:00,ETHUSDT,short,14410.3433,2856.54,1960.22,4521.6517,0.0,10,0.1441034332993414,crisis,normal,-424.258,4521.6517,1.0,,1.0
106,2026-04-17T02:42:37.176706+00:00,ADAUSDT,short,12650.7424,0.7403,0.5981,2430.0089,0.0,7,0.12650742359494258,crisis,normal,0.0,4562.6749,0.5326,,0.5326
119,2026-04-17T02:43:02.521211+00:00,ETHUSDT,short,25000.0,1942.63,1792.22,1935.6491,0.0,3,0.25,normal,normal,0.0,2771.5005,0.6984,,0.6984
123,2026-04-17T02:43:10.360436+00:00,ETHUSDT,long,7142.8571,1813.64,1817.95,16.9745,0.0,3,0.07142857142857142,normal,normal,0.0,729.1571,0.0233,,0.0233
123,2026-04-17T02:43:10.360458+00:00,ADAUSDT,long,7142.8571,0.482,0.5516,1031.4167,0.0,3,0.07142857142857142,normal,normal,0.0,2145.821,0.4807,,0.4807
123,2026-04-17T02:43:10.360470+00:00,NEARUSDT,long,10714.2857,5.182,5.343,332.8831,0.0,3,0.10714285714285714,normal,normal,0.0,1602.3874,0.2077,,0.2077
127,2026-04-17T02:43:23.380534+00:00,NEARUSDT,long,10755.9059,5.603,5.331,-522.15,0.0,3,0.10755905865056342,normal,normal,-673.8038,0.0,,0.7749,-0.7749
128,2026-04-17T02:43:24.970371+00:00,ADAUSDT,short,14244.0941,0.5871,0.6091,-533.7593,0.0,4,0.14244094134943658,normal,normal,-533.7593,657.4944,,1.0,-1.0
128,2026-04-17T02:43:24.970388+00:00,ETHUSDT,short,12500.0,1804.58,1859.84,-382.776,0.0,2,0.125,normal,normal,-382.776,0.0,,1.0,-1.0
131,2026-04-17T02:43:29.688857+00:00,ETHUSDT,long,8534.5916,1859.84,1788.81,-325.9485,0.0,3,0.08534591592292816,high_vol,normal,-325.9485,0.0,,1.0,-1.0
