cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
5,2026-04-17T02:38:34.204876+00:00,ETHUSDT,long,6666.6667,2086.59,1991.66,-303.3019,0.0,3,0.06666666666666667,crisis,normal,-383.4326,0.0,,0.791,-0.791
5,2026-04-17T02:38:34.204897+00:00,NEARUSDT,long,6666.6667,1.086,1.044,-257.8269,0.0,3,0.06666666666666667,crisis,normal,-257.8269,0.0,,1.0,-1.0
5,2026-04-17T02:38:34.204909+00:00,ARBUSDT,long,6666.6667,0.1205,0.1128,-426.0028,0.0,3,0.06666666666666667,crisis,normal,-426.0028,0.0,,1.0,-1.0
8,2026-04-17T02:38:40.163520+00:00,ADAUSDT,short,10000.0,0.295,0.2849,342.3729,0.0,6,0.09999999999999999,normal,normal,0.0,749.1525,0.457,,0.457
13,2026-04-17T02:39:00.538382+00:00,ADAUSDT,short,8606.1909,0.2717,0.2971,-804.5537,0.0,3,0.08606190946722811,crisis,normal,-804.5537,411.7795,,1.0,-1.0
20,2026-04-17T02:39:27.707247+00:00,ARBUSDT,long,17090.7136,0.0946,0.1048,1842.7619,0.0,10,0.1709071357991578,crisis,normal,-451.6573,1842.7619,1.0,,1.0
20,2026-04-17T02:39:27.707310+00:00,ADAUSDT,short,30000.0,0.287,0.2763,1118.4669,0.0,6,0.3,crisis,normal,0.0,2560.9756,0.4367,,0.4367
40,2026-04-17T02:40:24.265256+00:00,ETHUSDT,short,12220.4356,2084.87,2156.23,-418.2756,0.0,3,0.1222043560882912,normal,normal,-418.2756,181.5888,,1.0,-1.0
42,2026-04-17T02:40:28.024188+00:00,ARBUSDT,long,12779.5644,0.0963,0.0938,-331.7644,0.0,5,0.1277956439117088,normal,normal,-504.2819,331.7644,,0.6579,-0.6579
43,2026-04-17T02:40:29.742753+00:00,NEARUSDT,long,7242.2766,1.28,1.18,-565.8029,0.0,2,0.07242276557079134,normal,normal,-565.8029,0.0,,1.0,-1.0
47,2026-04-17T02:40:36.779818+00:00,ETHUSDT,short,6894.3086,2169.02,2105.43,202.1231,0.0,6,0.06894308607302164,normal,normal,0.0,586.0585,0.3449,,0.3449
49,2026-04-17T02:40:40.602280+00:00,NEARUSDT,long,12500.0,1.18,1.162,-190.678,0.0,6,0.125,normal,normal,-190.678,116.5254,,1.0,-1.0
49,2026-04-17T02:40:40.602296+00:00,ARBUSDT,long,12500.0,0.09,0.0909,125.0,0.0,6,0.125,normal,normal,-222.2222,611.1111,0.2045,,0.2045
52,2026-04-17T02:41:03.975949+00:00,ETHUSDT,short,6821.3214,2057.17,2110.17,-175.7414,0.0,3,0.06821321404317811,high_vol,normal,-175.7414,11.075,,1.0,-1.0
53,2026-04-17T02:41:05.684157+00:00,ADAUSDT,long,7546.8691,0.2418,0.2461,134.2082,0.0,6,0.0754686910999224,high_vol,normal,-74.9069,280.9008,0.4778,,0.4778
59,2026-04-17T02:41:17.231801+00:00,NEARUSDT,long,11122.5928,1.162,1.346,1761.2367,0.0,10,0.11122592829132998,normal,normal,0.0,2297.2653,0.7667,,0.7667
64,2026-04-17T02:41:27.828067+00:00,ADAUSDT,long,9752.8674,0.2443,0.2818,1497.0632,0.0,3,0.0975286740531765,crisis,normal,0.0,2024.0294,0.7396,,0.7396
69,2026-04-17T02:41:36.150988+00:00,ADAUSDT,short,25000.0,0.2858,0.2849,78.7264,0.0,4,0.25,crisis,normal,0.0,1128.4115,0.0698,,0.0698
71,2026-04-17T02:41:39.632797+00:00,ETHUSDT,short,15247.1326,2386.68,1957.82,2739.7411,0.0,10,0.1524713259468235,crisis,normal,0.0,2795.576,0.98,,0.98
