cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
4,2026-04-17T02:38:32.339756+00:00,ADAUSDT,short,7500.0,0.293,0.323,-767.9181,0.0,2,0.075,normal,normal,-767.9181,0.0,,1.0,-1.0
6,2026-04-17T02:38:37.402431+00:00,ETHUSDT,long,22500.0,1814.67,1855.54,506.745,0.0,4,0.22499999999999998,normal,normal,-171.9734,506.745,1.0,,1.0
7,2026-04-17T02:38:39.459379+00:00,ADAUSDT,short,7500.0,0.323,0.3419,-438.8545,0.0,3,0.075,normal,normal,-438.8545,0.0,,1.0,-1.0
8,2026-04-17T02:38:42.190537+00:00,ETHUSDT,short,15000.0,1855.54,1900.95,-367.0899,0.0,2,0.15,normal,normal,-367.0899,0.0,,1.0,-1.0
11,2026-04-17T02:39:10.159732+00:00,ADAUSDT,short,6426.7955,0.3624,0.3684,-106.4039,0.0,3,0.0642679552366445,crisis,normal,-106.4039,198.6206,,1.0,-1.0
13,2026-04-17T02:39:15.463862+00:00,ETHUSDT,long,23573.2045,1900.95,2053.17,1887.6421,0.0,5,0.23573204476335546,crisis,normal,-194.4437,2732.7531,0.6907,,0.6907
17,2026-04-17T02:39:28.452112+00:00,ADAUSDT,short,30000.0,0.3859,0.3788,551.9565,0.0,5,0.3,normal,normal,0.0,2262.2441,0.244,,0.244
39,2026-04-17T02:40:25.581142+00:00,ETHUSDT,short,8062.7288,2243.37,2355.73,-403.8247,0.0,3,0.08062728849489303,normal,normal,-403.8247,38.3483,,1.0,-1.0
41,2026-04-17T02:40:39.631376+00:00,ARBUSDT,long,16937.2712,1.0922,1.1392,728.8516,0.0,5,0.16937271150510697,normal,normal,-519.5006,1235.9463,0.5897,,0.5897
42,2026-04-17T02:40:41.328973+00:00,ADAUSDT,short,6921.4191,0.5454,0.5948,-626.9125,0.0,2,0.06921419098143236,normal,normal,-626.9125,0.0,,1.0,-1.0
45,2026-04-17T02:40:47.584898+00:00,ARBUSDT,long,16983.1274,1.1558,1.186,443.7536,0.0,3,0.16983127433543238,normal,normal,-890.446,1415.0157,0.3136,,0.3136
45,2026-04-17T02:40:47.584914+00:00,ADAUSDT,short,8016.8726,0.5948,0.6675,-979.8699,0.0,3,0.0801687256645676,normal,normal,-979.8699,594.3915,,1.0,-1.0
47,2026-04-17T02:40:50.896633+00:00,ETHUSDT,long,12855.6874,2203.46,2220.5,99.4168,0.0,3,0.1285568735899862,normal,normal,0.0,652.6269,0.1523,,0.1523
51,2026-04-17T02:41:18.127557+00:00,ETHUSDT,long,9909.9439,2228.96,2177.91,-226.968,0.0,3,0.0990994391319115,normal,normal,-226.968,0.0,,1.0,-1.0
53,2026-04-17T02:41:22.170545+00:00,ADAUSDT,short,13246.4849,0.6433,0.6351,168.85,0.0,7,0.13246484883243612,normal,normal,0.0,1383.746,0.122,,0.122
57,2026-04-17T02:41:29.865137+00:00,ETHUSDT,long,14834.2755,2324.54,2271.35,-339.4371,0.0,3,0.14834275493821952,normal,normal,-386.0228,0.0,,0.8793,-0.8793
57,2026-04-17T02:41:29.865157+00:00,ADAUSDT,short,10165.7245,0.6226,0.6242,-26.1246,0.0,3,0.10165724506178046,normal,normal,-26.1246,501.2652,,1.0,-1.0
61,2026-04-17T02:41:36.548483+00:00,ETHUSDT,long,18003.234,2230.88,2299.2,551.3434,0.0,3,0.18003234019655265,normal,normal,0.0,1190.085,0.4633,,0.4633
61,2026-04-17T02:41:36.548498+00:00,ADAUSDT,long,6996.766,0.6087,0.6083,-4.5978,0.0,3,0.06996765980344737,normal,normal,-4.5978,283.9167,,1.0,-1.0
65,2026-04-17T02:41:43.665031+00:00,ADAUSDT,long,16623.9443,0.6011,0.605,107.8579,0.0,3,0.1662394432493207,crisis,normal,-196.3567,611.1948,0.1765,,0.1765
66,2026-04-17T02:41:46.555194+00:00,ETHUSDT,long,8376.0557,2291.68,2209.72,-299.5626,0.0,4,0.08376055675067932,crisis,normal,-299.5626,232.6763,,1.0,-1.0
73,2026-04-17T02:41:59.044457+00:00,ETHUSDT,short,25000.0,2330.44,2584.38,-2724.1637,0.0,2,0.25,crisis,normal,-2724.1637,0.0,,1.0,-1.0
76,2026-04-17T02:42:04.156179+00:00,ETHUSDT,short,25000.0,2584.38,2578.19,59.879,0.0,3,0.25,crisis,normal,-325.3198,598.2092,0.1001,,0.1001
