cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe
3,2026-04-14T10:48:00.274655+00:00,ETHUSDT,long,6666.6667,2086.59,1966.58,-383.4326,0.0,1,0.06666666666666667,normal,normal,-383.4326,0.0
3,2026-04-14T10:48:00.274679+00:00,NEARUSDT,long,6666.6667,1.086,1.056,-184.1621,0.0,1,0.06666666666666667,normal,normal,-184.1621,0.0
3,2026-04-14T10:48:00.274689+00:00,ARBUSDT,long,6666.6667,0.1205,0.1146,-326.4177,0.0,1,0.06666666666666667,normal,normal,-326.4177,0.0
6,2026-04-14T10:48:03.835565+00:00,ETHUSDT,long,5992.0112,1998.33,1955.91,-127.1968,0.0,2,0.05992011248752028,crisis,normal,-127.1968,0.0
8,2026-04-14T10:48:07.539524+00:00,ADAUSDT,short,10000.0,0.295,0.2849,342.3729,0.0,6,0.09999999999999999,normal,normal,0.0,749.1525
12,2026-04-14T10:48:20.037412+00:00,ARBUSDT,long,16820.2644,0.0946,0.0921,-444.5102,0.0,2,0.1682026435527099,crisis,normal,-444.5102,0.0
13,2026-04-14T10:48:20.939483+00:00,ADAUSDT,short,8786.4904,0.2717,0.2971,-821.4091,0.0,3,0.08786490429819342,crisis,normal,-821.4091,420.4062
22,2026-04-14T10:48:40.546010+00:00,ARBUSDT,long,26663.2389,0.1001,0.1,-26.6366,0.0,8,0.26663238904786385,normal,normal,-159.8196,1251.9203
29,2026-04-14T10:48:49.819164+00:00,ETHUSDT,short,25000.0,2036.51,2092.22,-683.8906,0.0,3,0.25,high_vol,normal,-683.8906,0.0
31,2026-04-14T10:49:11.295275+00:00,ETHUSDT,short,25000.0,2096.16,2178.3,-979.6485,0.0,1,0.25,high_vol,normal,-979.6485,0.0
38,2026-04-14T10:49:28.194687+00:00,ARBUSDT,long,12791.5479,0.0963,0.0925,-504.7547,0.0,1,0.12791547854061563,normal,normal,-504.7547,0.0
42,2026-04-14T10:49:53.165754+00:00,ETHUSDT,short,25000.0,2352.97,2060.43,3108.1994,0.0,10,0.25,normal,normal,0.0,3177.6861
42,2026-04-14T10:49:53.165771+00:00,ARBUSDT,long,15292.4062,0.0975,0.0938,-580.3272,0.0,3,0.15292406168169914,normal,normal,-580.3272,203.8987
42,2026-04-14T10:49:53.165780+00:00,NEARUSDT,long,7246.4067,1.28,1.224,-317.0303,0.0,1,0.07246406740459277,normal,normal,-317.0303,0.0
49,2026-04-14T10:50:05.791222+00:00,NEARUSDT,long,12500.0,1.18,1.162,-190.678,0.0,6,0.125,normal,normal,-190.678,116.5254
49,2026-04-14T10:50:05.791239+00:00,ARBUSDT,long,12500.0,0.09,0.0909,125.0,0.0,6,0.125,normal,normal,-222.2222,611.1111
