cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe
3,2026-04-14T10:48:02.872724+00:00,ADAUSDT,short,7500.0,0.293,0.3071,-360.9215,0.0,1,0.075,normal,normal,-360.9215,0.0
4,2026-04-14T10:48:03.946854+00:00,ETHUSDT,long,22500.0,1814.67,1800.8,-171.9734,0.0,2,0.22499999999999998,normal,normal,-171.9734,400.734
7,2026-04-14T10:48:07.541069+00:00,ADAUSDT,short,7500.0,0.323,0.3419,-438.8545,0.0,3,0.075,normal,normal,-438.8545,0.0
10,2026-04-14T10:48:21.622063+00:00,ADAUSDT,short,6379.0556,0.3624,0.3577,82.7306,0.0,2,0.06379055603839168,crisis,normal,0.0,197.1452
14,2026-04-14T10:48:26.458054+00:00,ETHUSDT,long,22500.0,1800.8,2044.68,3047.1457,0.0,10,0.22499999999999998,crisis,normal,0.0,4004.7201
17,2026-04-14T10:48:29.252851+00:00,ADAUSDT,short,7500.0,0.3859,0.3788,137.9891,0.0,5,0.075,normal,normal,0.0,565.561
18,2026-04-14T10:48:30.351215+00:00,ETHUSDT,long,8333.3333,1979.39,1961.77,-74.1811,0.0,2,0.08333333333333333,crisis,normal,-74.1811,332.973
18,2026-04-14T10:48:30.351230+00:00,ARBUSDT,long,8333.3333,1.0768,1.0784,12.3824,0.0,2,0.08333333333333333,crisis,normal,0.0,509.2249
33,2026-04-14T10:49:11.361491+00:00,ETHUSDT,short,12500.0,2083.09,2087.24,-24.9029,0.0,6,0.125,normal,normal,-24.9029,333.579
34,2026-04-14T10:49:12.251018+00:00,ADAUSDT,short,12500.0,0.3941,0.3976,-111.0124,0.0,7,0.125,normal,normal,-111.0124,577.2647
37,2026-04-14T10:49:16.157946+00:00,ETHUSDT,short,8047.4584,2243.37,2293.33,-179.2174,0.0,1,0.08047458443748495,normal,normal,-179.2174,0.0
38,2026-04-14T10:49:18.254061+00:00,ARBUSDT,long,16952.5416,1.0922,1.0587,-519.969,0.0,2,0.16952541556251507,normal,normal,-519.969,0.0
39,2026-04-14T10:49:20.210110+00:00,ETHUSDT,short,8031.6306,2232.7,2355.73,-442.5725,0.0,1,0.08031630638871502,normal,normal,-442.5725,0.0
41,2026-04-14T10:49:43.208204+00:00,ADAUSDT,short,6907.7379,0.5454,0.5791,-426.8258,0.0,1,0.06907737910163132,normal,normal,-426.8258,0.0
43,2026-04-14T10:49:48.571476+00:00,ARBUSDT,long,16968.3694,1.0587,1.0952,585.0057,0.0,5,0.16968369361128496,normal,normal,0.0,1814.3189
44,2026-04-14T10:49:52.525657+00:00,ADAUSDT,short,7996.8272,0.5948,0.5784,220.4909,0.0,2,0.07996827228151139,normal,normal,0.0,592.9053
45,2026-04-14T10:49:55.287406+00:00,ADAUSDT,short,12120.4398,0.5784,0.6675,-1867.1009,0.0,1,0.121204398165004,normal,normal,-1867.1009,0.0
47,2026-04-14T10:49:58.896573+00:00,ETHUSDT,long,12879.5602,2203.46,2220.5,99.6014,0.0,3,0.128795601834996,normal,normal,0.0,653.8388
51,2026-04-14T10:50:41.811961+00:00,ETHUSDT,long,9932.8203,2228.96,2177.91,-227.492,0.0,3,0.09932820286949082,normal,normal,-227.492,0.0
53,2026-04-14T10:50:47.044349+00:00,ADAUSDT,short,13701.9421,0.6433,0.6351,174.6556,0.0,7,0.13701942050461904,normal,normal,0.0,1431.3237
56,2026-04-14T10:50:52.652468+00:00,ETHUSDT,long,14865.072,2324.54,2264.05,-386.8241,0.0,2,0.1486507200725452,normal,normal,-386.8241,0.0
57,2026-04-14T10:50:53.601240+00:00,ADAUSDT,short,10134.928,0.6226,0.6242,-26.0454,0.0,3,0.10134927992745482,normal,normal,-26.0454,499.7467
60,2026-04-14T10:50:59.250057+00:00,ADAUSDT,long,6671.4866,0.6087,0.6158,77.8176,0.0,2,0.0667148662738557,normal,normal,0.0,270.7175
61,2026-04-14T10:51:00.842958+00:00,ETHUSDT,long,25000.0,2264.05,2299.2,388.1319,0.0,5,0.25,normal,normal,-366.2684,1262.1188
62,2026-04-14T10:51:01.741262+00:00,ADAUSDT,long,12427.9426,0.6158,0.6011,-296.6722,0.0,2,0.12427942627204534,normal,normal,-296.6722,0.0
65,2026-04-14T10:51:04.906948+00:00,ADAUSDT,long,16623.9443,0.6011,0.605,107.8579,0.0,3,0.16623944324932072,crisis,normal,-196.3567,611.1948
66,2026-04-14T10:51:05.794457+00:00,ETHUSDT,long,8376.0557,2291.68,2209.72,-299.5626,0.0,4,0.08376055675067928,crisis,normal,-299.5626,232.6763
69,2026-04-14T10:51:09.401381+00:00,ADAUSDT,long,25000.0,0.5414,0.5227,-863.502,0.0,1,0.25,crisis,normal,-863.502,0.0
72,2026-04-14T10:51:14.684555+00:00,ADAUSDT,long,25000.0,0.4945,0.5124,904.9545,0.0,2,0.25,crisis,normal,0.0,2360.9707
76,2026-04-14T10:51:20.741379+00:00,NEARUSDT,long,7164.0684,3.222,3.404,404.6743,0.0,4,0.0716406837619091,crisis,normal,0.0,867.1591
76,2026-04-14T10:51:20.741392+00:00,ETHUSDT,short,11704.5746,2618.01,2578.19,178.0269,0.0,2,0.11704574573682007,crisis,normal,0.0,426.8264
77,2026-04-14T10:51:22.211926+00:00,ADAUSDT,long,12885.5501,0.5124,0.5251,319.3725,0.0,5,0.12885550148248337,crisis,normal,0.0,1750.2621
77,2026-04-14T10:51:22.211965+00:00,NEARUSDT,long,7723.0033,3.404,3.307,-220.0738,0.0,1,0.07723003293903631,crisis,normal,-220.0738,0.0
79,2026-04-14T10:51:26.055242+00:00,ETHUSDT,short,13927.4949,2578.19,2587.4,-49.7528,0.0,3,0.13927494894001768,crisis,normal,-49.7528,568.9432
81,2026-04-14T10:51:30.850958+00:00,NEARUSDT,long,7151.1751,3.306,3.083,-482.369,0.0,3,0.07151175082996881,crisis,normal,-482.369,4.3262
84,2026-04-14T10:51:36.574111+00:00,NEARUSDT,long,10359.2099,3.01,2.922,-302.8606,0.0,2,0.10359209872231032,crisis,normal,-302.8606,0.0
85,2026-04-14T10:51:39.246136+00:00,NEARUSDT,long,11822.4509,2.922,2.649,-1104.5616,0.0,1,0.11822450925906029,crisis,normal,-1104.5616,0.0
90,2026-04-14T10:51:51.276986+00:00,ETHUSDT,short,12047.1662,2530.19,2267.94,1248.6688,0.0,10,0.12047166228727504,normal,normal,0.0,1483.4043
94,2026-04-14T10:52:01.720311+00:00,NEARUSDT,long,11147.5808,2.65,2.823,727.7477,0.0,8,0.1114758076560922,normal,normal,0.0,1518.595
