cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
4,2026-04-14T23:51:46.921566+00:00,ADAUSDT,long,15000.0,1.051,1.027,-342.5309,0.0,2,0.15,normal,normal,-342.5309,642.2455,,1.0,-1.0
4,2026-04-14T23:51:46.921582+00:00,NEARUSDT,long,15000.0,11.12,10.863,-346.6727,0.0,2,0.15,normal,normal,-346.6727,122.7518,,1.0,-1.0
6,2026-04-14T23:51:51.724979+00:00,ETHUSDT,short,18256.7083,2680.67,2994.99,-2140.677,0.0,2,0.18256708326104856,crisis,normal,-2140.677,0.0,,1.0,-1.0
10,2026-04-14T23:52:17.533671+00:00,NEARUSDT,long,5871.6458,10.863,12.778,1035.0918,0.0,6,0.058716458369475706,crisis,normal,0.0,1426.9672,0.7254,,0.7254
12,2026-04-14T23:52:22.062563+00:00,ADAUSDT,long,5871.6458,1.027,1.15,703.2254,0.0,8,0.058716458369475706,crisis,normal,0.0,983.372,0.7151,,0.7151
34,2026-04-14T23:53:32.031728+00:00,ADAUSDT,long,12500.0,0.903,0.844,-816.722,0.0,1,0.125,crisis,normal,-816.722,0.0,,1.0,-1.0
36,2026-04-14T23:53:35.707602+00:00,ADAUSDT,long,12500.0,0.864,0.823,-593.1713,0.0,1,0.125,normal,normal,-593.1713,0.0,,1.0,-1.0
50,2026-04-14T23:54:23.886474+00:00,ADAUSDT,long,9245.1573,0.789,0.879,1054.5807,0.0,8,0.0924515732644405,normal,normal,-35.1527,1335.8022,0.7895,,0.7895
55,2026-04-14T23:55:08.090001+00:00,NEARUSDT,long,7163.0065,11.07,12.221,744.7715,0.0,3,0.07163006456735692,normal,normal,0.0,1181.5402,0.6303,,0.6303
56,2026-04-14T23:55:11.520155+00:00,ADAUSDT,short,8333.3333,1.131,1.152,-154.7303,0.0,2,0.08333333333333333,high_vol,normal,-154.7303,257.8839,,1.0,-1.0
62,2026-04-14T23:55:22.690948+00:00,ETHUSDT,short,6250.0,3400.51,3455.21,-100.5364,0.0,3,0.0625,high_vol,normal,-100.5364,218.7172,,1.0,-1.0
64,2026-04-14T23:55:26.340331+00:00,ADAUSDT,short,6250.0,1.191,1.186,26.2385,0.0,5,0.0625,high_vol,normal,0.0,262.3846,0.1,,0.1
64,2026-04-14T23:55:26.340344+00:00,ETHUSDT,short,6250.0,3443.77,3521.91,-141.8141,0.0,1,0.0625,high_vol,normal,-141.8141,0.0,,1.0,-1.0
68,2026-04-14T23:55:33.557716+00:00,ADAUSDT,short,8599.241,1.212,1.089,872.6952,0.0,3,0.08599240956556885,high_vol,normal,0.0,1135.2133,0.7688,,0.7688
70,2026-04-14T23:55:37.306111+00:00,ETHUSDT,short,6250.0,3168.51,3258.57,-177.6466,0.0,3,0.0625,high_vol,normal,-177.6466,0.0,,1.0,-1.0
74,2026-04-14T23:55:44.449458+00:00,ETHUSDT,short,12500.0,3203.04,3118.28,330.7795,0.0,3,0.125,normal,normal,0.0,871.4378,0.3796,,0.3796
78,2026-04-14T23:55:52.003312+00:00,ADAUSDT,long,12500.0,0.933,0.914,-254.5552,0.0,3,0.125,normal,normal,-254.5552,308.1458,,1.0,-1.0
81,2026-04-14T23:55:58.411559+00:00,ADAUSDT,long,12500.0,0.937,0.937,0.0,0.0,2,0.125,normal,normal,0.0,200.1067,,,
82,2026-04-14T23:56:00.522313+00:00,ADAUSDT,long,12500.0,0.937,0.91,-360.1921,0.0,1,0.125,normal,normal,-360.1921,0.0,,1.0,-1.0
84,2026-04-14T23:56:04.428852+00:00,ADAUSDT,long,12500.0,0.906,0.886,-275.9382,0.0,1,0.125,normal,normal,-275.9382,0.0,,1.0,-1.0
87,2026-04-14T23:56:09.789755+00:00,ADAUSDT,long,12500.0,0.886,0.8259,-847.912,0.0,2,0.125,normal,normal,-847.912,160.8352,,1.0,-1.0
