cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
3,2026-04-14T23:51:45.424982+00:00,ETHUSDT,long,6666.6667,2086.59,1966.58,-383.4326,0.0,1,0.06666666666666667,normal,normal,-383.4326,0.0,,1.0,-1.0
3,2026-04-14T23:51:45.424999+00:00,NEARUSDT,long,6666.6667,1.086,1.056,-184.1621,0.0,1,0.06666666666666667,normal,normal,-184.1621,0.0,,1.0,-1.0
3,2026-04-14T23:51:45.425010+00:00,ARBUSDT,long,6666.6667,0.1205,0.1146,-326.4177,0.0,1,0.06666666666666667,normal,normal,-326.4177,0.0,,1.0,-1.0
6,2026-04-14T23:51:52.201544+00:00,ETHUSDT,long,5633.1175,1998.33,1955.91,-119.5783,0.0,2,0.056331175332615106,crisis,normal,-119.5783,0.0,,1.0,-1.0
8,2026-04-14T23:51:56.788815+00:00,ADAUSDT,short,10000.0,0.295,0.2849,342.3729,0.0,6,0.09999999999999999,normal,normal,0.0,749.1525,0.457,,0.457
12,2026-04-14T23:52:18.371452+00:00,ARBUSDT,long,20510.8881,0.0946,0.0921,-542.0425,0.0,2,0.20510888074301994,crisis,normal,-542.0425,0.0,,1.0,-1.0
22,2026-04-14T23:52:50.755072+00:00,ARBUSDT,long,26876.6925,0.1001,0.1,-26.8498,0.0,8,0.26876692544831676,normal,normal,-161.0991,1261.9426,,0.1667,-0.1667
30,2026-04-14T23:53:15.981792+00:00,ETHUSDT,short,12500.0,2051.97,2096.16,-269.1925,0.0,3,0.125,high_vol,normal,-269.1925,0.0,,1.0,-1.0
32,2026-04-14T23:53:20.158323+00:00,ETHUSDT,short,12500.0,2178.3,2352.97,-1002.3298,0.0,1,0.125,high_vol,normal,-1002.3298,0.0,,1.0,-1.0
38,2026-04-14T23:53:35.011286+00:00,ARBUSDT,long,6308.8255,0.0963,0.0925,-248.9464,0.0,1,0.06308825544918403,normal,normal,-248.9464,0.0,,1.0,-1.0
39,2026-04-14T23:53:37.121936+00:00,ETHUSDT,short,12500.0,2317.39,2152.03,891.9517,0.0,6,0.125,normal,normal,0.0,1421.3188,0.6276,,0.6276
42,2026-04-14T23:54:09.702239+00:00,ARBUSDT,long,7645.7582,0.0975,0.0938,-290.1467,0.0,3,0.07645758175258932,normal,normal,-290.1467,101.9434,,1.0,-1.0
49,2026-04-14T23:54:29.308545+00:00,NEARUSDT,long,7180.3586,1.164,1.162,-12.3374,0.0,4,0.07180358587004582,normal,normal,-12.3374,166.5547,,1.0,-1.0
49,2026-04-14T23:54:29.308557+00:00,ARBUSDT,long,5319.6414,0.0884,0.0909,150.4423,0.0,4,0.0531964141299542,normal,normal,0.0,361.0616,0.4167,,0.4167
