cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
3,2026-04-14T23:51:45.379819+00:00,ETHUSDT,long,30000.0,1809.04,1846.99,629.3393,0.0,2,0.3,normal,normal,0.0,629.3393,1.0,,1.0
4,2026-04-14T23:51:48.200935+00:00,ADAUSDT,short,10000.0,0.3071,0.323,-517.7467,0.0,1,0.09999999999999999,normal,normal,-517.7467,0.0,,1.0,-1.0
5,2026-04-14T23:51:50.332392+00:00,ETHUSDT,short,20000.0,1846.99,1832.71,154.63,0.0,2,0.19999999999999998,normal,normal,0.0,500.1651,0.3092,,0.3092
7,2026-04-14T23:51:55.532980+00:00,ADAUSDT,short,7081.4691,0.3292,0.3419,-273.1915,0.0,2,0.07081469086409022,normal,normal,-273.1915,30.1156,,1.0,-1.0
8,2026-04-14T23:51:58.061620+00:00,ADAUSDT,short,6277.5543,0.3419,0.3624,-376.3962,0.0,1,0.06277554281845221,normal,normal,-376.3962,0.0,,1.0,-1.0
12,2026-04-14T23:52:24.952978+00:00,ETHUSDT,long,22918.5309,1832.71,2077.72,3063.9159,0.0,7,0.22918530913590976,crisis,normal,0.0,3609.1456,0.8489,,0.8489
16,2026-04-14T23:52:34.554223+00:00,ETHUSDT,long,20000.0,2077.72,1979.39,-946.5183,0.0,4,0.19999999999999998,crisis,normal,-946.5183,0.0,,1.0,-1.0
17,2026-04-14T23:52:36.154061+00:00,ADAUSDT,short,10000.0,0.3859,0.3788,183.9855,0.0,5,0.09999999999999999,normal,normal,0.0,754.0814,0.244,,0.244
33,2026-04-14T23:53:31.544198+00:00,ETHUSDT,short,6250.0,2083.09,2087.24,-12.4515,0.0,6,0.0625,normal,normal,-12.4515,166.7895,,1.0,-1.0
34,2026-04-14T23:53:33.805817+00:00,ADAUSDT,short,6250.0,0.3941,0.3976,-55.5062,0.0,7,0.0625,normal,normal,-55.5062,288.6323,,1.0,-1.0
38,2026-04-14T23:53:42.426247+00:00,ARBUSDT,long,8476.6585,1.0922,1.0587,-259.9964,0.0,2,0.08476658476658477,normal,normal,-259.9964,0.0,,1.0,-1.0
41,2026-04-14T23:53:57.466528+00:00,ARBUSDT,long,8484.1847,1.0587,1.1392,645.109,0.0,3,0.08484184680564248,normal,normal,0.0,907.1594,0.7111,,0.7111
43,2026-04-14T23:54:01.994772+00:00,ARBUSDT,long,8501.5864,1.1558,1.0952,-445.7485,0.0,1,0.08501586385924431,normal,normal,-445.7485,0.0,,1.0,-1.0
45,2026-04-14T23:54:06.236448+00:00,ADAUSDT,short,6090.6515,0.5784,0.6675,-938.2383,0.0,1,0.06090651459855638,normal,normal,-938.2383,0.0,,1.0,-1.0
47,2026-04-14T23:54:09.805180+00:00,ETHUSDT,long,6409.3485,2203.46,2220.5,49.5654,0.0,3,0.06409348540144362,normal,normal,0.0,325.3745,0.1523,,0.1523
53,2026-04-14T23:54:47.668530+00:00,ADAUSDT,short,7081.6704,0.6433,0.6351,90.2685,0.0,7,0.07081670424508761,normal,normal,0.0,739.761,0.122,,0.122
56,2026-04-14T23:54:53.543274+00:00,ETHUSDT,long,7433.8416,2324.54,2264.05,-193.446,0.0,2,0.07433841641040412,normal,normal,-193.446,0.0,,1.0,-1.0
57,2026-04-14T23:54:55.237123+00:00,ADAUSDT,short,5066.1584,0.6226,0.6242,-13.0194,0.0,3,0.050661583589595875,normal,normal,-13.0194,249.809,,1.0,-1.0
61,2026-04-14T23:55:03.107336+00:00,ETHUSDT,long,12500.0,2264.05,2299.2,194.0659,0.0,5,0.125,normal,normal,-183.1342,631.0594,0.3075,,0.3075
62,2026-04-14T23:55:04.866163+00:00,ADAUSDT,long,6213.9713,0.6158,0.6011,-148.3361,0.0,2,0.062139713136022665,normal,normal,-148.3361,0.0,,1.0,-1.0
65,2026-04-14T23:55:11.299613+00:00,ADAUSDT,long,8311.9722,0.6011,0.605,53.9289,0.0,3,0.08311972162466034,crisis,normal,-98.1783,305.5974,0.1765,,0.1765
69,2026-04-14T23:55:20.888686+00:00,ADAUSDT,long,12500.0,0.5414,0.5227,-431.751,0.0,1,0.125,crisis,normal,-431.751,0.0,,1.0,-1.0
