cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
4,2026-04-14T23:51:47.301829+00:00,ADAUSDT,long,15000.0,1.051,1.027,-342.5309,0.0,2,0.15,normal,normal,-342.5309,642.2455,,1.0,-1.0
4,2026-04-14T23:51:47.301845+00:00,NEARUSDT,long,15000.0,11.12,10.863,-346.6727,0.0,2,0.15,normal,normal,-346.6727,122.7518,,1.0,-1.0
6,2026-04-14T23:51:51.602715+00:00,ETHUSDT,short,18256.7083,2680.67,2994.99,-2140.677,0.0,2,0.18256708326104856,crisis,normal,-2140.677,0.0,,1.0,-1.0
10,2026-04-14T23:52:13.297098+00:00,NEARUSDT,long,5871.6458,10.863,12.778,1035.0918,0.0,6,0.058716458369475706,crisis,normal,0.0,1426.9672,0.7254,,0.7254
12,2026-04-14T23:52:17.588303+00:00,ADAUSDT,long,5871.6458,1.027,1.15,703.2254,0.0,8,0.058716458369475706,crisis,normal,0.0,983.372,0.7151,,0.7151
34,2026-04-14T23:53:31.920462+00:00,ADAUSDT,long,12500.0,0.903,0.844,-816.722,0.0,1,0.125,crisis,normal,-816.722,0.0,,1.0,-1.0
36,2026-04-14T23:53:36.025713+00:00,ADAUSDT,long,12500.0,0.864,0.823,-593.1713,0.0,1,0.125,normal,normal,-593.1713,0.0,,1.0,-1.0
52,2026-04-14T23:54:45.788817+00:00,ADAUSDT,long,9245.1573,0.789,0.975,2179.4667,0.0,10,0.0924515732644405,normal,normal,-35.1527,2179.4667,1.0,,1.0
55,2026-04-14T23:54:51.682165+00:00,NEARUSDT,long,7163.0065,11.07,12.221,744.7715,0.0,3,0.07163006456735692,normal,normal,0.0,1181.5402,0.6303,,0.6303
56,2026-04-14T23:54:53.184031+00:00,ADAUSDT,short,8333.3333,1.131,1.152,-154.7303,0.0,2,0.08333333333333333,high_vol,normal,-154.7303,257.8839,,1.0,-1.0
62,2026-04-14T23:55:06.022785+00:00,ETHUSDT,short,6250.0,3400.51,3455.21,-100.5364,0.0,3,0.0625,high_vol,normal,-100.5364,218.7172,,1.0,-1.0
62,2026-04-14T23:55:06.022804+00:00,ADAUSDT,short,6250.0,1.191,1.165,136.44,0.0,3,0.0625,high_vol,normal,0.0,262.3846,0.52,,0.52
64,2026-04-14T23:55:09.837851+00:00,ETHUSDT,short,6250.0,3443.77,3521.91,-141.8141,0.0,1,0.0625,high_vol,normal,-141.8141,0.0,,1.0,-1.0
