cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
3,2026-04-14T23:51:45.445413+00:00,ETHUSDT,long,30000.0,1809.04,1846.99,629.3393,0.0,2,0.3,normal,normal,0.0,629.3393,1.0,,1.0
4,2026-04-14T23:51:48.247036+00:00,ADAUSDT,short,10000.0,0.3071,0.323,-517.7467,0.0,1,0.09999999999999999,normal,normal,-517.7467,0.0,,1.0,-1.0
5,2026-04-14T23:51:50.332251+00:00,ETHUSDT,short,20000.0,1846.99,1832.71,154.63,0.0,2,0.19999999999999998,normal,normal,0.0,500.1651,0.3092,,0.3092
7,2026-04-14T23:51:54.712839+00:00,ADAUSDT,short,7081.4691,0.3292,0.3419,-273.1915,0.0,2,0.07081469086409022,normal,normal,-273.1915,30.1156,,1.0,-1.0
8,2026-04-14T23:51:56.797682+00:00,ADAUSDT,short,6277.5543,0.3419,0.3624,-376.3962,0.0,1,0.06277554281845221,normal,normal,-376.3962,0.0,,1.0,-1.0
14,2026-04-14T23:52:23.782325+00:00,ETHUSDT,long,22918.5309,1832.71,2044.68,2650.7418,0.0,9,0.22918530913590976,crisis,normal,0.0,3609.1456,0.7345,,0.7345
17,2026-04-14T23:52:32.060516+00:00,ADAUSDT,short,10000.0,0.3859,0.3788,183.9855,0.0,5,0.09999999999999999,normal,normal,0.0,754.0814,0.244,,0.244
30,2026-04-14T23:53:21.943162+00:00,ETHUSDT,short,6250.0,2083.09,2048.14,104.8622,0.0,3,0.0625,high_vol,normal,0.0,166.7895,0.6287,,0.6287
30,2026-04-14T23:53:21.943213+00:00,ADAUSDT,short,6250.0,0.3941,0.3858,131.629,0.0,3,0.0625,high_vol,normal,0.0,260.0863,0.5061,,0.5061
33,2026-04-14T23:53:29.873678+00:00,ADAUSDT,short,12500.0,0.3816,0.3844,-91.7191,0.0,2,0.125,normal,normal,-91.7191,186.7138,,1.0,-1.0
38,2026-04-14T23:53:41.004475+00:00,ARBUSDT,long,8476.6585,1.0922,1.0587,-259.9964,0.0,2,0.08476658476658477,normal,normal,-259.9964,0.0,,1.0,-1.0
