cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
4,2026-04-14T23:51:47.297616+00:00,ADAUSDT,long,15000.0,1.051,1.027,-342.5309,0.0,2,0.15,normal,normal,-342.5309,642.2455,,1.0,-1.0
4,2026-04-14T23:51:47.297631+00:00,NEARUSDT,long,15000.0,11.12,10.863,-346.6727,0.0,2,0.15,normal,normal,-346.6727,122.7518,,1.0,-1.0
6,2026-04-14T23:51:51.701920+00:00,ETHUSDT,short,18256.7083,2680.67,2994.99,-2140.677,0.0,2,0.18256708326104856,crisis,normal,-2140.677,0.0,,1.0,-1.0
10,2026-04-14T23:52:13.838837+00:00,NEARUSDT,long,5871.6458,10.863,12.778,1035.0918,0.0,6,0.058716458369475706,crisis,normal,0.0,1426.9672,0.7254,,0.7254
12,2026-04-14T23:52:18.043771+00:00,ADAUSDT,long,5871.6458,1.027,1.15,703.2254,0.0,8,0.058716458369475706,crisis,normal,0.0,983.372,0.7151,,0.7151
34,2026-04-14T23:53:20.509705+00:00,ADAUSDT,long,12500.0,0.903,0.844,-816.722,0.0,1,0.125,crisis,normal,-816.722,0.0,,1.0,-1.0
36,2026-04-14T23:53:25.628830+00:00,ADAUSDT,long,12500.0,0.864,0.823,-593.1713,0.0,1,0.125,normal,normal,-593.1713,0.0,,1.0,-1.0
50,2026-04-14T23:54:15.084184+00:00,ADAUSDT,long,9245.1573,0.789,0.879,1054.5807,0.0,8,0.0924515732644405,normal,normal,-35.1527,1335.8022,0.7895,,0.7895
55,2026-04-14T23:54:33.150032+00:00,NEARUSDT,long,7163.0065,11.07,12.221,744.7715,0.0,3,0.07163006456735692,normal,normal,0.0,1181.5402,0.6303,,0.6303
56,2026-04-14T23:54:34.694405+00:00,ADAUSDT,short,8333.3333,1.131,1.152,-154.7303,0.0,2,0.08333333333333333,high_vol,normal,-154.7303,257.8839,,1.0,-1.0
62,2026-04-14T23:54:46.490651+00:00,ETHUSDT,short,6250.0,3400.51,3455.21,-100.5364,0.0,3,0.0625,high_vol,normal,-100.5364,218.7172,,1.0,-1.0
62,2026-04-14T23:54:46.490667+00:00,ADAUSDT,short,6250.0,1.191,1.165,136.44,0.0,3,0.0625,high_vol,normal,0.0,262.3846,0.52,,0.52
64,2026-04-14T23:54:51.005691+00:00,ETHUSDT,short,6250.0,3443.77,3521.91,-141.8141,0.0,1,0.0625,high_vol,normal,-141.8141,0.0,,1.0,-1.0
64,2026-04-14T23:54:51.005705+00:00,ADAUSDT,short,6250.0,1.155,1.186,-167.7489,0.0,1,0.0625,high_vol,normal,-167.7489,0.0,,1.0,-1.0
68,2026-04-14T23:54:58.760449+00:00,ADAUSDT,short,8653.4325,1.212,1.089,878.1949,0.0,3,0.08653432475515548,high_vol,normal,0.0,1142.3673,0.7688,,0.7688
70,2026-04-14T23:55:02.842759+00:00,ETHUSDT,short,6250.0,3168.51,3258.57,-177.6466,0.0,3,0.0625,high_vol,normal,-177.6466,0.0,,1.0,-1.0
73,2026-04-14T23:55:07.950146+00:00,ETHUSDT,short,12500.0,3203.04,3027.66,684.4279,0.0,2,0.125,normal,normal,0.0,871.4378,0.7854,,0.7854
78,2026-04-14T23:55:17.098907+00:00,ADAUSDT,long,12500.0,0.933,0.914,-254.5552,0.0,3,0.125,normal,normal,-254.5552,308.1458,,1.0,-1.0
81,2026-04-14T23:55:22.838732+00:00,ADAUSDT,long,12500.0,0.937,0.937,0.0,0.0,2,0.125,normal,normal,0.0,200.1067,,,
82,2026-04-14T23:55:24.956266+00:00,ADAUSDT,long,12500.0,0.937,0.91,-360.1921,0.0,1,0.125,normal,normal,-360.1921,0.0,,1.0,-1.0
84,2026-04-14T23:55:28.122200+00:00,ADAUSDT,long,12500.0,0.906,0.886,-275.9382,0.0,1,0.125,normal,normal,-275.9382,0.0,,1.0,-1.0
87,2026-04-14T23:55:33.752283+00:00,ADAUSDT,long,12500.0,0.886,0.8259,-847.912,0.0,2,0.125,normal,normal,-847.912,160.8352,,1.0,-1.0
89,2026-04-14T23:55:37.305527+00:00,NEARUSDT,long,5898.5663,12.685,12.402,-131.5959,0.0,2,0.05898566281974354,normal,normal,-131.5959,90.2106,,1.0,-1.0
90,2026-04-14T23:55:40.054944+00:00,NEARUSDT,long,5539.4898,12.402,11.289,-497.1337,0.0,1,0.05539489773329315,normal,normal,-497.1337,0.0,,1.0,-1.0
92,2026-04-14T23:55:44.342361+00:00,ETHUSDT,short,6324.0869,2726.66,2824.81,-227.6445,0.0,1,0.06324086880592203,normal,normal,-227.6445,0.0,,1.0,-1.0
95,2026-04-14T23:55:50.898293+00:00,ETHUSDT,short,7019.4726,2856.54,2940.64,-206.6618,0.0,2,0.07019472610162525,normal,normal,-206.6618,183.9069,,1.0,-1.0
96,2026-04-14T23:55:52.482803+00:00,NEARUSDT,long,5109.8629,12.979,11.217,-693.7036,0.0,1,0.05109862900273526,crisis,normal,-693.7036,0.0,,1.0,-1.0
100,2026-04-14T23:55:59.923256+00:00,NEARUSDT,long,6305.6407,11.145,9.399,-987.8554,0.0,1,0.06305640688849971,crisis,normal,-987.8554,0.0,,1.0,-1.0
101,2026-04-14T23:56:01.484052+00:00,ETHUSDT,short,7390.1371,2940.64,2342.05,1504.3195,0.0,6,0.07390137099726474,crisis,normal,0.0,1789.5569,0.8406,,0.8406
116,2026-04-14T23:56:33.852796+00:00,NEARUSDT,long,6250.0,5.97,5.758,-221.943,0.0,1,0.0625,crisis,normal,-221.943,0.0,,1.0,-1.0
117,2026-04-14T23:56:35.418600+00:00,ADAUSDT,long,6250.0,0.5219,0.4789,-514.9454,0.0,2,0.0625,normal,normal,-514.9454,0.0,,1.0,-1.0
