cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
3,2026-04-14T23:51:45.434095+00:00,ETHUSDT,long,30000.0,1809.04,1846.99,629.3393,0.0,2,0.3,normal,normal,0.0,629.3393,1.0,,1.0
4,2026-04-14T23:51:47.798001+00:00,ADAUSDT,short,10000.0,0.3071,0.323,-517.7467,0.0,1,0.09999999999999999,normal,normal,-517.7467,0.0,,1.0,-1.0
5,2026-04-14T23:51:50.324448+00:00,ETHUSDT,short,20000.0,1846.99,1832.71,154.63,0.0,2,0.19999999999999998,normal,normal,0.0,500.1651,0.3092,,0.3092
7,2026-04-14T23:51:55.142649+00:00,ADAUSDT,short,7081.4691,0.3292,0.3419,-273.1915,0.0,2,0.07081469086409022,normal,normal,-273.1915,30.1156,,1.0,-1.0
8,2026-04-14T23:51:57.201103+00:00,ADAUSDT,short,6277.5543,0.3419,0.3624,-376.3962,0.0,1,0.06277554281845221,normal,normal,-376.3962,0.0,,1.0,-1.0
9,2026-04-14T23:51:58.850362+00:00,ETHUSDT,long,22918.5309,1832.71,1885.27,657.2769,0.0,4,0.22918530913590976,crisis,normal,0.0,853.3595,0.7702,,0.7702
16,2026-04-14T23:52:30.907306+00:00,ETHUSDT,long,20000.0,2077.72,1979.39,-946.5183,0.0,4,0.19999999999999998,crisis,normal,-946.5183,0.0,,1.0,-1.0
17,2026-04-14T23:52:32.585165+00:00,ADAUSDT,short,10000.0,0.3859,0.3788,183.9855,0.0,5,0.09999999999999999,normal,normal,0.0,754.0814,0.244,,0.244
30,2026-04-14T23:53:38.836708+00:00,ETHUSDT,short,6250.0,2083.09,2048.14,104.8622,0.0,3,0.0625,high_vol,normal,0.0,166.7895,0.6287,,0.6287
30,2026-04-14T23:53:38.836732+00:00,ADAUSDT,short,6250.0,0.3941,0.3858,131.629,0.0,3,0.0625,high_vol,normal,0.0,260.0863,0.5061,,0.5061
33,2026-04-14T23:53:44.383807+00:00,ADAUSDT,short,12500.0,0.3816,0.3844,-91.7191,0.0,2,0.125,normal,normal,-91.7191,186.7138,,1.0,-1.0
38,2026-04-14T23:53:58.162649+00:00,ARBUSDT,long,8476.6585,1.0922,1.0587,-259.9964,0.0,2,0.08476658476658477,normal,normal,-259.9964,0.0,,1.0,-1.0
41,2026-04-14T23:54:14.473873+00:00,ARBUSDT,long,8484.1847,1.0587,1.1392,645.109,0.0,3,0.08484184680564248,normal,normal,0.0,907.1594,0.7111,,0.7111
43,2026-04-14T23:54:19.581779+00:00,ARBUSDT,long,8501.5864,1.1558,1.0952,-445.7485,0.0,1,0.08501586385924431,normal,normal,-445.7485,0.0,,1.0,-1.0
45,2026-04-14T23:54:23.888214+00:00,ADAUSDT,short,6059.7509,0.5784,0.6675,-933.4782,0.0,1,0.06059750946693854,normal,normal,-933.4782,0.0,,1.0,-1.0
47,2026-04-14T23:54:28.804064+00:00,ETHUSDT,long,6440.2491,2203.46,2220.5,49.8043,0.0,3,0.06440249053306146,normal,normal,0.0,326.9432,0.1523,,0.1523
48,2026-04-14T23:54:31.251425+00:00,ADAUSDT,short,7076.566,0.6433,0.6078,390.5147,0.0,2,0.07076566046402887,normal,normal,0.0,471.9177,0.8275,,0.8275
50,2026-04-14T23:55:14.021038+00:00,ADAUSDT,short,7532.7177,0.6078,0.6021,70.6425,0.0,2,0.07532717666348088,normal,normal,0.0,339.5796,0.208,,0.208
52,2026-04-14T23:55:29.940844+00:00,ADAUSDT,short,8982.1307,0.6021,0.5894,189.4587,0.0,2,0.08982130668223766,normal,normal,0.0,387.8681,0.4885,,0.4885
53,2026-04-14T23:55:31.645414+00:00,ADAUSDT,short,8395.5824,0.5894,0.6351,-650.9639,0.0,1,0.08395582428215544,normal,normal,-650.9639,0.0,,1.0,-1.0
56,2026-04-14T23:55:36.809817+00:00,ETHUSDT,long,7371.4293,2324.54,2264.05,-191.8219,0.0,2,0.07371429313874184,normal,normal,-191.8219,0.0,,1.0,-1.0
57,2026-04-14T23:55:38.770645+00:00,ADAUSDT,short,5128.5707,0.6226,0.6242,-13.1798,0.0,3,0.05128570686125816,normal,normal,-13.1798,252.8865,,1.0,-1.0
60,2026-04-14T23:55:44.094758+00:00,ETHUSDT,long,12500.0,2264.05,2344.15,442.2385,0.0,4,0.125,normal,normal,-183.1342,631.0594,0.7008,,0.7008
62,2026-04-14T23:55:48.234526+00:00,ETHUSDT,long,6286.4969,2344.15,2291.68,-140.713,0.0,2,0.06286496918124734,normal,normal,-140.713,0.0,,1.0,-1.0
62,2026-04-14T23:55:48.234540+00:00,ADAUSDT,long,6213.5031,0.6158,0.6011,-148.3249,0.0,2,0.06213503081875265,normal,normal,-148.3249,0.0,,1.0,-1.0
