cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
3,2026-04-16T07:56:22.856782+00:00,ETHUSDT,long,6666.6667,2086.59,1966.58,-383.4326,0.0,1,0.06666666666666667,normal,normal,-383.4326,0.0,,1.0,-1.0
3,2026-04-16T07:56:22.856795+00:00,NEARUSDT,long,6666.6667,1.086,1.056,-184.1621,0.0,1,0.06666666666666667,normal,normal,-184.1621,0.0,,1.0,-1.0
3,2026-04-16T07:56:22.856804+00:00,ARBUSDT,long,6666.6667,0.1205,0.1146,-326.4177,0.0,1,0.06666666666666667,normal,normal,-326.4177,0.0,,1.0,-1.0
6,2026-04-16T07:56:29.616383+00:00,ETHUSDT,long,5695.0961,1998.33,1955.91,-120.8939,0.0,2,0.056950961038861304,crisis,normal,-120.8939,0.0,,1.0,-1.0
8,2026-04-16T07:56:34.236581+00:00,ADAUSDT,short,10000.0,0.295,0.2849,342.3729,0.0,6,0.09999999999999999,normal,normal,0.0,749.1525,0.457,,0.457
12,2026-04-16T07:56:58.723815+00:00,ARBUSDT,long,17298.8976,0.0946,0.0921,-457.159,0.0,2,0.17298897603280455,crisis,normal,-457.159,0.0,,1.0,-1.0
13,2026-04-16T07:57:00.421250+00:00,ADAUSDT,short,8467.4016,0.2717,0.2971,-791.5789,0.0,3,0.08467401597813029,crisis,normal,-791.5789,405.1388,,1.0,-1.0
22,2026-04-16T07:57:32.526899+00:00,ARBUSDT,long,26969.9938,0.1001,0.1,-26.9431,0.0,8,0.26969993814045107,normal,normal,-161.6583,1266.3234,,0.1667,-0.1667
38,2026-04-16T07:58:12.953150+00:00,ARBUSDT,long,12473.4977,0.0963,0.0925,-492.2045,0.0,1,0.12473497670722354,normal,normal,-492.2045,0.0,,1.0,-1.0
39,2026-04-16T07:58:14.731747+00:00,ETHUSDT,short,12526.5023,2084.87,2152.03,-403.5167,0.0,2,0.12526502329277647,normal,normal,-403.5167,186.1368,,1.0,-1.0
42,2026-04-16T07:58:30.668499+00:00,ARBUSDT,long,15279.2321,0.0975,0.0938,-579.8273,0.0,3,0.15279232111692845,normal,normal,-579.8273,203.7231,,1.0,-1.0
42,2026-04-16T07:58:30.668520+00:00,NEARUSDT,long,7241.9775,1.28,1.224,-316.8365,0.0,1,0.07241977450130095,normal,normal,-316.8365,0.0,,1.0,-1.0
47,2026-04-16T07:58:39.741397+00:00,ETHUSDT,short,9720.7679,2152.03,2105.43,210.4932,0.0,8,0.09720767888307157,normal,normal,-76.7442,756.1044,0.2784,,0.2784
49,2026-04-16T07:58:43.683125+00:00,NEARUSDT,long,8467.333,1.18,1.162,-129.1627,0.0,6,0.0846733304360423,normal,normal,-129.1627,78.9328,,1.0,-1.0
49,2026-04-16T07:58:43.683142+00:00,ARBUSDT,long,8467.333,0.09,0.0909,84.6733,0.0,6,0.0846733304360423,normal,normal,-150.5304,413.9585,0.2045,,0.2045
52,2026-04-16T07:59:13.220023+00:00,ETHUSDT,short,6546.5724,2057.17,2110.17,-168.6629,0.0,3,0.06546572440209442,high_vol,normal,-168.6629,10.6289,,1.0,-1.0
