cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
4,2026-04-16T07:56:25.381206+00:00,ADAUSDT,short,7500.0,0.3071,0.323,-388.31,0.0,1,0.075,normal,normal,-388.31,0.0,,1.0,-1.0
7,2026-04-16T07:56:32.142304+00:00,ADAUSDT,short,6830.6424,0.3292,0.3419,-263.5151,0.0,2,0.06830642387886728,normal,normal,-263.5151,29.0489,,1.0,-1.0
8,2026-04-16T07:56:34.241305+00:00,ADAUSDT,short,6063.8632,0.3419,0.3624,-363.5835,0.0,1,0.06063863168866006,normal,normal,-363.5835,0.0,,1.0,-1.0
11,2026-04-16T07:56:51.705608+00:00,ETHUSDT,long,30000.0,1809.04,2121.32,5178.6583,0.0,10,0.3,crisis,normal,-136.6471,5178.6583,1.0,,1.0
15,2026-04-16T07:56:59.793497+00:00,ETHUSDT,long,22500.0,2077.72,2053.65,-260.6583,0.0,3,0.22499999999999998,crisis,normal,-357.796,0.0,,0.7285,-0.7285
17,2026-04-16T07:57:03.643387+00:00,ADAUSDT,short,7500.0,0.3859,0.3788,137.9891,0.0,5,0.075,normal,normal,0.0,565.561,0.244,,0.244
19,2026-04-16T07:57:07.427709+00:00,ARBUSDT,long,8333.3333,1.0768,1.0434,-258.4819,0.0,3,0.08333333333333333,crisis,normal,-258.4819,509.2249,,1.0,-1.0
20,2026-04-16T07:57:18.635098+00:00,ETHUSDT,long,8333.3333,1979.39,1962.6,-70.6868,0.0,4,0.08333333333333333,crisis,normal,-78.1807,332.973,,0.9041,-0.9041
37,2026-04-16T07:58:06.054588+00:00,ETHUSDT,short,8058.7272,2243.37,2293.33,-179.4684,0.0,1,0.08058727176374235,normal,normal,-179.4684,0.0,,1.0,-1.0
38,2026-04-16T07:58:07.716058+00:00,ARBUSDT,long,16941.2728,1.0922,1.0587,-519.6234,0.0,2,0.16941272823625764,normal,normal,-519.6234,0.0,,1.0,-1.0
39,2026-04-16T07:58:09.416626+00:00,ETHUSDT,short,8042.8922,2232.7,2355.73,-443.193,0.0,1,0.08042892215857121,normal,normal,-443.193,0.0,,1.0,-1.0
43,2026-04-16T07:58:27.179722+00:00,ARBUSDT,long,16957.1078,1.0587,1.0952,584.6174,0.0,5,0.16957107784142877,normal,normal,0.0,1813.1148,0.3224,,0.3224
45,2026-04-16T07:58:30.653162+00:00,ADAUSDT,short,8008.0754,0.5948,0.6675,-978.7947,0.0,3,0.0800807537012113,normal,normal,-978.7947,593.7393,,1.0,-1.0
48,2026-04-16T07:58:36.311012+00:00,ETHUSDT,long,12720.736,2203.46,2228.96,147.2134,0.0,4,0.1272073597616508,normal,normal,0.0,645.776,0.228,,0.228
51,2026-04-16T07:59:00.627376+00:00,ETHUSDT,long,9920.4752,2228.96,2177.91,-227.2092,0.0,3,0.09920475172024018,normal,normal,-227.2092,0.0,,1.0,-1.0
53,2026-04-16T07:59:03.936935+00:00,ADAUSDT,short,14177.8054,0.6433,0.6351,180.7213,0.0,7,0.14177805433045454,normal,normal,0.0,1481.033,0.122,,0.122
56,2026-04-16T07:59:09.126140+00:00,ETHUSDT,long,14853.5373,2324.54,2264.05,-386.524,0.0,2,0.14853537334271744,normal,normal,-386.524,0.0,,1.0,-1.0
58,2026-04-16T07:59:13.376396+00:00,ADAUSDT,short,10146.4627,0.6226,0.6087,226.5272,0.0,4,0.10146462665728258,normal,normal,-26.0751,500.3155,0.4528,,0.4528
60,2026-04-16T07:59:17.463593+00:00,ETHUSDT,long,25000.0,2264.05,2344.15,884.4769,0.0,4,0.25,normal,normal,-366.2684,1262.1188,0.7008,,0.7008
62,2026-04-16T07:59:22.149381+00:00,ADAUSDT,long,6597.7101,0.6087,0.6011,-82.3765,0.0,4,0.06597710076240196,normal,normal,-82.3765,267.7237,,1.0,-1.0
62,2026-04-16T07:59:22.149394+00:00,ETHUSDT,long,12572.0574,2344.15,2291.68,-281.4051,0.0,2,0.12572057372795467,normal,normal,-281.4051,0.0,,1.0,-1.0
66,2026-04-16T07:59:34.828668+00:00,ETHUSDT,long,8376.0557,2291.68,2209.72,-299.5626,0.0,4,0.08376055675067931,crisis,normal,-299.5626,232.6763,,1.0,-1.0
66,2026-04-16T07:59:34.828684+00:00,ADAUSDT,long,16623.9443,0.6011,0.5569,-1222.3895,0.0,4,0.1662394432493207,crisis,normal,-1222.3895,611.1948,,1.0,-1.0
69,2026-04-16T07:59:40.073142+00:00,ADAUSDT,long,25000.0,0.5414,0.5227,-863.502,0.0,1,0.25,crisis,normal,-863.502,0.0,,1.0,-1.0
73,2026-04-16T07:59:47.746034+00:00,ETHUSDT,short,5976.9997,2344.29,2584.38,-612.1333,0.0,1,0.05976999720803001,crisis,normal,-612.1333,0.0,,1.0,-1.0
75,2026-04-16T07:59:51.196407+00:00,ADAUSDT,long,25000.0,0.4945,0.5476,2684.5298,0.0,5,0.25,crisis,normal,0.0,4423.6603,0.6069,,0.6069
76,2026-04-16T07:59:53.181555+00:00,NEARUSDT,long,9511.5001,3.222,3.404,537.2728,0.0,4,0.095115001395985,crisis,normal,0.0,1151.2989,0.4667,,0.4667
77,2026-04-16T07:59:54.947361+00:00,NEARUSDT,long,7641.7583,3.404,3.307,-217.7587,0.0,1,0.07641758287169063,crisis,normal,-217.7587,0.0,,1.0,-1.0
78,2026-04-16T07:59:56.706285+00:00,ETHUSDT,short,11743.6013,2618.01,2511.78,476.5157,0.0,4,0.11743601269214439,crisis,normal,0.0,651.0542,0.7319,,0.7319
79,2026-04-16T07:59:58.392348+00:00,ETHUSDT,short,14433.1147,2511.78,2587.4,-434.5254,0.0,1,0.1443311471161645,crisis,normal,-434.5254,0.0,,1.0,-1.0
81,2026-04-16T08:00:01.946157+00:00,NEARUSDT,long,7131.9955,3.306,3.083,-481.0753,0.0,3,0.07131995548043496,crisis,normal,-481.0753,4.3146,,1.0,-1.0
84,2026-04-16T08:00:07.958319+00:00,NEARUSDT,long,10349.4673,3.01,2.922,-302.5758,0.0,2,0.1034946726817243,crisis,normal,-302.5758,0.0,,1.0,-1.0
85,2026-04-16T08:00:09.724423+00:00,NEARUSDT,long,12072.4089,2.922,2.649,-1127.915,0.0,1,0.12072408911525744,crisis,normal,-1127.915,0.0,,1.0,-1.0
90,2026-04-16T08:00:19.261236+00:00,ETHUSDT,short,12068.693,2530.19,2267.94,1250.9,0.0,10,0.12068693046449441,normal,normal,0.0,1486.0549,0.8418,,0.8418
94,2026-04-16T08:00:28.307518+00:00,NEARUSDT,long,10732.98,2.65,2.823,700.6813,0.0,8,0.10732980016207727,normal,normal,0.0,1462.1154,0.4792,,0.4792
94,2026-04-16T08:00:28.307529+00:00,ARBUSDT,long,9752.7628,1.6902,1.7635,422.9544,0.0,8,0.09752762841402265,normal,normal,0.0,1124.0316,0.3763,,0.3763
94,2026-04-16T08:00:28.307537+00:00,ETHUSDT,long,10628.9802,2343.01,2283.14,-271.5981,0.0,1,0.10628980204857089,normal,normal,-271.5981,0.0,,1.0,-1.0
98,2026-04-16T08:00:37.346078+00:00,NEARUSDT,long,5094.1982,2.855,2.754,-180.2151,0.0,3,0.05094198171049537,high_vol,normal,-180.2151,80.2938,,1.0,-1.0
98,2026-04-16T08:00:37.346099+00:00,ARBUSDT,long,9386.5727,1.7845,1.7315,-278.783,0.0,3,0.09386572666875155,high_vol,normal,-278.783,43.6585,,1.0,-1.0
105,2026-04-16T08:00:52.364113+00:00,ETHUSDT,long,10519.2292,2304.28,2507.21,926.3923,0.0,10,0.10519229162075308,high_vol,normal,-66.1481,926.3923,1.0,,1.0
119,2026-04-16T08:01:32.047302+00:00,ETHUSDT,short,5426.5587,2971.4,3112.59,-257.8501,0.0,3,0.05426558732292922,normal,normal,-257.8501,89.7791,,1.0,-1.0
121,2026-04-16T08:01:36.182664+00:00,ETHUSDT,short,9351.6696,3175.94,3242.36,-195.5761,0.0,1,0.09351669601616475,normal,normal,-195.5761,0.0,,1.0,-1.0
126,2026-04-16T08:01:51.613567+00:00,ARBUSDT,long,15303.4906,1.808,2.0439,1996.7331,0.0,10,0.15303490638377024,normal,normal,-78.7182,1996.7331,1.0,,1.0
126,2026-04-16T08:01:51.613581+00:00,ETHUSDT,short,9583.0865,3383.1,3487.81,-296.6052,0.0,4,0.09583086456227345,normal,normal,-296.6052,121.8316,,1.0,-1.0
127,2026-04-16T08:01:53.440370+00:00,ARBUSDT,long,21214.2725,2.0439,1.9823,-639.3655,0.0,1,0.21214272506149215,crisis,normal,-639.3655,0.0,,1.0,-1.0
132,2026-04-16T08:02:09.932134+00:00,ARBUSDT,long,15663.365,2.1645,2.0962,-494.2517,0.0,2,0.156633649759731,crisis,normal,-494.2517,0.0,,1.0,-1.0
134,2026-04-16T08:02:17.141764+00:00,ETHUSDT,short,13934.1201,3905.21,4064.8,-569.4306,0.0,2,0.1393412012919644,crisis,normal,-569.4306,95.4106,,1.0,-1.0
134,2026-04-16T08:02:17.141776+00:00,ADAUSDT,short,11065.8799,0.7416,0.7754,-504.3511,0.0,2,0.11065879870803558,crisis,normal,-504.3511,373.0407,,1.0,-1.0
135,2026-04-16T08:02:20.739889+00:00,ARBUSDT,long,16830.342,2.083,2.0173,-530.8466,0.0,1,0.1683034202505926,crisis,normal,-530.8466,0.0,,1.0,-1.0
137,2026-04-16T08:02:26.515136+00:00,ARBUSDT,long,20838.7855,2.1152,2.0155,-982.2366,0.0,1,0.20838785482995933,crisis,normal,-982.2366,0.0,,1.0,-1.0
139,2026-04-16T08:02:33.213748+00:00,ADAUSDT,long,5085.6883,0.7274,0.6591,-477.5261,0.0,1,0.05085688266073102,crisis,normal,-477.5261,0.0,,1.0,-1.0
