cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
5,2026-04-16T08:30:10.828343+00:00,ETHUSDT,long,6666.6667,2086.59,1991.66,-303.3019,0.0,3,0.06666666666666667,crisis,normal,-383.4326,0.0,,0.791,-0.791
5,2026-04-16T08:30:10.828357+00:00,NEARUSDT,long,6666.6667,1.086,1.044,-257.8269,0.0,3,0.06666666666666667,crisis,normal,-257.8269,0.0,,1.0,-1.0
5,2026-04-16T08:30:10.828367+00:00,ARBUSDT,long,6666.6667,0.1205,0.1128,-426.0028,0.0,3,0.06666666666666667,crisis,normal,-426.0028,0.0,,1.0,-1.0
8,2026-04-16T08:30:18.912972+00:00,ADAUSDT,short,10000.0,0.295,0.2849,342.3729,0.0,6,0.09999999999999999,normal,normal,0.0,749.1525,0.457,,0.457
13,2026-04-16T08:30:42.434559+00:00,ADAUSDT,short,8398.5016,0.2717,0.2971,-785.1378,0.0,3,0.08398501607417118,crisis,normal,-785.1378,401.8422,,1.0,-1.0
20,2026-04-16T08:31:10.515873+00:00,ARBUSDT,long,17402.2476,0.0946,0.1048,1876.3523,0.0,10,0.1740224758887432,crisis,normal,-459.8903,1876.3523,1.0,,1.0
40,2026-04-16T08:32:19.464955+00:00,ETHUSDT,short,12800.0393,2084.87,2156.23,-438.114,0.0,3,0.12800039283473374,normal,normal,-438.114,190.2014,,1.0,-1.0
42,2026-04-16T08:32:24.096170+00:00,ARBUSDT,long,12199.9607,0.0963,0.0938,-316.7176,0.0,5,0.12199960716526628,normal,normal,-481.4107,316.7176,,0.6579,-0.6579
44,2026-04-16T08:32:28.012856+00:00,NEARUSDT,long,7241.9775,1.28,1.173,-605.3841,0.0,3,0.07241977450130095,normal,normal,-605.3841,0.0,,1.0,-1.0
47,2026-04-16T08:32:36.159972+00:00,ETHUSDT,short,6895.0564,2169.02,2105.43,202.145,0.0,6,0.06895056374674761,normal,normal,0.0,586.1221,0.3449,,0.3449
49,2026-04-16T08:32:41.165140+00:00,ARBUSDT,long,8423.9065,0.09,0.0909,84.2391,0.0,6,0.0842390650467934,normal,normal,-149.7583,411.8354,0.2045,,0.2045
49,2026-04-16T08:32:41.165159+00:00,NEARUSDT,long,14433.4293,1.164,1.162,-24.7997,0.0,4,0.14433429256538757,normal,normal,-24.7997,334.796,,1.0,-1.0
