cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
4,2026-04-16T08:30:08.056711+00:00,ETHUSDT,long,30000.0,1809.04,1800.8,-136.6471,0.0,3,0.3,normal,normal,-136.6471,629.3393,,1.0,-1.0
6,2026-04-16T08:30:12.253387+00:00,ADAUSDT,short,7500.0,0.3071,0.3278,-505.5357,0.0,3,0.075,normal,normal,-539.7265,0.0,,0.9367,-0.9367
10,2026-04-16T08:30:29.718511+00:00,ADAUSDT,short,6078.5699,0.3419,0.3577,-280.905,0.0,3,0.06078569935612066,crisis,normal,-364.4653,0.0,,0.7707,-0.7707
14,2026-04-16T08:30:38.610975+00:00,ETHUSDT,long,23234.04,1832.71,2044.68,2687.2334,0.0,9,0.23234040009991958,crisis,normal,0.0,3658.8311,0.7345,,0.7345
17,2026-04-16T08:30:44.561156+00:00,ADAUSDT,short,7500.0,0.3859,0.3788,137.9891,0.0,5,0.075,normal,normal,0.0,565.561,0.244,,0.244
19,2026-04-16T08:30:49.462247+00:00,ETHUSDT,long,8333.3333,1979.39,1960.82,-78.1807,0.0,3,0.08333333333333333,crisis,normal,-78.1807,332.973,,1.0,-1.0
19,2026-04-16T08:30:49.462268+00:00,ARBUSDT,long,8333.3333,1.0768,1.0434,-258.4819,0.0,3,0.08333333333333333,crisis,normal,-258.4819,509.2249,,1.0,-1.0
39,2026-04-16T08:32:04.716036+00:00,ETHUSDT,short,8059.5433,2243.37,2355.73,-403.6651,0.0,3,0.08059543308603911,normal,normal,-403.6651,38.3331,,1.0,-1.0
41,2026-04-16T08:32:18.983444+00:00,ARBUSDT,long,16940.4567,1.0922,1.1392,728.9887,0.0,5,0.16940456691396089,normal,normal,-519.5983,1236.1787,0.5897,,0.5897
45,2026-04-16T08:32:28.136543+00:00,ARBUSDT,long,16990.3379,1.1558,1.186,443.942,0.0,3,0.16990337932029034,normal,normal,-890.8241,1415.6165,0.3136,,0.3136
