cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
4,2026-04-16T08:50:19.552785+00:00,ADAUSDT,long,7500.0,1.096,1.027,-472.1715,0.0,1,0.075,normal,normal,-472.1715,0.0,,1.0,-1.0
4,2026-04-16T08:50:19.552803+00:00,NEARUSDT,long,7500.0,11.211,10.863,-232.8071,0.0,1,0.075,normal,normal,-232.8071,0.0,,1.0,-1.0
6,2026-04-16T08:50:23.089672+00:00,ETHUSDT,short,15000.0,2787.23,2994.99,-1118.0993,0.0,3,0.15,crisis,normal,-1118.0993,573.4726,,1.0,-1.0
10,2026-04-16T08:50:48.866213+00:00,NEARUSDT,long,7685.4855,10.959,12.778,1275.6545,0.0,5,0.07685485491733797,crisis,normal,0.0,1784.093,0.715,,0.715
30,2026-04-16T08:51:57.526291+00:00,ETHUSDT,short,6148.4497,2616.79,2920.95,-714.659,0.0,1,0.061484497110246804,crisis,normal,-714.659,0.0,,1.0,-1.0
33,2026-04-16T08:52:02.983333+00:00,ADAUSDT,long,9425.7751,0.856,0.903,517.5367,0.0,4,0.0942577514448766,crisis,normal,0.0,1178.2219,0.4393,,0.4393
34,2026-04-16T08:52:05.634326+00:00,NEARUSDT,long,9425.7751,8.508,10.428,2127.1143,0.0,5,0.0942577514448766,crisis,normal,0.0,3655.9777,0.5818,,0.5818
34,2026-04-16T08:52:05.634350+00:00,ADAUSDT,long,25000.0,0.903,0.844,-1633.4441,0.0,1,0.25,crisis,normal,-1633.4441,0.0,,1.0,-1.0
36,2026-04-16T08:52:10.077462+00:00,ADAUSDT,long,25000.0,0.864,0.823,-1186.3426,0.0,1,0.25,normal,normal,-1186.3426,0.0,,1.0,-1.0
43,2026-04-16T08:52:35.875426+00:00,ETHUSDT,long,6883.4605,2568.8,2515.65,-142.4229,0.0,1,0.06883460467123341,crisis,normal,-142.4229,0.0,,1.0,-1.0
52,2026-04-16T08:53:16.151521+00:00,ADAUSDT,long,18116.5395,0.789,0.975,4270.8192,0.0,10,0.18116539532876658,normal,normal,-68.8842,4270.8192,1.0,,1.0
