cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
5,2026-04-16T10:36:25.799523+00:00,ADAUSDT,long,15000.0,1.051,1.061,142.7212,0.0,3,0.15,normal,normal,-342.5309,642.2455,0.2222,,0.2222
5,2026-04-16T10:36:25.799539+00:00,NEARUSDT,long,15000.0,11.12,10.959,-217.1763,0.0,3,0.15,normal,normal,-346.6727,122.7518,,0.6265,-0.6265
7,2026-04-16T10:36:30.792107+00:00,ETHUSDT,short,14086.2097,2680.67,3012.65,-1744.4668,0.0,3,0.14086209679187556,crisis,normal,-1744.4668,0.0,,1.0,-1.0
32,2026-04-16T10:38:38.911000+00:00,ETHUSDT,short,6149.1349,2616.79,2947.3,-776.6579,0.0,3,0.06149134922942717,crisis,normal,-844.8748,0.0,,0.9193,-0.9193
33,2026-04-16T10:38:40.802850+00:00,ADAUSDT,long,9425.4325,0.856,0.903,517.5179,0.0,4,0.09425432538528643,crisis,normal,0.0,1178.1791,0.4393,,0.4393
34,2026-04-16T10:38:43.098661+00:00,NEARUSDT,long,9425.4325,8.508,10.428,2127.037,0.0,5,0.09425432538528643,crisis,normal,0.0,3655.8448,0.5818,,0.5818
36,2026-04-16T10:38:47.604139+00:00,ADAUSDT,long,25000.0,0.903,0.823,-2214.8394,0.0,3,0.25,normal,normal,-2214.8394,0.0,,1.0,-1.0
48,2026-04-16T10:39:26.099419+00:00,ETHUSDT,long,6375.0497,2568.8,2938.92,918.5353,0.0,6,0.06375049702668134,crisis,normal,-131.9036,918.5353,1.0,,1.0
52,2026-04-16T10:39:58.860592+00:00,ADAUSDT,long,18624.9503,0.789,0.975,4390.6727,0.0,10,0.18624950297331863,normal,normal,-70.8173,4390.6727,1.0,,1.0
52,2026-04-16T10:39:58.860607+00:00,ETHUSDT,short,5337.1351,2938.92,2969.64,-55.7881,0.0,4,0.05337135075505537,normal,normal,-55.7881,140.8141,,1.0,-1.0
55,2026-04-16T10:40:04.806491+00:00,NEARUSDT,long,16690.2163,11.07,12.221,1735.3603,0.0,3,0.16690216332099006,normal,normal,0.0,2753.0565,0.6303,,0.6303
57,2026-04-16T10:40:09.238497+00:00,ETHUSDT,short,8333.3333,3110.76,3295.65,-495.297,0.0,3,0.08333333333333334,high_vol,normal,-495.297,23.0919,,1.0,-1.0
57,2026-04-16T10:40:09.238509+00:00,ADAUSDT,short,16666.6667,1.131,1.184,-781.0197,0.0,3,0.16666666666666669,high_vol,normal,-781.0197,515.7678,,1.0,-1.0
78,2026-04-16T10:40:57.951210+00:00,ADAUSDT,long,25000.0,0.933,0.914,-509.1104,0.0,3,0.25,normal,normal,-509.1104,616.2915,,1.0,-1.0
82,2026-04-16T10:41:07.995816+00:00,ADAUSDT,long,25000.0,0.937,0.91,-720.3842,0.0,3,0.25,normal,normal,-720.3842,400.2134,,1.0,-1.0
87,2026-04-16T10:41:27.042014+00:00,ADAUSDT,long,25000.0,0.906,0.8259,-2210.2649,0.0,4,0.25,normal,normal,-2210.2649,0.0,,1.0,-1.0
90,2026-04-16T10:41:35.173876+00:00,ADAUSDT,long,7300.7242,0.8259,0.8048,-186.5181,0.0,3,0.07300724231793987,normal,normal,-186.5181,152.9271,,1.0,-1.0
90,2026-04-16T10:41:35.173893+00:00,NEARUSDT,long,17699.2758,12.685,11.289,-1947.8273,0.0,3,0.17699275768206013,normal,normal,-1947.8273,270.6866,,1.0,-1.0
92,2026-04-16T10:41:42.032851+00:00,ETHUSDT,short,5286.7197,2936.93,2824.81,201.8254,0.0,3,0.05286719693738993,normal,normal,0.0,378.5036,0.5332,,0.5332
94,2026-04-16T10:41:46.426844+00:00,ADAUSDT,long,8412.6946,0.7556,0.7711,172.5738,0.0,3,0.08412694576041767,normal,normal,0.0,377.4356,0.4572,,0.4572
96,2026-04-16T10:41:50.795146+00:00,NEARUSDT,long,8412.6946,10.336,11.217,717.065,0.0,5,0.08412694576041767,crisis,normal,0.0,2151.195,0.3333,,0.3333
102,2026-04-16T10:42:03.296731+00:00,NEARUSDT,long,16747.5257,11.145,6.508,-6967.9925,0.0,3,0.16747525713176792,crisis,normal,-6967.9925,0.0,,1.0,-1.0
