cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
7,2026-04-16T10:36:31.026110+00:00,NEARUSDT,long,5667.4071,1.058,1.007,-273.1926,0.0,3,0.0566740712768657,normal,normal,-273.1926,0.0,,1.0,-1.0
7,2026-04-16T10:36:31.026124+00:00,ARBUSDT,long,10698.6047,0.1153,0.098,-1605.2546,0.0,3,0.10698604667304479,normal,normal,-1605.2546,0.0,,1.0,-1.0
8,2026-04-16T10:36:33.184215+00:00,ADAUSDT,short,13633.9882,0.2858,0.2849,42.9342,0.0,4,0.1363398820500895,normal,normal,0.0,615.39,0.0698,,0.0698
12,2026-04-16T10:36:54.560481+00:00,ETHUSDT,short,22251.6125,2086.59,1851.94,2502.332,0.0,10,0.22251612529517883,crisis,normal,0.0,2502.332,1.0,,1.0
20,2026-04-16T10:37:20.629860+00:00,ARBUSDT,long,25388.8675,0.0946,0.1048,2737.4889,0.0,10,0.2538886745695199,crisis,normal,-670.9532,2737.4889,1.0,,1.0
40,2026-04-16T10:38:26.582018+00:00,ETHUSDT,short,12348.7416,2084.87,2156.23,-422.6672,0.0,3,0.12348741569405042,normal,normal,-422.6672,183.4954,,1.0,-1.0
42,2026-04-16T10:38:32.634633+00:00,ARBUSDT,long,12651.2584,0.0963,0.0938,-328.4335,0.0,5,0.12651258430594955,normal,normal,-499.2189,328.4335,,0.6579,-0.6579
44,2026-04-16T10:38:36.903595+00:00,NEARUSDT,long,7241.0644,1.28,1.173,-605.3077,0.0,3,0.07241064364635194,normal,normal,-605.3077,0.0,,1.0,-1.0
47,2026-04-16T10:38:44.522425+00:00,ETHUSDT,short,6896.2026,2169.02,2105.43,202.1786,0.0,6,0.06896202608213098,normal,normal,0.0,586.2195,0.3449,,0.3449
49,2026-04-16T10:38:49.568539+00:00,ARBUSDT,long,11799.406,0.09,0.0909,117.9941,0.0,6,0.11799406036335582,normal,normal,-209.7672,576.8599,0.2045,,0.2045
49,2026-04-16T10:38:49.568555+00:00,NEARUSDT,long,14653.0936,1.164,1.162,-25.1771,0.0,4,0.14653093623548571,normal,normal,-25.1771,339.8913,,1.0,-1.0
52,2026-04-16T10:39:33.627355+00:00,ETHUSDT,short,6496.2548,2057.17,2110.17,-167.3666,0.0,3,0.06496254808337508,high_vol,normal,-167.3666,10.5473,,1.0,-1.0
53,2026-04-16T10:39:35.899737+00:00,ADAUSDT,long,6951.3882,0.2418,0.2461,123.6186,0.0,6,0.06951388185922033,high_vol,normal,-68.9964,258.7365,0.4778,,0.4778
59,2026-04-16T10:39:47.613932+00:00,NEARUSDT,long,11784.9103,1.162,1.346,1866.1132,0.0,10,0.11784910309055334,normal,normal,0.0,2434.0606,0.7667,,0.7667
64,2026-04-16T10:39:56.832607+00:00,ADAUSDT,long,14974.4781,0.2443,0.2818,2298.5793,0.0,3,0.1497447807399059,crisis,normal,0.0,3107.6792,0.7396,,0.7396
65,2026-04-16T10:39:58.529821+00:00,ETHUSDT,short,10025.5219,2386.68,1998.33,1631.3085,0.0,4,0.10025521926009409,crisis,normal,0.0,1764.678,0.9244,,0.9244
68,2026-04-16T10:40:05.155734+00:00,ETHUSDT,long,5005.715,1998.33,1949.08,-123.3687,0.0,3,0.05005715034667774,crisis,normal,-123.3687,0.0,,1.0,-1.0
69,2026-04-16T10:40:06.871929+00:00,ADAUSDT,short,12598.0381,0.2858,0.2849,39.6719,0.0,4,0.12598038059675234,crisis,normal,0.0,568.6308,0.0698,,0.0698
70,2026-04-16T10:40:08.674705+00:00,ARBUSDT,long,6958.4363,0.1077,0.0983,-607.3287,0.0,3,0.06958436258444899,crisis,normal,-691.321,0.0,,0.8785,-0.8785
74,2026-04-16T10:40:17.467054+00:00,ADAUSDT,short,7785.2189,0.2849,0.2971,-333.379,0.0,5,0.07785218880560216,crisis,normal,-333.379,715.945,,1.0,-1.0
80,2026-04-16T10:40:33.325940+00:00,ETHUSDT,long,5321.8949,1964.51,1982.8,49.548,0.0,3,0.05321894856911159,normal,normal,-67.1837,170.2348,0.2911,,0.2911
81,2026-04-16T10:40:35.590208+00:00,ARBUSDT,long,17611.8998,0.0946,0.1048,1898.9575,0.0,10,0.17611899824154972,normal,normal,-465.4308,1898.9575,1.0,,1.0
85,2026-04-16T10:40:44.703246+00:00,ADAUSDT,long,17137.7566,0.2692,0.2493,-1266.8698,0.0,3,0.17137756556226239,normal,normal,-1266.8698,0.0,,1.0,-1.0
85,2026-04-16T10:40:44.703260+00:00,ARBUSDT,long,7862.2434,0.1028,0.0945,-634.792,0.0,3,0.07862243443773764,normal,normal,-634.792,0.0,,1.0,-1.0
95,2026-04-16T10:41:11.525521+00:00,ADAUSDT,long,25000.0,0.2552,0.2742,1861.2853,0.0,9,0.25,normal,normal,0.0,3448.2759,0.5398,,0.5398
101,2026-04-16T10:41:27.032578+00:00,ETHUSDT,short,12649.1869,2084.87,2156.23,-432.9507,0.0,3,0.12649186907560653,normal,normal,-432.9507,187.9598,,1.0,-1.0
103,2026-04-16T10:41:32.337260+00:00,ARBUSDT,long,12350.8131,0.0963,0.0938,-320.6338,0.0,5,0.12350813092439349,normal,normal,-487.3633,320.6338,,0.6579,-0.6579
105,2026-04-16T10:41:36.951005+00:00,NEARUSDT,long,7119.7122,1.28,1.173,-595.1634,0.0,3,0.07119712238149033,normal,normal,-595.1634,0.0,,1.0,-1.0
108,2026-04-16T10:41:45.120910+00:00,ETHUSDT,short,6850.6208,2169.02,2105.43,200.8423,0.0,6,0.0685062075198277,normal,normal,0.0,582.3448,0.3449,,0.3449
110,2026-04-16T10:41:49.756679+00:00,ARBUSDT,long,12301.0629,0.09,0.0909,123.0106,0.0,6,0.12301062878620411,normal,normal,-218.6856,601.3853,0.2045,,0.2045
110,2026-04-16T10:41:49.756693+00:00,NEARUSDT,long,14725.1119,1.164,1.162,-25.3009,0.0,4,0.1472511192611653,normal,normal,-25.3009,341.5619,,1.0,-1.0
113,2026-04-16T10:41:58.278694+00:00,ETHUSDT,short,6062.1972,2057.17,2110.17,-156.1837,0.0,3,0.060621972473703815,high_vol,normal,-156.1837,9.8425,,1.0,-1.0
114,2026-04-16T10:41:59.987611+00:00,ADAUSDT,long,6842.5054,0.2418,0.2461,121.6823,0.0,6,0.06842505390818825,high_vol,normal,-67.9157,254.6838,0.4778,,0.4778
120,2026-04-16T10:42:16.941510+00:00,NEARUSDT,long,12667.8975,1.162,1.346,2005.9321,0.0,10,0.12667897471420234,normal,normal,0.0,2616.4332,0.7667,,0.7667
125,2026-04-16T10:42:34.821976+00:00,ADAUSDT,long,10490.0476,0.2443,0.2818,1610.2202,0.0,3,0.1049004760859857,crisis,normal,0.0,2177.0177,0.7396,,0.7396
126,2026-04-16T10:42:37.368576+00:00,ETHUSDT,short,14509.9524,2386.68,1998.33,2360.9952,0.0,4,0.14509952391401434,crisis,normal,0.0,2554.0211,0.9244,,0.9244
129,2026-04-16T10:42:50.249068+00:00,ETHUSDT,long,5041.6861,1998.33,1949.08,-124.2553,0.0,3,0.05041686095964997,crisis,normal,-124.2553,0.0,,1.0,-1.0
