cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
5,2026-04-16T10:36:26.827230+00:00,ETHUSDT,short,20000.0,1814.67,1832.71,-198.824,0.0,3,0.19999999999999998,normal,normal,-356.208,152.8653,,0.5582,-0.5582
5,2026-04-16T10:36:26.827248+00:00,ADAUSDT,short,10000.0,0.293,0.3292,-1235.4949,0.0,3,0.09999999999999999,normal,normal,-1235.4949,0.0,,1.0,-1.0
9,2026-04-16T10:36:35.154606+00:00,ADAUSDT,short,30000.0,0.3278,0.3512,-2141.5497,0.0,3,0.3,crisis,normal,-3166.565,0.0,,0.6763,-0.6763
13,2026-04-16T10:36:55.530094+00:00,ETHUSDT,long,30000.0,1900.95,2053.17,2402.2725,0.0,5,0.3,crisis,normal,-247.4552,3477.7874,0.6907,,0.6907
18,2026-04-16T10:37:05.917895+00:00,ETHUSDT,long,25220.94,2044.68,1961.77,-1022.6872,0.0,4,0.2522094000077941,crisis,normal,-1022.6872,170.2217,,1.0,-1.0
39,2026-04-16T10:38:16.979891+00:00,ETHUSDT,short,25000.0,2243.37,2355.73,-1252.1341,0.0,3,0.25,normal,normal,-1252.1341,118.9059,,1.0,-1.0
41,2026-04-16T10:38:32.533478+00:00,ARBUSDT,long,16953.11,1.0587,1.1392,1289.0577,0.0,3,0.16953109955709608,normal,normal,0.0,1812.6873,0.7111,,0.7111
44,2026-04-16T10:38:41.451277+00:00,ADAUSDT,short,8030.303,0.5454,0.5784,-485.8819,0.0,4,0.0803030303030303,normal,normal,-727.3505,0.0,,0.668,-0.668
45,2026-04-16T10:38:43.704538+00:00,ARBUSDT,long,16987.9344,1.1558,1.186,443.8792,0.0,3,0.16987934432533766,normal,normal,-890.6981,1415.4162,0.3136,,0.3136
47,2026-04-16T10:38:48.410981+00:00,ETHUSDT,long,12862.0815,2203.46,2220.5,99.4662,0.0,3,0.12862081513828238,normal,normal,0.0,652.9515,0.1523,,0.1523
47,2026-04-16T10:38:48.410997+00:00,ADAUSDT,short,12137.9185,0.5784,0.6004,-461.6774,0.0,3,0.1213791848617176,normal,normal,-1869.7935,0.0,,0.2469,-0.2469
51,2026-04-16T10:39:28.838322+00:00,ETHUSDT,long,10218.0903,2228.96,2177.91,-234.0255,0.0,3,0.10218090253017902,normal,normal,-234.0255,0.0,,1.0,-1.0
53,2026-04-16T10:39:38.021956+00:00,ADAUSDT,short,14781.9097,0.6078,0.6351,-663.9456,0.0,5,0.14781909746982097,normal,normal,-663.9456,770.9551,,1.0,-1.0
57,2026-04-16T10:39:48.008336+00:00,ETHUSDT,long,15046.6175,2324.54,2271.35,-344.2959,0.0,3,0.15046617518207883,normal,normal,-391.5484,0.0,,0.8793,-0.8793
57,2026-04-16T10:39:48.008357+00:00,ADAUSDT,short,9953.3825,0.6226,0.6242,-25.5789,0.0,3,0.09953382481792115,normal,normal,-25.5789,490.7948,,1.0,-1.0
61,2026-04-16T10:39:54.827575+00:00,ETHUSDT,long,18061.8697,2230.88,2299.2,553.1391,0.0,3,0.18061869708116232,normal,normal,0.0,1193.9611,0.4633,,0.4633
61,2026-04-16T10:39:54.827588+00:00,ADAUSDT,long,6938.1303,0.6087,0.6083,-4.5593,0.0,3,0.06938130291883768,normal,normal,-4.5593,281.5374,,1.0,-1.0
65,2026-04-16T10:40:02.616738+00:00,ADAUSDT,long,16584.3605,0.6011,0.605,107.6011,0.0,3,0.16584360451797864,crisis,normal,-195.8891,609.7394,0.1765,,0.1765
66,2026-04-16T10:40:04.330761+00:00,ETHUSDT,long,8415.6395,2291.68,2209.72,-300.9782,0.0,4,0.08415639548202136,crisis,normal,-300.9782,233.7759,,1.0,-1.0
72,2026-04-16T10:40:15.744767+00:00,ADAUSDT,long,18857.2399,0.5414,0.5124,-1010.0849,0.0,4,0.1885723990527265,crisis,normal,-1633.5511,0.0,,0.6183,-0.6183
74,2026-04-16T10:40:19.764826+00:00,ETHUSDT,long,6142.7601,2268.78,2618.01,945.5461,0.0,6,0.061427600947273536,crisis,normal,-128.228,945.5461,1.0,,1.0
75,2026-04-16T10:40:22.165702+00:00,ADAUSDT,long,13175.7743,0.5124,0.5476,905.1273,0.0,3,0.1317577426018741,crisis,normal,0.0,1789.6836,0.5057,,0.5057
76,2026-04-16T10:40:24.628420+00:00,NEARUSDT,long,7394.1964,3.222,3.404,417.6734,0.0,4,0.07394196397857115,crisis,normal,0.0,895.0145,0.4667,,0.4667
78,2026-04-16T10:40:29.920560+00:00,ETHUSDT,short,11785.2599,2618.01,2511.78,478.206,0.0,4,0.11785259871890284,crisis,normal,0.0,653.3637,0.7319,,0.7319
79,2026-04-16T10:40:32.603828+00:00,NEARUSDT,long,7832.1737,3.404,3.24,-377.3433,0.0,3,0.07832173709953401,crisis,normal,-377.3433,0.0,,1.0,-1.0
82,2026-04-16T10:40:40.151595+00:00,ETHUSDT,short,13880.3245,2511.78,2492.0,109.3061,0.0,4,0.13880324528232652,crisis,normal,-417.883,226.4039,0.4828,,0.4828
83,2026-04-16T10:40:44.245612+00:00,NEARUSDT,long,9509.0059,3.308,2.967,-980.221,0.0,3,0.0950900588070081,crisis,normal,-980.221,0.0,,1.0,-1.0
87,2026-04-16T10:40:55.188382+00:00,NEARUSDT,long,12422.2464,2.922,2.68,-1028.8103,0.0,3,0.12422246380995915,crisis,normal,-1160.6,0.0,,0.8864,-0.8864
92,2026-04-16T10:41:10.513256+00:00,ETHUSDT,short,9629.5835,2492.0,2317.6,673.9163,0.0,10,0.09629583487561935,normal,normal,0.0,1056.3174,0.638,,0.638
94,2026-04-16T10:41:17.065420+00:00,ARBUSDT,long,7956.5891,1.6902,1.7635,345.0586,0.0,8,0.07956589063063417,normal,normal,0.0,917.0178,0.3763,,0.3763
96,2026-04-16T10:41:22.620659+00:00,ETHUSDT,long,10503.4824,2343.01,2309.06,-152.1945,0.0,3,0.10503482365803052,normal,normal,-268.3913,0.0,,0.5671,-0.5671
98,2026-04-16T10:41:27.510424+00:00,NEARUSDT,long,5179.2358,2.855,2.754,-183.2234,0.0,3,0.05179235770456117,high_vol,normal,-183.2234,81.6342,,1.0,-1.0
98,2026-04-16T10:41:27.510442+00:00,ARBUSDT,long,9385.7212,1.7845,1.7315,-278.7578,0.0,3,0.09385721213117995,high_vol,normal,-278.7578,43.6545,,1.0,-1.0
107,2026-04-16T10:41:49.797882+00:00,ETHUSDT,long,9619.1139,2296.49,2639.99,1438.7895,0.0,10,0.09619113874049597,high_vol,normal,-28.0637,1522.5618,0.945,,0.945
119,2026-04-16T10:42:23.016353+00:00,ETHUSDT,short,5306.0321,2971.4,3112.59,-252.1231,0.0,3,0.053060320547840704,normal,normal,-252.1231,87.7851,,1.0,-1.0
123,2026-04-16T10:42:38.750645+00:00,ETHUSDT,short,8544.1161,3175.94,3340.09,-441.6068,0.0,3,0.085441160921315,normal,normal,-557.315,0.0,,0.7924,-0.7924
126,2026-04-16T10:42:46.444071+00:00,ARBUSDT,long,17654.031,1.808,2.0439,2303.4214,0.0,10,0.176540309869397,normal,normal,-90.8089,2303.4214,1.0,,1.0
