cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
6,2026-04-16T10:36:27.465280+00:00,ETHUSDT,short,15000.0,2787.23,2994.99,-1118.0993,0.0,3,0.15,crisis,normal,-1118.0993,573.4726,,1.0,-1.0
10,2026-04-16T10:36:51.070630+00:00,NEARUSDT,long,7500.0,11.211,12.778,1048.3008,0.0,7,0.075,crisis,normal,-232.8071,1533.3155,0.6837,,0.6837
12,2026-04-16T10:36:54.658567+00:00,ADAUSDT,long,7500.0,1.096,1.15,369.5255,0.0,9,0.075,crisis,normal,-472.1715,704.8358,0.5243,,0.5243
30,2026-04-16T10:37:55.095188+00:00,ETHUSDT,short,6149.1349,2616.79,2920.95,-714.7386,0.0,1,0.06149134922942717,crisis,normal,-714.7386,0.0,,1.0,-1.0
33,2026-04-16T10:37:59.800671+00:00,ADAUSDT,long,9425.4325,0.856,0.903,517.5179,0.0,4,0.09425432538528643,crisis,normal,0.0,1178.1791,0.4393,,0.4393
34,2026-04-16T10:38:01.492195+00:00,NEARUSDT,long,9425.4325,8.508,10.428,2127.037,0.0,5,0.09425432538528643,crisis,normal,0.0,3655.8448,0.5818,,0.5818
36,2026-04-16T10:38:06.032863+00:00,ADAUSDT,long,25000.0,0.903,0.823,-2214.8394,0.0,3,0.25,normal,normal,-2214.8394,0.0,,1.0,-1.0
48,2026-04-16T10:38:47.195639+00:00,ETHUSDT,long,6525.8227,2568.8,2938.92,940.2591,0.0,6,0.06525822733797908,crisis,normal,-135.0232,940.2591,1.0,,1.0
52,2026-04-16T10:39:18.164639+00:00,ADAUSDT,long,18474.1773,0.789,0.975,4355.1292,0.0,10,0.18474177266202094,normal,normal,-70.244,4355.1292,1.0,,1.0
52,2026-04-16T10:39:18.164660+00:00,ETHUSDT,short,5464.5595,2938.92,2969.64,-57.1201,0.0,4,0.054645595320904565,normal,normal,-57.1201,144.1761,,1.0,-1.0
55,2026-04-16T10:39:25.301816+00:00,NEARUSDT,long,16690.2163,11.07,12.221,1735.3603,0.0,3,0.16690216332099006,normal,normal,0.0,2753.0565,0.6303,,0.6303
57,2026-04-16T10:39:28.738216+00:00,ETHUSDT,short,8333.3333,3110.76,3295.65,-495.297,0.0,3,0.08333333333333334,high_vol,normal,-495.297,23.0919,,1.0,-1.0
57,2026-04-16T10:39:28.738231+00:00,ADAUSDT,short,16666.6667,1.131,1.184,-781.0197,0.0,3,0.16666666666666669,high_vol,normal,-781.0197,515.7678,,1.0,-1.0
78,2026-04-16T10:40:09.847848+00:00,ADAUSDT,long,25000.0,0.933,0.914,-509.1104,0.0,3,0.25,normal,normal,-509.1104,616.2915,,1.0,-1.0
82,2026-04-16T10:40:18.092561+00:00,ADAUSDT,long,25000.0,0.937,0.91,-720.3842,0.0,3,0.25,normal,normal,-720.3842,400.2134,,1.0,-1.0
87,2026-04-16T10:40:26.827558+00:00,ADAUSDT,long,25000.0,0.906,0.8259,-2210.2649,0.0,4,0.25,normal,normal,-2210.2649,0.0,,1.0,-1.0
90,2026-04-16T10:40:33.890051+00:00,ADAUSDT,long,7303.3363,0.8259,0.8048,-186.5848,0.0,3,0.07303336290167203,normal,normal,-186.5848,152.9819,,1.0,-1.0
90,2026-04-16T10:40:33.890074+00:00,NEARUSDT,long,17696.6637,12.685,11.289,-1947.5398,0.0,3,0.17696663709832794,normal,normal,-1947.5398,270.6467,,1.0,-1.0
92,2026-04-16T10:40:38.499921+00:00,ETHUSDT,short,5288.8197,2936.93,2824.81,201.9056,0.0,3,0.052888197337187845,normal,normal,0.0,378.6539,0.5332,,0.5332
94,2026-04-16T10:40:44.207097+00:00,ADAUSDT,long,8412.2879,0.7556,0.7711,172.5655,0.0,3,0.0841228791028182,normal,normal,0.0,377.4174,0.4572,,0.4572
96,2026-04-16T10:40:49.444897+00:00,NEARUSDT,long,8412.2879,10.336,11.217,717.0303,0.0,5,0.0841228791028182,crisis,normal,0.0,2151.091,0.3333,,0.3333
102,2026-04-16T10:41:10.293595+00:00,NEARUSDT,long,16747.5257,11.145,6.508,-6967.9925,0.0,3,0.16747525713176792,crisis,normal,-6967.9925,0.0,,1.0,-1.0
