cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
7,2026-04-16T10:36:29.897557+00:00,NEARUSDT,long,5667.4071,1.058,1.007,-273.1926,0.0,3,0.0566740712768657,normal,normal,-273.1926,0.0,,1.0,-1.0
7,2026-04-16T10:36:29.897570+00:00,ARBUSDT,long,10698.6047,0.1153,0.098,-1605.2546,0.0,3,0.10698604667304479,normal,normal,-1605.2546,0.0,,1.0,-1.0
8,2026-04-16T10:36:32.087492+00:00,ADAUSDT,short,13633.9882,0.2858,0.2849,42.9342,0.0,4,0.1363398820500895,normal,normal,0.0,615.39,0.0698,,0.0698
12,2026-04-16T10:36:53.312437+00:00,ETHUSDT,short,22251.6125,2086.59,1851.94,2502.332,0.0,10,0.22251612529517883,crisis,normal,0.0,2502.332,1.0,,1.0
20,2026-04-16T10:37:20.253990+00:00,ARBUSDT,long,25388.8675,0.0946,0.1048,2737.4889,0.0,10,0.2538886745695199,crisis,normal,-670.9532,2737.4889,1.0,,1.0
40,2026-04-16T10:38:24.276830+00:00,ETHUSDT,short,12348.7416,2084.87,2156.23,-422.6672,0.0,3,0.12348741569405042,normal,normal,-422.6672,183.4954,,1.0,-1.0
42,2026-04-16T10:38:29.099140+00:00,ARBUSDT,long,12651.2584,0.0963,0.0938,-328.4335,0.0,5,0.12651258430594955,normal,normal,-499.2189,328.4335,,0.6579,-0.6579
43,2026-04-16T10:38:31.040830+00:00,NEARUSDT,long,7241.0644,1.28,1.18,-565.7082,0.0,2,0.07241064364635194,normal,normal,-565.7082,0.0,,1.0,-1.0
47,2026-04-16T10:38:41.606248+00:00,ETHUSDT,short,6896.2026,2169.02,2105.43,202.1786,0.0,6,0.06896202608213098,normal,normal,0.0,586.2195,0.3449,,0.3449
49,2026-04-16T10:38:45.749830+00:00,NEARUSDT,long,13200.594,1.18,1.162,-201.365,0.0,6,0.13200593963664417,normal,normal,-201.365,123.0564,,1.0,-1.0
49,2026-04-16T10:38:45.749844+00:00,ARBUSDT,long,11799.406,0.09,0.0909,117.9941,0.0,6,0.11799406036335582,normal,normal,-209.7672,576.8599,0.2045,,0.2045
52,2026-04-16T10:39:12.740143+00:00,ETHUSDT,short,6496.2548,2057.17,2110.17,-167.3666,0.0,3,0.06496254808337508,high_vol,normal,-167.3666,10.5473,,1.0,-1.0
53,2026-04-16T10:39:14.981708+00:00,ADAUSDT,long,6951.3882,0.2418,0.2461,123.6186,0.0,6,0.06951388185922033,high_vol,normal,-68.9964,258.7365,0.4778,,0.4778
59,2026-04-16T10:39:31.117295+00:00,NEARUSDT,long,11784.9103,1.162,1.346,1866.1132,0.0,10,0.11784910309055334,normal,normal,0.0,2434.0606,0.7667,,0.7667
64,2026-04-16T10:39:43.197584+00:00,ADAUSDT,long,14969.6117,0.2443,0.2818,2297.8323,0.0,3,0.149696116955978,crisis,normal,0.0,3106.6693,0.7396,,0.7396
65,2026-04-16T10:39:45.625517+00:00,ETHUSDT,short,10030.3883,2386.68,1998.33,1632.1004,0.0,4,0.10030388304402199,crisis,normal,0.0,1765.5346,0.9244,,0.9244
68,2026-04-16T10:39:54.006143+00:00,ETHUSDT,long,5006.1275,1998.33,1949.08,-123.3789,0.0,3,0.05006127480836545,crisis,normal,-123.3789,0.0,,1.0,-1.0
69,2026-04-16T10:39:55.893573+00:00,ADAUSDT,short,12599.414,0.2858,0.2849,39.6763,0.0,4,0.12599413955005156,crisis,normal,0.0,568.6929,0.0698,,0.0698
69,2026-04-16T10:39:55.893596+00:00,ARBUSDT,long,6958.3409,0.1077,0.097,-691.3115,0.0,2,0.06958340851761315,crisis,normal,-691.3115,0.0,,1.0,-1.0
72,2026-04-16T10:40:01.219863+00:00,ARBUSDT,long,13587.4527,0.097,0.0936,-476.2612,0.0,3,0.13587452671802672,crisis,normal,-476.2612,182.0999,,1.0,-1.0
74,2026-04-16T10:40:04.664022+00:00,ADAUSDT,short,7787.0323,0.2849,0.2971,-333.4566,0.0,5,0.07787032251602478,crisis,normal,-333.4566,716.1118,,1.0,-1.0
80,2026-04-16T10:40:17.257717+00:00,ETHUSDT,long,5366.8678,1964.51,1982.8,49.9667,0.0,3,0.05366867783105581,normal,normal,-67.7514,171.6733,0.2911,,0.2911
83,2026-04-16T10:40:23.823733+00:00,ARBUSDT,long,17247.8972,0.0921,0.1,1479.4613,0.0,10,0.1724789724493344,normal,normal,0.0,2378.3745,0.622,,0.622
