cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
4,2026-04-16T10:36:23.847512+00:00,ADAUSDT,short,10000.0,0.293,0.323,-1023.8908,0.0,2,0.09999999999999999,normal,normal,-1023.8908,0.0,,1.0,-1.0
5,2026-04-16T10:36:26.041510+00:00,ETHUSDT,short,20000.0,1814.67,1832.71,-198.824,0.0,3,0.19999999999999998,normal,normal,-356.208,152.8653,,0.5582,-0.5582
8,2026-04-16T10:36:32.318262+00:00,ADAUSDT,short,30000.0,0.3278,0.3624,-3166.565,0.0,2,0.3,normal,normal,-3166.565,0.0,,1.0,-1.0
13,2026-04-16T10:36:55.978411+00:00,ETHUSDT,long,30000.0,1900.95,2053.17,2402.2725,0.0,5,0.3,crisis,normal,-247.4552,3477.7874,0.6907,,0.6907
17,2026-04-16T10:37:08.258444+00:00,ADAUSDT,short,5286.2953,0.3834,0.3788,63.4245,0.0,3,0.05286295325341287,normal,normal,0.0,366.7591,0.1729,,0.1729
18,2026-04-16T10:37:11.347530+00:00,ETHUSDT,long,24713.7047,2044.68,1961.77,-1002.1193,0.0,4,0.2471370467465871,crisis,normal,-1002.1193,166.7983,,1.0,-1.0
39,2026-04-16T10:38:30.251725+00:00,ETHUSDT,short,25000.0,2243.37,2355.73,-1252.1341,0.0,3,0.25,normal,normal,-1252.1341,118.9059,,1.0,-1.0
41,2026-04-16T10:38:43.384006+00:00,ARBUSDT,long,16953.11,1.0587,1.1392,1289.0577,0.0,3,0.16953109955709608,normal,normal,0.0,1812.6873,0.7111,,0.7111
42,2026-04-16T10:38:45.144050+00:00,ADAUSDT,short,8030.303,0.5454,0.5948,-727.3505,0.0,2,0.0803030303030303,normal,normal,-727.3505,0.0,,1.0,-1.0
45,2026-04-16T10:38:51.947900+00:00,ARBUSDT,long,16987.9344,1.1558,1.186,443.8792,0.0,3,0.16987934432533766,normal,normal,-890.6981,1415.4162,0.3136,,0.3136
45,2026-04-16T10:38:51.947918+00:00,ADAUSDT,short,8012.0656,0.5948,0.6675,-979.2824,0.0,3,0.08012065567466231,normal,normal,-979.2824,594.0351,,1.0,-1.0
47,2026-04-16T10:38:56.896101+00:00,ETHUSDT,long,12862.0815,2203.46,2220.5,99.4662,0.0,3,0.12862081513828238,normal,normal,0.0,652.9515,0.1523,,0.1523
51,2026-04-16T10:39:33.112029+00:00,ETHUSDT,long,10209.6386,2228.96,2177.91,-233.8319,0.0,3,0.10209638619249062,normal,normal,-233.8319,0.0,,1.0,-1.0
53,2026-04-16T10:39:37.844740+00:00,ADAUSDT,short,13834.8039,0.6433,0.6351,176.3491,0.0,7,0.1383480386168468,normal,normal,0.0,1445.2026,0.122,,0.122
57,2026-04-16T10:39:47.513421+00:00,ETHUSDT,long,15033.2303,2324.54,2271.35,-343.9896,0.0,3,0.15033230337364759,normal,normal,-391.2,0.0,,0.8793,-0.8793
57,2026-04-16T10:39:47.513434+00:00,ADAUSDT,short,9966.7697,0.6226,0.6242,-25.6133,0.0,3,0.0996676966263524,normal,normal,-25.6133,491.4549,,1.0,-1.0
61,2026-04-16T10:39:54.389886+00:00,ETHUSDT,long,18077.2686,2230.88,2299.2,553.6107,0.0,3,0.1807726855152048,normal,normal,0.0,1194.979,0.4633,,0.4633
61,2026-04-16T10:39:54.389899+00:00,ADAUSDT,long,6922.7314,0.6087,0.6083,-4.5492,0.0,3,0.06922731448479516,normal,normal,-4.5492,280.9125,,1.0,-1.0
65,2026-04-16T10:40:06.505614+00:00,ADAUSDT,long,16585.9401,0.6011,0.605,107.6113,0.0,3,0.1658594012159796,crisis,normal,-195.9078,609.7975,0.1765,,0.1765
66,2026-04-16T10:40:08.268773+00:00,ETHUSDT,long,8414.0599,2291.68,2209.72,-300.9217,0.0,4,0.08414059878402039,crisis,normal,-300.9217,233.732,,1.0,-1.0
72,2026-04-16T10:40:24.543489+00:00,ADAUSDT,long,19036.9063,0.5414,0.5124,-1019.7087,0.0,4,0.1903690627501822,crisis,normal,-1649.1151,0.0,,0.6183,-0.6183
74,2026-04-16T10:40:29.828469+00:00,ETHUSDT,long,5963.0937,2268.78,2618.01,917.8903,0.0,6,0.05963093724981778,crisis,normal,-124.4775,917.8903,1.0,,1.0
75,2026-04-16T10:40:32.776054+00:00,ADAUSDT,long,13160.7031,0.5124,0.5476,904.092,0.0,3,0.13160703125199083,crisis,normal,0.0,1787.6365,0.5057,,0.5057
76,2026-04-16T10:40:35.066748+00:00,NEARUSDT,long,7382.331,3.222,3.404,417.0032,0.0,4,0.0738233103138634,crisis,normal,0.0,893.5782,0.4667,,0.4667
78,2026-04-16T10:40:40.516564+00:00,ETHUSDT,short,11792.6422,2618.01,2511.78,478.5056,0.0,4,0.1179264218848232,crisis,normal,0.0,653.7729,0.7319,,0.7319
79,2026-04-16T10:40:42.769928+00:00,NEARUSDT,long,7824.9401,3.404,3.24,-376.9948,0.0,3,0.07824940062380073,crisis,normal,-376.9948,0.0,,1.0,-1.0
82,2026-04-16T10:40:50.698013+00:00,ETHUSDT,short,13897.3123,2511.78,2492.0,109.4399,0.0,4,0.13897312325060426,crisis,normal,-418.3944,226.681,0.4828,,0.4828
83,2026-04-16T10:40:53.486593+00:00,NEARUSDT,long,9488.4364,3.308,2.967,-978.1006,0.0,3,0.09488436364199947,crisis,normal,-978.1006,0.0,,1.0,-1.0
87,2026-04-16T10:41:03.763964+00:00,NEARUSDT,long,12459.9281,2.922,2.68,-1031.9311,0.0,3,0.12459928128162935,crisis,normal,-1164.1206,0.0,,0.8864,-0.8864
92,2026-04-16T10:41:18.038181+00:00,ETHUSDT,short,9661.8134,2492.0,2317.6,676.1719,0.0,10,0.09661813432299164,normal,normal,0.0,1059.8529,0.638,,0.638
94,2026-04-16T10:41:23.075808+00:00,ARBUSDT,long,7989.4345,1.6902,1.7635,346.483,0.0,8,0.07989434506890356,normal,normal,0.0,920.8034,0.3763,,0.3763
96,2026-04-16T10:41:28.289801+00:00,ETHUSDT,long,10507.1308,2343.01,2309.06,-152.2474,0.0,3,0.10507130762889352,normal,normal,-268.4845,0.0,,0.5671,-0.5671
98,2026-04-16T10:41:31.716441+00:00,NEARUSDT,long,5176.4261,2.855,2.754,-183.124,0.0,3,0.05176426056868069,high_vol,normal,-183.124,81.5899,,1.0,-1.0
98,2026-04-16T10:41:31.716456+00:00,ARBUSDT,long,9385.7493,1.7845,1.7315,-278.7586,0.0,3,0.09385749345864071,high_vol,normal,-278.7586,43.6546,,1.0,-1.0
107,2026-04-16T10:41:53.776281+00:00,ETHUSDT,long,9619.4098,2296.49,2639.99,1438.8337,0.0,10,0.09619409784750257,high_vol,normal,-28.0646,1522.6086,0.945,,0.945
119,2026-04-16T10:42:28.247050+00:00,ETHUSDT,short,5330.0574,2971.4,3112.59,-253.2647,0.0,3,0.053300573817230655,normal,normal,-253.2647,88.1825,,1.0,-1.0
122,2026-04-16T10:42:36.919440+00:00,ETHUSDT,short,8568.4993,3175.94,3383.1,-558.9055,0.0,2,0.08568499268363762,normal,normal,-558.9055,0.0,,1.0,-1.0
125,2026-04-16T10:42:44.431281+00:00,ETHUSDT,short,8925.6524,3383.1,3421.4,-101.0471,0.0,3,0.08925652436058971,normal,normal,-132.7859,113.4735,,0.761,-0.761
126,2026-04-16T10:42:47.088666+00:00,ARBUSDT,long,17618.7378,1.808,2.0439,2298.8165,0.0,10,0.17618737800345194,normal,normal,-90.6274,2298.8165,1.0,,1.0
132,2026-04-16T10:43:00.989821+00:00,ARBUSDT,long,20852.7799,2.0439,2.0962,533.5879,0.0,6,0.20852779904548968,crisis,normal,-795.7908,1230.415,0.4337,,0.4337
135,2026-04-16T10:43:10.129523+00:00,ETHUSDT,short,12871.4485,3905.21,3979.96,-246.3736,0.0,3,0.12871448472796354,crisis,normal,-526.0036,88.1342,,0.4684,-0.4684
135,2026-04-16T10:43:10.129539+00:00,ADAUSDT,short,12128.5515,0.7416,0.7481,-106.3047,0.0,3,0.12128551527203645,crisis,normal,-552.7846,408.8643,,0.1923,-0.1923
