cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
3,2026-04-16T10:36:20.979971+00:00,ADAUSDT,short,10000.0,0.293,0.3071,-481.2287,0.0,1,0.09999999999999999,normal,normal,-481.2287,0.0,,1.0,-1.0
7,2026-04-16T10:36:29.858584+00:00,ADAUSDT,short,7500.0,0.323,0.3419,-438.8545,0.0,3,0.075,normal,normal,-438.8545,0.0,,1.0,-1.0
11,2026-04-16T10:36:52.311750+00:00,ADAUSDT,short,6032.9268,0.3624,0.3684,-99.8829,0.0,3,0.060329268345130214,crisis,normal,-99.8829,186.4481,,1.0,-1.0
12,2026-04-16T10:36:54.034276+00:00,ETHUSDT,long,20000.0,1814.67,2077.72,2899.1497,0.0,10,0.19999999999999998,crisis,normal,-152.8653,3379.6778,0.8578,,0.8578
15,2026-04-16T10:37:00.090574+00:00,ETHUSDT,long,20000.0,2077.72,2053.65,-231.6963,0.0,3,0.19999999999999998,crisis,normal,-318.0409,0.0,,0.7285,-0.7285
17,2026-04-16T10:37:05.783295+00:00,ADAUSDT,short,10000.0,0.3859,0.3788,183.9855,0.0,5,0.09999999999999999,normal,normal,0.0,754.0814,0.244,,0.244
39,2026-04-16T10:38:38.446213+00:00,ETHUSDT,short,8061.952,2243.37,2355.73,-403.7858,0.0,3,0.08061952018498891,normal,normal,-403.7858,38.3446,,1.0,-1.0
41,2026-04-16T10:38:54.317824+00:00,ARBUSDT,long,16938.048,1.0922,1.1392,728.8851,0.0,5,0.1693804798150111,normal,normal,-519.5245,1236.003,0.5897,,0.5897
41,2026-04-16T10:38:54.317843+00:00,ADAUSDT,short,8030.303,0.5454,0.5791,-496.1885,0.0,1,0.0803030303030303,normal,normal,-496.1885,0.0,,1.0,-1.0
45,2026-04-16T10:39:04.546781+00:00,ARBUSDT,long,16987.9344,1.1558,1.186,443.8792,0.0,3,0.16987934432533766,normal,normal,-890.6981,1415.4162,0.3136,,0.3136
45,2026-04-16T10:39:04.546795+00:00,ADAUSDT,short,8012.0656,0.5948,0.6675,-979.2824,0.0,3,0.08012065567466231,normal,normal,-979.2824,594.0351,,1.0,-1.0
47,2026-04-16T10:39:10.267230+00:00,ETHUSDT,long,12862.0815,2203.46,2220.5,99.4662,0.0,3,0.12862081513828238,normal,normal,0.0,652.9515,0.1523,,0.1523
51,2026-04-16T10:39:42.209999+00:00,ETHUSDT,long,10223.3935,2228.96,2177.91,-234.147,0.0,3,0.10223393454927744,normal,normal,-234.147,0.0,,1.0,-1.0
53,2026-04-16T10:39:46.353127+00:00,ADAUSDT,short,13827.3651,0.6433,0.6351,176.2543,0.0,7,0.13827365110373915,normal,normal,0.0,1444.4255,0.122,,0.122
57,2026-04-16T10:39:53.238288+00:00,ETHUSDT,long,15043.5957,2324.54,2271.35,-344.2268,0.0,3,0.1504359573244691,normal,normal,-391.4698,0.0,,0.8793,-0.8793
57,2026-04-16T10:39:53.238301+00:00,ADAUSDT,short,9956.4043,0.6226,0.6242,-25.5866,0.0,3,0.09956404267553091,normal,normal,-25.5866,490.9438,,1.0,-1.0
61,2026-04-16T10:40:00.179245+00:00,ETHUSDT,long,18074.4109,2230.88,2299.2,553.5232,0.0,3,0.18074410886511447,normal,normal,0.0,1194.7901,0.4633,,0.4633
61,2026-04-16T10:40:00.179258+00:00,ADAUSDT,long,6925.5891,0.6087,0.6083,-4.5511,0.0,3,0.06925589113488555,normal,normal,-4.5511,281.0285,,1.0,-1.0
65,2026-04-16T10:40:06.996238+00:00,ADAUSDT,long,16584.3464,0.6011,0.605,107.601,0.0,3,0.1658434636797811,crisis,normal,-195.889,609.7389,0.1765,,0.1765
66,2026-04-16T10:40:08.815179+00:00,ETHUSDT,long,8415.6536,2291.68,2209.72,-300.9787,0.0,4,0.08415653632021892,crisis,normal,-300.9787,233.7763,,1.0,-1.0
