cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
11,2026-04-16T11:56:16.917327+00:00,ADAUSDT,long,18681.5201,0.2485,0.2484,-7.5177,0.0,10,0.18681520135002103,high_vol,normal,-7.5177,0.0,,1.0,-1.0
11,2026-04-16T11:56:16.917354+00:00,ETHUSDT,short,11318.4799,2335.87,2335.15,3.4888,0.0,10,0.11318479864997898,high_vol,normal,0.0,3.4888,1.0,,1.0
25,2026-04-16T11:57:25.771768+00:00,ADAUSDT,long,10898.7121,0.2484,0.2483,-4.3876,0.0,6,0.10898712149509435,normal,normal,-4.3876,0.0,,1.0,-1.0
29,2026-04-16T11:57:41.764215+00:00,ETHUSDT,short,14101.2879,2335.15,2334.61,3.2609,0.0,10,0.14101287850490568,normal,normal,0.0,3.2609,1.0,,1.0
36,2026-04-16T11:58:35.355407+00:00,ADAUSDT,long,11120.1732,0.2483,0.2483,0.0,0.0,10,0.11120173189014763,crisis,normal,0.0,0.0,,,
36,2026-04-16T11:58:35.355428+00:00,ETHUSDT,short,7808.6092,2334.61,2335.19,-1.9399,0.0,6,0.07808609227273185,crisis,normal,-1.9399,0.0,,1.0,-1.0
44,2026-04-16T11:59:25.514661+00:00,ETHUSDT,short,25000.0,2335.19,2335.88,-7.387,0.0,8,0.25,crisis,normal,-7.387,0.0,,1.0,-1.0
54,2026-04-16T12:00:38.615355+00:00,ETHUSDT,short,25000.0,2335.88,2336.51,-6.7426,0.0,6,0.25,crisis,normal,-6.7426,0.0,,1.0,-1.0
65,2026-04-16T12:01:20.698011+00:00,ETHUSDT,short,25000.0,2336.51,2336.51,-0.0,0.0,10,0.25,crisis,normal,0.0,0.0,,,
76,2026-04-16T12:02:12.745193+00:00,ETHUSDT,short,25000.0,2338.79,2338.79,-0.0,0.0,10,0.25,normal,normal,0.0,0.0,,,
84,2026-04-16T12:03:02.584083+00:00,ETHUSDT,short,7904.3585,2338.79,2341.0,-7.4691,0.0,6,0.07904358512943652,normal,normal,-7.4691,0.0,,1.0,-1.0
85,2026-04-16T12:03:06.570667+00:00,ADAUSDT,long,17014.0892,0.2488,0.2492,27.3538,0.0,10,0.1701408917621692,normal,normal,0.0,27.3538,1.0,,1.0
96,2026-04-16T12:03:55.575326+00:00,ADAUSDT,long,16992.0595,0.2492,0.2492,0.0,0.0,10,0.1699205947757429,crisis,normal,0.0,0.0,,,
96,2026-04-16T12:03:55.575348+00:00,ETHUSDT,short,8007.9405,2341.0,2340.51,1.6762,0.0,10,0.08007940522425713,crisis,normal,0.0,1.6762,1.0,,1.0
106,2026-04-16T12:04:46.166987+00:00,ETHUSDT,short,25000.0,2340.51,2340.36,1.6022,0.0,10,0.25,crisis,normal,0.0,1.6022,1.0,,1.0
116,2026-04-16T12:05:30.772468+00:00,ETHUSDT,short,25000.0,2340.36,2339.64,7.6911,0.0,10,0.25,crisis,normal,0.0,7.6911,1.0,,1.0
119,2026-04-16T12:05:47.995970+00:00,ADAUSDT,long,17147.9431,0.2495,0.2494,-6.8729,0.0,7,0.1714794314793234,crisis,normal,-6.8729,0.0,,1.0,-1.0
131,2026-04-16T12:06:38.713603+00:00,ETHUSDT,short,25000.0,2339.64,2338.29,14.4253,0.0,10,0.25,normal,normal,0.0,14.4253,1.0,,1.0
143,2026-04-16T12:07:36.546425+00:00,ADAUSDT,long,16922.062,0.2495,0.2495,0.0,0.0,10,0.16922061996240959,normal,normal,0.0,0.0,,,
143,2026-04-16T12:07:36.546447+00:00,ETHUSDT,short,8077.938,2338.29,2337.07,4.2147,0.0,10,0.08077938003759043,normal,normal,0.0,4.2147,1.0,,1.0
149,2026-04-16T12:08:04.528257+00:00,ADAUSDT,long,16555.9683,0.2495,0.2494,-6.6357,0.0,6,0.16555968312133237,normal,normal,-6.6357,0.0,,1.0,-1.0
153,2026-04-16T12:08:20.944340+00:00,ETHUSDT,short,8444.0317,2337.07,2337.07,-0.0,0.0,10,0.08444031687866764,normal,normal,0.0,0.0,,,
164,2026-04-16T12:09:09.150113+00:00,ADAUSDT,long,17214.5631,0.2494,0.2495,6.9024,0.0,10,0.17214563134780475,normal,normal,0.0,6.9024,1.0,,1.0
164,2026-04-16T12:09:09.150132+00:00,ETHUSDT,short,7785.4369,2337.07,2336.75,1.066,0.0,10,0.07785436865219526,normal,normal,0.0,1.066,1.0,,1.0
175,2026-04-16T12:09:59.447505+00:00,ADAUSDT,long,17190.3842,0.2495,0.2495,0.0,0.0,10,0.17190384153110105,normal,normal,0.0,0.0,,,
175,2026-04-16T12:09:59.447540+00:00,ETHUSDT,short,7809.6158,2336.75,2336.71,0.1337,0.0,10,0.07809615846889893,normal,normal,0.0,0.1337,1.0,,1.0
183,2026-04-16T12:10:41.509407+00:00,ETHUSDT,short,7893.0893,2336.71,2338.65,-6.5531,0.0,8,0.0789308931441886,crisis,normal,-6.5531,0.0,,1.0,-1.0
185,2026-04-16T12:10:49.583733+00:00,ADAUSDT,long,17106.9107,0.2495,0.2495,0.0,0.0,10,0.17106910685581142,crisis,normal,0.0,0.0,,,
196,2026-04-16T12:11:39.482846+00:00,ETHUSDT,short,25000.0,2338.65,2338.65,-0.0,0.0,10,0.25,normal,normal,0.0,0.0,,,
