cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
5,2026-04-16T11:46:01.011541+00:00,ETHUSDT,long,6666.6667,2086.59,1991.66,-303.3019,0.0,3,0.06666666666666667,crisis,normal,-383.4326,0.0,,0.791,-0.791
5,2026-04-16T11:46:01.011559+00:00,NEARUSDT,long,6666.6667,1.086,1.044,-257.8269,0.0,3,0.06666666666666667,crisis,normal,-257.8269,0.0,,1.0,-1.0
5,2026-04-16T11:46:01.011572+00:00,ARBUSDT,long,6666.6667,0.1205,0.1128,-426.0028,0.0,3,0.06666666666666667,crisis,normal,-426.0028,0.0,,1.0,-1.0
8,2026-04-16T11:46:08.221375+00:00,ADAUSDT,short,10000.0,0.295,0.2849,342.3729,0.0,6,0.09999999999999999,normal,normal,0.0,749.1525,0.457,,0.457
20,2026-04-16T11:46:56.954424+00:00,ARBUSDT,long,20707.7236,0.0946,0.1048,2232.7567,0.0,10,0.20707723643904202,crisis,normal,-547.2443,2232.7567,1.0,,1.0
20,2026-04-16T11:46:56.954500+00:00,ADAUSDT,short,30000.0,0.287,0.2763,1118.4669,0.0,6,0.3,crisis,normal,0.0,2560.9756,0.4367,,0.4367
40,2026-04-16T11:47:58.440518+00:00,ETHUSDT,short,12339.5751,2084.87,2156.23,-422.3535,0.0,3,0.1233957512944686,normal,normal,-422.3535,183.3592,,1.0,-1.0
42,2026-04-16T11:48:02.037086+00:00,ARBUSDT,long,12660.4249,0.0963,0.0938,-328.6715,0.0,5,0.1266042487055314,normal,normal,-499.5806,328.6715,,0.6579,-0.6579
42,2026-04-16T11:48:02.037104+00:00,ADAUSDT,long,5669.2684,0.2616,0.2547,-149.5335,0.0,3,0.05669268387472876,normal,normal,-149.5335,192.8765,,1.0,-1.0
43,2026-04-16T11:48:03.788818+00:00,NEARUSDT,long,7241.0945,1.28,1.18,-565.7105,0.0,2,0.07241094475993805,normal,normal,-565.7105,0.0,,1.0,-1.0
47,2026-04-16T11:48:11.642327+00:00,ETHUSDT,short,6897.2638,2169.02,2105.43,202.2098,0.0,6,0.06897263810015487,normal,normal,0.0,586.3097,0.3449,,0.3449
49,2026-04-16T11:48:15.520643+00:00,NEARUSDT,long,13196.4489,1.18,1.162,-201.3018,0.0,6,0.1319644891860121,normal,normal,-201.3018,123.0177,,1.0,-1.0
49,2026-04-16T11:48:15.520659+00:00,ARBUSDT,long,11803.5511,0.09,0.0909,118.0355,0.0,6,0.11803551081398786,normal,normal,-209.8409,577.0625,0.2045,,0.2045
52,2026-04-16T11:48:41.066680+00:00,ETHUSDT,short,6541.9579,2057.17,2110.17,-168.5441,0.0,3,0.06541957878736707,high_vol,normal,-168.5441,10.6215,,1.0,-1.0
53,2026-04-16T11:48:42.732201+00:00,ADAUSDT,long,6988.3364,0.2418,0.2461,124.2756,0.0,6,0.0698833641532666,high_vol,normal,-69.3631,260.1118,0.4778,,0.4778
59,2026-04-16T11:48:54.840965+00:00,NEARUSDT,long,11691.9383,1.162,1.346,1851.3913,0.0,10,0.11691938251724422,normal,normal,0.0,2414.8582,0.7667,,0.7667
64,2026-04-16T11:49:03.554569+00:00,ADAUSDT,long,10580.2603,0.2443,0.2818,1624.0678,0.0,3,0.10580260318630144,crisis,normal,0.0,2195.7397,0.7396,,0.7396
69,2026-04-16T11:49:12.459651+00:00,ADAUSDT,short,25000.0,0.2858,0.2849,78.7264,0.0,4,0.25,crisis,normal,0.0,1128.4115,0.0698,,0.0698
71,2026-04-16T11:49:15.937201+00:00,ETHUSDT,short,14419.7397,2386.68,1957.82,2591.0677,0.0,10,0.1441973968136986,crisis,normal,0.0,2643.8727,0.98,,0.98
74,2026-04-16T11:49:22.117226+00:00,ADAUSDT,short,25000.0,0.2849,0.2971,-1070.5511,0.0,5,0.25,crisis,normal,-1070.5511,2299.0523,,1.0,-1.0
81,2026-04-16T11:49:34.014789+00:00,ADAUSDT,short,25000.0,0.287,0.2763,932.0557,0.0,6,0.25,normal,normal,0.0,2134.1463,0.4367,,0.4367
85,2026-04-16T11:49:40.970403+00:00,ADAUSDT,long,17228.6781,0.2692,0.2493,-1273.591,0.0,3,0.17228678071745865,normal,normal,-1273.591,0.0,,1.0,-1.0
85,2026-04-16T11:49:40.970421+00:00,ARBUSDT,long,7771.3219,0.1028,0.0945,-627.4511,0.0,3,0.07771321928254137,normal,normal,-627.4511,0.0,,1.0,-1.0
95,2026-04-16T11:50:09.968760+00:00,ADAUSDT,long,25000.0,0.2552,0.2742,1861.2853,0.0,9,0.25,normal,normal,0.0,3448.2759,0.5398,,0.5398
101,2026-04-16T11:50:25.855409+00:00,ETHUSDT,short,12593.1364,2084.87,2156.23,-431.0323,0.0,3,0.12593136404215327,normal,normal,-431.0323,187.127,,1.0,-1.0
103,2026-04-16T11:50:29.739645+00:00,ARBUSDT,long,12406.8636,0.0963,0.0938,-322.0889,0.0,5,0.12406863595784676,normal,normal,-489.5751,322.0889,,0.6579,-0.6579
103,2026-04-16T11:50:29.739660+00:00,ADAUSDT,long,5644.0387,0.2616,0.2547,-148.868,0.0,3,0.0564403871677835,normal,normal,-148.868,192.0181,,1.0,-1.0
108,2026-04-16T11:50:42.134443+00:00,ETHUSDT,short,7178.7965,2169.02,2105.43,210.4636,0.0,6,0.07178796477098323,normal,normal,0.0,610.2417,0.3449,,0.3449
110,2026-04-16T11:50:47.952405+00:00,NEARUSDT,long,12886.6138,1.18,1.162,-196.5755,0.0,6,0.12886613797567675,normal,normal,-196.5755,120.1295,,1.0,-1.0
110,2026-04-16T11:50:47.952421+00:00,ARBUSDT,long,12113.3862,0.09,0.0909,121.1339,0.0,6,0.12113386202432326,normal,normal,-215.3491,592.21,0.2045,,0.2045
113,2026-04-16T11:50:55.859819+00:00,ETHUSDT,short,5976.4547,2057.17,2110.17,-153.9747,0.0,3,0.05976454681877185,high_vol,normal,-153.9747,9.7033,,1.0,-1.0
114,2026-04-16T11:50:57.601906+00:00,ADAUSDT,long,5501.4937,0.2418,0.2461,97.8347,0.0,6,0.05501493670254799,high_vol,normal,-54.6054,204.7702,0.4778,,0.4778
120,2026-04-16T11:51:09.704554+00:00,NEARUSDT,long,12843.2371,1.162,1.346,2033.6967,0.0,10,0.12843237073019803,normal,normal,0.0,2652.6479,0.7667,,0.7667
125,2026-04-16T11:51:19.705734+00:00,ADAUSDT,long,10257.5047,0.2443,0.2818,1574.5249,0.0,3,0.10257504701506368,crisis,normal,0.0,2128.7576,0.7396,,0.7396
130,2026-04-16T11:51:32.288984+00:00,ADAUSDT,short,25000.0,0.2858,0.2849,78.7264,0.0,4,0.25,crisis,normal,0.0,1128.4115,0.0698,,0.0698
132,2026-04-16T11:51:36.766018+00:00,ETHUSDT,short,14742.4953,2386.68,1957.82,2649.0634,0.0,10,0.14742495298493632,crisis,normal,0.0,2703.0502,0.98,,0.98
135,2026-04-16T11:51:42.483561+00:00,ADAUSDT,short,25000.0,0.2849,0.2971,-1070.5511,0.0,5,0.25,crisis,normal,-1070.5511,2299.0523,,1.0,-1.0
142,2026-04-16T11:51:59.578742+00:00,ADAUSDT,short,25000.0,0.287,0.2763,932.0557,0.0,6,0.25,normal,normal,0.0,2134.1463,0.4367,,0.4367
146,2026-04-16T11:52:09.654247+00:00,ADAUSDT,long,17131.1745,0.2692,0.2493,-1266.3833,0.0,3,0.1713117445698669,normal,normal,-1266.3833,0.0,,1.0,-1.0
146,2026-04-16T11:52:09.654263+00:00,ARBUSDT,long,7868.8255,0.1028,0.0945,-635.3235,0.0,3,0.0786882554301331,normal,normal,-635.3235,0.0,,1.0,-1.0
