cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
6,2026-04-17T00:21:36.783581+00:00,ETHUSDT,short,23642.3127,2787.23,2994.99,-1762.2969,0.0,3,0.23642312650108155,crisis,normal,-1762.2969,903.8812,,1.0,-1.0
10,2026-04-17T00:22:01.756607+00:00,NEARUSDT,long,7666.5768,10.959,12.778,1272.516,0.0,5,0.07666576763308801,crisis,normal,0.0,1779.7036,0.715,,0.715
52,2026-04-17T00:24:19.681418+00:00,ETHUSDT,short,9375.0,2938.92,2969.64,-97.9952,0.0,4,0.09375,normal,normal,-97.9952,247.3485,,1.0,-1.0
55,2026-04-17T00:24:24.379655+00:00,NEARUSDT,long,5367.5503,11.07,12.221,558.0895,0.0,3,0.0536755029140816,normal,normal,0.0,885.3791,0.6303,,0.6303
57,2026-04-17T00:24:27.716300+00:00,ADAUSDT,short,6250.0,1.131,1.184,-292.8824,0.0,3,0.0625,high_vol,normal,-292.8824,193.4129,,1.0,-1.0
78,2026-04-17T00:25:01.781836+00:00,ADAUSDT,long,9375.0,0.933,0.914,-190.9164,0.0,3,0.09375,normal,normal,-190.9164,231.1093,,1.0,-1.0
82,2026-04-17T00:25:09.459850+00:00,ADAUSDT,long,9375.0,0.937,0.91,-270.1441,0.0,3,0.09375,normal,normal,-270.1441,150.08,,1.0,-1.0
87,2026-04-17T00:25:18.380292+00:00,ADAUSDT,long,9375.0,0.906,0.8259,-828.8493,0.0,4,0.09375,normal,normal,-828.8493,0.0,,1.0,-1.0
103,2026-04-17T00:25:56.223687+00:00,ETHUSDT,short,5444.8147,2856.54,1960.22,1708.4642,0.0,10,0.05444814664386287,crisis,normal,-160.3019,1708.4642,1.0,,1.0
119,2026-04-17T00:26:27.329203+00:00,ETHUSDT,short,9375.0,1942.63,1792.22,725.8684,0.0,3,0.09375,normal,normal,0.0,1039.3127,0.6984,,0.6984
125,2026-04-17T00:26:36.967629+00:00,NEARUSDT,long,8086.0701,5.957,5.252,-956.9715,0.0,3,0.08086070141215827,normal,normal,-956.9715,0.0,,1.0,-1.0
128,2026-04-17T00:26:43.757593+00:00,ADAUSDT,short,5354.8527,0.5871,0.6091,-200.6588,0.0,4,0.05354852713224024,normal,normal,-200.6588,247.1751,,1.0,-1.0
137,2026-04-17T00:27:07.320657+00:00,ADAUSDT,short,9375.0,0.6141,0.5348,1210.6131,0.0,8,0.09375,normal,normal,-407.6087,2285.3566,0.5297,,0.5297
