cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
11,2026-04-17T02:39:15.202670+00:00,ADAUSDT,long,18025.4892,0.2552,0.2552,0.0,0.0,10,0.18025489158517824,normal,normal,0.0,0.0,,,
11,2026-04-17T02:39:15.202688+00:00,ETHUSDT,short,11974.5108,2332.59,2332.59,-0.0,0.0,10,0.11974510841482178,normal,normal,0.0,0.0,,,
17,2026-04-17T02:39:41.094596+00:00,ADAUSDT,long,16876.3386,0.2552,0.2551,-6.613,0.0,6,0.16876338560538884,crisis,normal,-6.613,0.0,,1.0,-1.0
21,2026-04-17T02:40:04.519205+00:00,ETHUSDT,short,13123.6614,2332.59,2332.15,2.4755,0.0,10,0.13123661439461115,crisis,normal,0.0,2.4755,1.0,,1.0
27,2026-04-17T02:40:30.791135+00:00,ETHUSDT,short,25000.0,2332.15,2333.14,-10.6125,0.0,6,0.25,crisis,normal,-10.6125,0.0,,1.0,-1.0
39,2026-04-17T02:41:30.079587+00:00,ETHUSDT,short,25000.0,2333.14,2332.86,3.0002,0.0,10,0.25,normal,normal,0.0,3.0002,1.0,,1.0
53,2026-04-17T02:43:05.108817+00:00,ADAUSDT,long,14849.9756,0.2554,0.2554,0.0,0.0,10,0.14849975611104493,high_vol,normal,0.0,0.0,,,
53,2026-04-17T02:43:05.108836+00:00,ETHUSDT,short,10150.0244,2332.86,2331.77,4.7425,0.0,10,0.10150024388895508,high_vol,normal,0.0,4.7425,1.0,,1.0
70,2026-04-17T02:44:18.281295+00:00,ETHUSDT,short,25000.0,2331.24,2331.24,-0.0,0.0,10,0.25,crisis,normal,0.0,0.0,,,
80,2026-04-17T02:45:08.313536+00:00,ADAUSDT,long,14372.2867,0.2552,0.255,-11.2635,0.0,6,0.1437228672485656,normal,normal,-11.2635,0.0,,1.0,-1.0
84,2026-04-17T02:45:23.564539+00:00,ETHUSDT,short,10627.7133,2331.24,2330.19,4.7868,0.0,10,0.1062771327514344,normal,normal,0.0,4.7868,1.0,,1.0
91,2026-04-17T02:45:55.409932+00:00,ETHUSDT,short,10757.3368,2330.19,2331.01,-3.7855,0.0,6,0.10757336787239771,normal,normal,-3.7855,0.0,,1.0,-1.0
93,2026-04-17T02:46:02.764068+00:00,ADAUSDT,long,14274.53,0.255,0.2555,27.9893,0.0,10,0.14274529954372636,normal,normal,0.0,27.9893,1.0,,1.0
101,2026-04-17T02:46:31.559926+00:00,ETHUSDT,short,10590.2863,2331.01,2331.01,-0.0,0.0,10,0.10590286349821751,normal,normal,0.0,0.0,,,
106,2026-04-17T02:46:55.268721+00:00,ADAUSDT,long,14747.676,0.2555,0.2556,5.7721,0.0,10,0.14747676044121338,crisis,normal,0.0,5.7721,1.0,,1.0
107,2026-04-17T02:46:59.424165+00:00,ETHUSDT,short,10180.2531,2331.01,2331.99,-4.28,0.0,6,0.10180253055672465,crisis,normal,-4.28,0.0,,1.0,-1.0
119,2026-04-17T02:47:40.292229+00:00,ETHUSDT,short,25000.0,2331.99,2331.99,-0.0,0.0,10,0.25,normal,normal,0.0,0.0,,,
135,2026-04-17T02:48:46.986392+00:00,ADAUSDT,long,14997.17,0.2555,0.2554,-5.8697,0.0,9,0.1499716997635675,normal,normal,-5.8697,0.0,,1.0,-1.0
136,2026-04-17T02:48:50.120388+00:00,ETHUSDT,short,10002.83,2331.05,2330.57,2.0597,0.0,10,0.1000283002364325,normal,normal,0.0,2.0597,1.0,,1.0
147,2026-04-17T02:49:38.136600+00:00,ADAUSDT,long,14954.0736,0.2554,0.2554,0.0,0.0,10,0.14954073625753322,normal,normal,0.0,0.0,,,
147,2026-04-17T02:49:38.136625+00:00,ETHUSDT,short,10045.9264,2330.57,2330.57,-0.0,0.0,10,0.1004592637424668,normal,normal,0.0,0.0,,,
166,2026-04-17T02:51:17.161935+00:00,ADAUSDT,long,15158.316,0.2554,0.2553,-5.9351,0.0,6,0.15158315995434646,normal,normal,-5.9351,0.0,,1.0,-1.0
166,2026-04-17T02:51:17.161962+00:00,ETHUSDT,short,9841.684,2329.67,2329.99,-1.3518,0.0,6,0.09841684004565351,normal,normal,-1.3518,0.0,,1.0,-1.0
175,2026-04-17T02:51:52.493194+00:00,ADAUSDT,long,15162.7475,0.2553,0.255,-17.8176,0.0,9,0.15162747476260705,normal,normal,-17.8176,0.0,,1.0,-1.0
176,2026-04-17T02:51:57.707889+00:00,ETHUSDT,short,9837.2525,2329.99,2329.3,2.9132,0.0,10,0.09837252523739294,normal,normal,0.0,2.9132,1.0,,1.0
186,2026-04-17T02:52:35.075791+00:00,ADAUSDT,long,14866.014,0.255,0.255,0.0,0.0,10,0.14866013971438616,normal,normal,0.0,0.0,,,
186,2026-04-17T02:52:35.075811+00:00,ETHUSDT,short,10133.986,2329.3,2329.3,-0.0,0.0,10,0.10133986028561386,normal,normal,0.0,0.0,,,
198,2026-04-17T02:53:24.138946+00:00,ADAUSDT,long,14517.9424,0.255,0.255,0.0,0.0,10,0.145179424042608,normal,normal,0.0,0.0,,,
198,2026-04-17T02:53:24.138970+00:00,ETHUSDT,short,10482.0576,2329.3,2329.26,0.18,0.0,10,0.104820575957392,normal,normal,0.0,0.18,1.0,,1.0
