cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
5,2026-04-17T00:21:34.655912+00:00,ADAUSDT,long,15000.0,1.051,1.061,142.7212,0.0,3,0.15,normal,normal,-342.5309,642.2455,0.2222,,0.2222
5,2026-04-17T00:21:34.655929+00:00,NEARUSDT,long,15000.0,11.12,10.959,-217.1763,0.0,3,0.15,normal,normal,-346.6727,122.7518,,0.6265,-0.6265
6,2026-04-17T00:21:36.217795+00:00,ETHUSDT,short,17773.8881,2680.67,2994.99,-2084.0643,0.0,2,0.177738881297099,crisis,normal,-2084.0643,0.0,,1.0,-1.0
52,2026-04-17T00:24:29.634696+00:00,ETHUSDT,short,9375.0,2938.92,2969.64,-97.9952,0.0,4,0.09375,normal,normal,-97.9952,247.3485,,1.0,-1.0
55,2026-04-17T00:24:35.422116+00:00,NEARUSDT,long,5367.5503,11.07,12.221,558.0895,0.0,3,0.0536755029140816,normal,normal,0.0,885.3791,0.6303,,0.6303
57,2026-04-17T00:24:38.565943+00:00,ADAUSDT,short,6250.0,1.131,1.184,-292.8824,0.0,3,0.0625,high_vol,normal,-292.8824,193.4129,,1.0,-1.0
78,2026-04-17T00:25:20.424768+00:00,ADAUSDT,long,9375.0,0.933,0.914,-190.9164,0.0,3,0.09375,normal,normal,-190.9164,231.1093,,1.0,-1.0
82,2026-04-17T00:25:28.336280+00:00,ADAUSDT,long,9375.0,0.937,0.91,-270.1441,0.0,3,0.09375,normal,normal,-270.1441,150.08,,1.0,-1.0
87,2026-04-17T00:25:44.252380+00:00,ADAUSDT,long,9375.0,0.906,0.8259,-828.8493,0.0,4,0.09375,normal,normal,-828.8493,0.0,,1.0,-1.0
103,2026-04-17T00:26:20.385310+00:00,ETHUSDT,short,5484.5002,2856.54,1960.22,1720.9166,0.0,10,0.05484500211459091,crisis,normal,-161.4703,1720.9166,1.0,,1.0
119,2026-04-17T00:26:55.653278+00:00,ETHUSDT,short,9375.0,1942.63,1792.22,725.8684,0.0,3,0.09375,normal,normal,0.0,1039.3127,0.6984,,0.6984
125,2026-04-17T00:27:06.872668+00:00,NEARUSDT,long,8086.0701,5.957,5.252,-956.9715,0.0,3,0.08086070141215827,normal,normal,-956.9715,0.0,,1.0,-1.0
128,2026-04-17T00:27:12.611381+00:00,ADAUSDT,short,5347.9568,0.5871,0.6091,-200.4004,0.0,4,0.05347956777319344,normal,normal,-200.4004,246.8568,,1.0,-1.0
131,2026-04-17T00:27:17.227754+00:00,ADAUSDT,short,6190.1332,0.6091,0.6323,-235.7759,0.0,3,0.0619013323263795,high_vol,normal,-322.1593,0.0,,0.7319,-0.7319
