cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
6,2026-04-17T08:33:07.559089+00:00,ETHUSDT,short,15000.0,2787.23,2994.99,-1118.0993,0.0,3,0.15,crisis,normal,-1118.0993,573.4726,,1.0,-1.0
10,2026-04-17T08:33:28.579795+00:00,NEARUSDT,long,7500.0,11.211,12.778,1048.3008,0.0,7,0.075,crisis,normal,-232.8071,1533.3155,0.6837,,0.6837
12,2026-04-17T08:33:33.663825+00:00,ADAUSDT,long,7500.0,1.096,1.15,369.5255,0.0,9,0.075,crisis,normal,-472.1715,704.8358,0.5243,,0.5243
30,2026-04-17T08:34:27.861637+00:00,ETHUSDT,short,6172.9629,2616.79,2920.95,-717.5082,0.0,1,0.06172962949496418,crisis,normal,-717.5082,0.0,,1.0,-1.0
33,2026-04-17T08:34:33.163521+00:00,ADAUSDT,long,9413.5185,0.856,0.903,516.8638,0.0,4,0.0941351852525179,crisis,normal,0.0,1176.6898,0.4393,,0.4393
34,2026-04-17T08:34:34.746661+00:00,NEARUSDT,long,9413.5185,8.508,10.428,2124.3483,0.0,5,0.0941351852525179,crisis,normal,0.0,3651.2237,0.5818,,0.5818
52,2026-04-17T08:35:35.627465+00:00,ETHUSDT,short,25000.0,2938.92,2969.64,-261.3205,0.0,4,0.25,normal,normal,-261.3205,659.596,,1.0,-1.0
55,2026-04-17T08:35:40.350983+00:00,NEARUSDT,long,14279.4514,11.07,12.221,1484.7018,0.0,3,0.1427945136844742,normal,normal,0.0,2355.4,0.6303,,0.6303
55,2026-04-17T08:35:40.351002+00:00,ETHUSDT,short,7147.0324,2969.64,3102.14,-318.8877,0.0,3,0.07147032421035052,normal,normal,-339.6335,0.0,,0.9389,-0.9389
57,2026-04-17T08:35:43.541560+00:00,ADAUSDT,short,16666.6667,1.131,1.184,-781.0197,0.0,3,0.16666666666666666,high_vol,normal,-781.0197,515.7678,,1.0,-1.0
78,2026-04-17T08:36:23.057533+00:00,ADAUSDT,long,25000.0,0.933,0.914,-509.1104,0.0,3,0.25,normal,normal,-509.1104,616.2915,,1.0,-1.0
82,2026-04-17T08:36:31.252118+00:00,ADAUSDT,long,25000.0,0.937,0.91,-720.3842,0.0,3,0.25,normal,normal,-720.3842,400.2134,,1.0,-1.0
87,2026-04-17T08:36:40.172176+00:00,ADAUSDT,long,25000.0,0.906,0.8259,-2210.2649,0.0,4,0.25,normal,normal,-2210.2649,0.0,,1.0,-1.0
90,2026-04-17T08:36:44.945238+00:00,ADAUSDT,long,7851.0392,0.8259,0.8048,-200.5775,0.0,3,0.07851039175840398,normal,normal,-200.5775,164.4545,,1.0,-1.0
90,2026-04-17T08:36:44.945254+00:00,NEARUSDT,long,12071.7904,12.685,11.289,-1328.5155,0.0,3,0.12071790379215495,normal,normal,-1328.5155,184.6218,,1.0,-1.0
