cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
7,2026-04-17T08:33:22.147280+00:00,ETHUSDT,long,5663.2329,1998.33,1949.08,-139.5737,0.0,3,0.05663232936297064,normal,normal,-139.5737,0.0,,1.0,-1.0
8,2026-04-17T08:33:24.677713+00:00,ADAUSDT,short,30000.0,0.295,0.2849,1027.1186,0.0,6,0.3,normal,normal,0.0,2247.4576,0.457,,0.457
20,2026-04-17T08:34:14.395425+00:00,ARBUSDT,long,21112.4201,0.0946,0.1048,2276.392,0.0,10,0.21112420089210307,crisis,normal,-557.9392,2276.392,1.0,,1.0
20,2026-04-17T08:34:14.395529+00:00,ADAUSDT,short,30000.0,0.287,0.2763,1118.4669,0.0,6,0.3,crisis,normal,0.0,2560.9756,0.4367,,0.4367
40,2026-04-17T08:35:19.329649+00:00,ETHUSDT,short,12909.2689,2084.87,2156.23,-441.8527,0.0,3,0.12909268939661536,normal,normal,-441.8527,191.8245,,1.0,-1.0
42,2026-04-17T08:35:23.288961+00:00,ARBUSDT,long,12090.7311,0.0963,0.0938,-313.8819,0.0,5,0.12090731060338465,normal,normal,-477.1005,313.8819,,0.6579,-0.6579
43,2026-04-17T08:35:25.500232+00:00,NEARUSDT,long,7199.7607,1.28,1.18,-562.4813,0.0,2,0.07199760722334116,normal,normal,-562.4813,0.0,,1.0,-1.0
47,2026-04-17T08:35:33.578943+00:00,ETHUSDT,short,6893.3442,2169.02,2105.43,202.0948,0.0,6,0.06893344170598104,normal,normal,0.0,585.9765,0.3449,,0.3449
49,2026-04-17T08:35:37.479407+00:00,NEARUSDT,long,8585.0581,1.18,1.162,-130.9585,0.0,6,0.08585058089806678,normal,normal,-130.9585,80.0302,,1.0,-1.0
49,2026-04-17T08:35:37.479420+00:00,ARBUSDT,long,8384.0851,0.09,0.0909,83.8409,0.0,6,0.08384085145172779,normal,normal,-149.0504,409.8886,0.2045,,0.2045
52,2026-04-17T08:36:00.416978+00:00,ETHUSDT,short,6550.4287,2057.17,2110.17,-168.7623,0.0,3,0.06550428700624128,high_vol,normal,-168.7623,10.6352,,1.0,-1.0
53,2026-04-17T08:36:02.209123+00:00,ADAUSDT,long,7277.926,0.2418,0.2461,129.4255,0.0,6,0.07277925970414416,high_vol,normal,-72.2375,270.8905,0.4778,,0.4778
59,2026-04-17T08:36:13.664280+00:00,NEARUSDT,long,11714.31,1.162,1.346,1854.9338,0.0,10,0.1171430999691703,normal,normal,0.0,2419.4788,0.7667,,0.7667
64,2026-04-17T08:36:23.101097+00:00,ADAUSDT,long,9339.4422,0.2443,0.2818,1433.6025,0.0,3,0.09339442201871886,crisis,normal,0.0,1938.2305,0.7396,,0.7396
69,2026-04-17T08:36:32.846637+00:00,ADAUSDT,short,25000.0,0.2858,0.2849,78.7264,0.0,4,0.25,crisis,normal,0.0,1128.4115,0.0698,,0.0698
71,2026-04-17T08:36:37.713624+00:00,ETHUSDT,short,15660.5578,2386.68,1957.82,2814.029,0.0,10,0.15660557798128114,crisis,normal,0.0,2871.3779,0.98,,0.98
74,2026-04-17T08:36:42.956877+00:00,ADAUSDT,short,25000.0,0.2849,0.2971,-1070.5511,0.0,5,0.25,crisis,normal,-1070.5511,2299.0523,,1.0,-1.0
81,2026-04-17T08:36:55.758451+00:00,ADAUSDT,short,25000.0,0.287,0.2763,932.0557,0.0,6,0.25,normal,normal,0.0,2134.1463,0.4367,,0.4367
85,2026-04-17T08:37:03.000622+00:00,ADAUSDT,long,16878.2241,0.2692,0.2493,-1247.6845,0.0,3,0.16878224062582758,normal,normal,-1247.6845,0.0,,1.0,-1.0
85,2026-04-17T08:37:03.000641+00:00,ARBUSDT,long,8121.7759,0.1028,0.0945,-655.7465,0.0,3,0.08121775937417239,normal,normal,-655.7465,0.0,,1.0,-1.0
95,2026-04-17T08:37:20.510338+00:00,ADAUSDT,long,21081.0273,0.2552,0.2742,1569.5122,0.0,9,0.21081027265096963,normal,normal,0.0,2907.7279,0.5398,,0.5398
101,2026-04-17T08:37:31.799837+00:00,ETHUSDT,short,13135.4404,2084.87,2156.23,-449.594,0.0,3,0.13135440354640335,normal,normal,-449.594,195.1853,,1.0,-1.0
103,2026-04-17T08:37:36.436657+00:00,ARBUSDT,long,11864.5596,0.0963,0.0938,-308.0104,0.0,5,0.11864559645359668,normal,normal,-468.1758,308.0104,,0.6579,-0.6579
104,2026-04-17T08:37:38.642240+00:00,NEARUSDT,long,7102.1739,1.28,1.18,-554.8573,0.0,2,0.07102173881036625,normal,normal,-554.8573,0.0,,1.0,-1.0
108,2026-04-17T08:37:45.933190+00:00,ETHUSDT,short,6869.9835,2169.02,2105.43,201.41,0.0,6,0.06869983510391894,normal,normal,0.0,583.9907,0.3449,,0.3449
110,2026-04-17T08:37:49.877623+00:00,NEARUSDT,long,8670.2861,1.18,1.162,-132.2586,0.0,6,0.08670286057993205,normal,normal,-132.2586,80.8247,,1.0,-1.0
110,2026-04-17T08:37:49.877640+00:00,ARBUSDT,long,8310.0206,0.09,0.0909,83.1002,0.0,6,0.08310020560403342,normal,normal,-147.7337,406.2677,0.2045,,0.2045
113,2026-04-17T08:37:55.052575+00:00,ETHUSDT,short,6352.469,2057.17,2110.17,-163.6621,0.0,3,0.06352468952420409,high_vol,normal,-163.6621,10.3138,,1.0,-1.0
114,2026-04-17T08:37:56.819248+00:00,ADAUSDT,long,5851.5047,0.2418,0.2461,104.059,0.0,6,0.058515047464523656,high_vol,normal,-58.0795,217.7979,0.4778,,0.4778
120,2026-04-17T08:38:08.307759+00:00,NEARUSDT,long,12117.7184,1.162,1.346,1918.8126,0.0,10,0.12117718427211259,normal,normal,0.0,2502.799,0.7667,,0.7667
125,2026-04-17T08:38:18.564588+00:00,ADAUSDT,long,9321.0231,0.2443,0.2818,1430.7751,0.0,3,0.09321023137299066,crisis,normal,0.0,1934.408,0.7396,,0.7396
130,2026-04-17T08:38:27.554735+00:00,ADAUSDT,short,25000.0,0.2858,0.2849,78.7264,0.0,4,0.25,crisis,normal,0.0,1128.4115,0.0698,,0.0698
132,2026-04-17T08:38:30.955265+00:00,ETHUSDT,short,15678.9769,2386.68,1957.82,2817.3387,0.0,10,0.15678976862700936,crisis,normal,0.0,2874.755,0.98,,0.98
135,2026-04-17T08:38:36.159587+00:00,ADAUSDT,short,25000.0,0.2849,0.2971,-1070.5511,0.0,5,0.25,crisis,normal,-1070.5511,2299.0523,,1.0,-1.0
142,2026-04-17T08:38:53.526283+00:00,ADAUSDT,short,25000.0,0.287,0.2763,932.0557,0.0,6,0.25,normal,normal,0.0,2134.1463,0.4367,,0.4367
