cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
4,2026-04-17T08:33:07.837149+00:00,ADAUSDT,short,7500.0,0.293,0.323,-767.9181,0.0,2,0.075,normal,normal,-767.9181,0.0,,1.0,-1.0
7,2026-04-17T08:33:15.133551+00:00,ADAUSDT,short,7500.0,0.323,0.3419,-438.8545,0.0,3,0.075,normal,normal,-438.8545,0.0,,1.0,-1.0
11,2026-04-17T08:33:36.790432+00:00,ADAUSDT,short,5904.7879,0.3624,0.3684,-97.7614,0.0,3,0.059047879351522226,crisis,normal,-97.7614,182.4879,,1.0,-1.0
12,2026-04-17T08:33:38.561445+00:00,ETHUSDT,long,22500.0,1814.67,2077.72,3261.5434,0.0,10,0.22499999999999998,crisis,normal,-171.9734,3802.1376,0.8578,,0.8578
17,2026-04-17T08:33:50.962741+00:00,ADAUSDT,short,30000.0,0.3859,0.3788,551.9565,0.0,5,0.3,normal,normal,0.0,2262.2441,0.244,,0.244
39,2026-04-17T08:35:03.158769+00:00,ETHUSDT,short,25000.0,2243.37,2355.73,-1252.1341,0.0,3,0.25,normal,normal,-1252.1341,118.9059,,1.0,-1.0
41,2026-04-17T08:35:14.230001+00:00,ARBUSDT,long,16917.7818,1.0587,1.1392,1286.3714,0.0,3,0.1691778184268798,normal,normal,0.0,1808.9099,0.7111,,0.7111
42,2026-04-17T08:35:17.397503+00:00,ADAUSDT,short,6947.0328,0.5454,0.5948,-629.2325,0.0,2,0.06947032757692467,normal,normal,-629.2325,0.0,,1.0,-1.0
45,2026-04-17T08:35:24.336454+00:00,ARBUSDT,long,16948.6231,1.1558,1.186,442.8521,0.0,3,0.16948623059547266,normal,normal,-888.6369,1412.1409,0.3136,,0.3136
45,2026-04-17T08:35:24.336467+00:00,ADAUSDT,short,8051.3769,0.5948,0.6675,-984.0873,0.0,3,0.0805137694045273,normal,normal,-984.0873,596.9498,,1.0,-1.0
47,2026-04-17T08:35:28.551234+00:00,ETHUSDT,long,12815.294,2203.46,2220.5,99.1044,0.0,3,0.128152940321291,normal,normal,0.0,650.5763,0.1523,,0.1523
51,2026-04-17T08:35:54.764759+00:00,ETHUSDT,long,9866.1663,2228.96,2177.91,-225.9654,0.0,3,0.09866166261102527,normal,normal,-225.9654,0.0,,1.0,-1.0
53,2026-04-17T08:35:58.337381+00:00,ADAUSDT,short,13902.4634,0.6433,0.6351,177.2116,0.0,7,0.1390246342670314,normal,normal,0.0,1452.2704,0.122,,0.122
57,2026-04-17T08:36:05.845079+00:00,ETHUSDT,long,14793.6871,2324.54,2271.35,-338.5084,0.0,3,0.14793687133254652,normal,normal,-384.9665,0.0,,0.8793,-0.8793
57,2026-04-17T08:36:05.845095+00:00,ADAUSDT,short,10206.3129,0.6226,0.6242,-26.2289,0.0,3,0.1020631286674535,normal,normal,-26.2289,503.2666,,1.0,-1.0
61,2026-04-17T08:36:14.845906+00:00,ETHUSDT,long,18402.2899,2230.88,2299.2,563.5644,0.0,3,0.18402289923759804,normal,normal,0.0,1216.4642,0.4633,,0.4633
61,2026-04-17T08:36:14.845925+00:00,ADAUSDT,long,6597.7101,0.6087,0.6083,-4.3356,0.0,3,0.06597710076240193,normal,normal,-4.3356,267.7237,,1.0,-1.0
65,2026-04-17T08:36:22.354308+00:00,ADAUSDT,long,16623.9443,0.6011,0.605,107.8579,0.0,3,0.1662394432493207,crisis,normal,-196.3567,611.1948,0.1765,,0.1765
66,2026-04-17T08:36:24.099754+00:00,ETHUSDT,long,8376.0557,2291.68,2209.72,-299.5626,0.0,4,0.0837605567506793,crisis,normal,-299.5626,232.6763,,1.0,-1.0
73,2026-04-17T08:36:37.464023+00:00,ETHUSDT,short,25000.0,2330.44,2584.38,-2724.1637,0.0,2,0.25,crisis,normal,-2724.1637,0.0,,1.0,-1.0
76,2026-04-17T08:36:43.204011+00:00,ETHUSDT,short,25000.0,2584.38,2578.19,59.879,0.0,3,0.25,crisis,normal,-325.3198,598.2092,0.1001,,0.1001
80,2026-04-17T08:36:50.231324+00:00,ETHUSDT,short,25000.0,2472.87,2530.19,-579.4886,0.0,3,0.25,crisis,normal,-1157.8652,0.0,,0.5005,-0.5005
91,2026-04-17T08:37:09.984545+00:00,ETHUSDT,short,25000.0,2470.81,2256.9,2164.3712,0.0,10,0.25,normal,normal,-214.4034,2551.4912,0.8483,,0.8483
96,2026-04-17T08:37:23.669671+00:00,ETHUSDT,long,10624.3222,2343.01,2309.06,-153.9455,0.0,3,0.10624322177886457,normal,normal,-271.4791,0.0,,0.5671,-0.5671
96,2026-04-17T08:37:23.669688+00:00,ARBUSDT,long,9706.9689,1.885,1.7928,-474.7918,0.0,3,0.0970696893407461,normal,normal,-625.6747,0.0,,0.7588,-0.7588
98,2026-04-17T08:37:32.119447+00:00,NEARUSDT,long,5094.1982,2.855,2.754,-180.2151,0.0,3,0.050941981710495375,high_vol,normal,-180.2151,80.2938,,1.0,-1.0
102,2026-04-17T08:37:39.136608+00:00,ARBUSDT,long,11169.4377,1.7656,1.8628,614.9011,0.0,5,0.11169437660318472,high_vol,normal,-215.7215,844.5401,0.7281,,0.7281
107,2026-04-17T08:37:48.735165+00:00,ETHUSDT,long,7361.5782,2296.49,2639.99,1101.1161,0.0,10,0.07361578161594316,high_vol,normal,-21.4774,1165.2277,0.945,,0.945
119,2026-04-17T08:38:16.435031+00:00,ETHUSDT,short,5449.7153,2971.4,3112.59,-258.9504,0.0,3,0.05449715326819256,normal,normal,-258.9504,90.1622,,1.0,-1.0
122,2026-04-17T08:38:21.854967+00:00,ETHUSDT,short,9395.9856,3175.94,3383.1,-612.8807,0.0,2,0.09395985593327,normal,normal,-612.8807,0.0,,1.0,-1.0
125,2026-04-17T08:38:27.152685+00:00,ETHUSDT,short,9630.3977,3383.1,3421.4,-109.0255,0.0,3,0.09630397733512638,normal,normal,-143.2703,122.4331,,0.761,-0.761
126,2026-04-17T08:38:28.904637+00:00,ARBUSDT,long,15262.113,1.808,2.0439,1991.3343,0.0,10,0.1526211300907547,normal,normal,-78.5053,1991.3343,1.0,,1.0
132,2026-04-17T08:38:44.078648+00:00,ARBUSDT,long,21185.8148,2.0439,2.0962,542.1097,0.0,6,0.21185814771573339,crisis,normal,-808.5002,1250.0657,0.4337,,0.4337
134,2026-04-17T08:38:47.522008+00:00,ETHUSDT,short,12500.0,3868.76,4064.8,-633.4071,0.0,4,0.125,crisis,normal,-633.4071,0.0,,1.0,-1.0
134,2026-04-17T08:38:47.522021+00:00,ADAUSDT,short,12500.0,0.7427,0.7754,-550.3568,0.0,4,0.125,crisis,normal,-550.3568,439.2756,,1.0,-1.0
143,2026-04-17T08:39:06.697443+00:00,ETHUSDT,short,12500.0,4064.8,3516.53,1686.0301,0.0,9,0.125,crisis,normal,0.0,2786.607,0.605,,0.605
143,2026-04-17T08:39:06.697467+00:00,ADAUSDT,short,12500.0,0.7754,0.6396,2189.1927,0.0,9,0.125,crisis,normal,0.0,3046.8145,0.7185,,0.7185
168,2026-04-17T08:40:05.726778+00:00,ETHUSDT,long,18908.4965,2121.32,2044.68,-683.1346,0.0,3,0.18908496495917926,normal,normal,-683.1346,0.0,,1.0,-1.0
168,2026-04-17T08:40:05.726796+00:00,ADAUSDT,short,6091.5035,0.3684,0.3834,-248.0254,0.0,3,0.06091503504082074,normal,normal,-289.363,0.0,,0.8571,-0.8571
172,2026-04-17T08:40:13.405567+00:00,ADAUSDT,short,25000.0,0.3568,0.3706,-966.9283,0.0,3,0.25,normal,normal,-1541.4798,0.0,,0.6273,-0.6273
174,2026-04-17T08:40:17.312615+00:00,ETHUSDT,long,8431.3111,2058.48,1962.6,-392.7141,0.0,3,0.08431311135739411,normal,normal,-400.0048,0.0,,0.9818,-0.9818
174,2026-04-17T08:40:17.312631+00:00,ARBUSDT,long,8431.3111,1.1426,1.0326,-811.6963,0.0,3,0.08431311135739411,normal,normal,-811.6963,0.0,,1.0,-1.0
179,2026-04-17T08:40:26.938297+00:00,ARBUSDT,long,19601.1189,1.0459,1.0161,-558.4791,0.0,4,0.19601118872863088,normal,normal,-1799.1275,0.0,,0.3104,-0.3104
182,2026-04-17T08:40:32.539177+00:00,ARBUSDT,long,25000.0,1.0161,1.0374,524.0626,0.0,3,0.25,normal,normal,0.0,1242.4958,0.4218,,0.4218
183,2026-04-17T08:40:34.394235+00:00,ETHUSDT,long,5398.8811,2011.47,2027.5,43.0253,0.0,8,0.05398881127136909,normal,normal,-210.5904,192.2315,0.2238,,0.2238
192,2026-04-17T08:40:51.034275+00:00,ARBUSDT,long,20846.9329,1.0174,1.0587,846.2535,0.0,9,0.2084693290974464,normal,normal,-225.3944,1907.6562,0.4436,,0.4436
193,2026-04-17T08:40:53.500495+00:00,ETHUSDT,short,25000.0,2243.37,2355.73,-1252.1341,0.0,3,0.25,normal,normal,-1252.1341,118.9059,,1.0,-1.0
195,2026-04-17T08:40:57.322391+00:00,ARBUSDT,long,16881.4309,1.0587,1.1392,1283.6074,0.0,3,0.16881430906817965,normal,normal,0.0,1805.0231,0.7111,,0.7111
196,2026-04-17T08:40:59.473994+00:00,ADAUSDT,short,7030.7701,0.5454,0.5948,-636.8171,0.0,2,0.0703077006998138,normal,normal,-636.8171,0.0,,1.0,-1.0
199,2026-04-17T08:41:05.112464+00:00,ARBUSDT,long,16899.7165,1.1558,1.186,441.5742,0.0,3,0.168997164960838,normal,normal,-886.0727,1408.066,0.3136,,0.3136
199,2026-04-17T08:41:05.112482+00:00,ADAUSDT,short,8100.2835,0.5948,0.6675,-990.0649,0.0,3,0.08100283503916197,normal,normal,-990.0649,600.5758,,1.0,-1.0
201,2026-04-17T08:41:08.832170+00:00,ETHUSDT,long,12763.1388,2203.46,2220.5,98.7011,0.0,3,0.12763138792102205,normal,normal,0.0,647.9286,0.1523,,0.1523
205,2026-04-17T08:41:16.548364+00:00,ETHUSDT,long,9839.9578,2228.96,2177.91,-225.3651,0.0,3,0.09839957844856675,normal,normal,-225.3651,0.0,,1.0,-1.0
207,2026-04-17T08:41:19.935597+00:00,ADAUSDT,short,14221.0748,0.6433,0.6351,181.2728,0.0,7,0.14221074758016786,normal,normal,0.0,1485.553,0.122,,0.122
211,2026-04-17T08:41:28.216922+00:00,ETHUSDT,long,14779.563,2324.54,2271.35,-338.1852,0.0,3,0.1477956298682575,normal,normal,-384.599,0.0,,0.8793,-0.8793
211,2026-04-17T08:41:28.216949+00:00,ADAUSDT,short,10220.437,0.6226,0.6242,-26.2652,0.0,3,0.10220437013174248,normal,normal,-26.2652,503.9631,,1.0,-1.0
215,2026-04-17T08:41:36.123970+00:00,ETHUSDT,long,18402.2899,2230.88,2299.2,563.5644,0.0,3,0.18402289923759804,normal,normal,0.0,1216.4642,0.4633,,0.4633
215,2026-04-17T08:41:36.123991+00:00,ADAUSDT,long,6597.7101,0.6087,0.6083,-4.3356,0.0,3,0.06597710076240194,normal,normal,-4.3356,267.7237,,1.0,-1.0
219,2026-04-17T08:41:44.674127+00:00,ADAUSDT,long,16623.9443,0.6011,0.605,107.8579,0.0,3,0.1662394432493207,crisis,normal,-196.3567,611.1948,0.1765,,0.1765
220,2026-04-17T08:41:46.432177+00:00,ETHUSDT,long,8376.0557,2291.68,2209.72,-299.5626,0.0,4,0.0837605567506793,crisis,normal,-299.5626,232.6763,,1.0,-1.0
227,2026-04-17T08:41:59.485498+00:00,ETHUSDT,short,25000.0,2330.44,2584.38,-2724.1637,0.0,2,0.25,crisis,normal,-2724.1637,0.0,,1.0,-1.0
230,2026-04-17T08:42:05.165071+00:00,ETHUSDT,short,25000.0,2584.38,2578.19,59.879,0.0,3,0.25,crisis,normal,-325.3198,598.2092,0.1001,,0.1001
234,2026-04-17T08:42:12.233271+00:00,ETHUSDT,short,25000.0,2472.87,2530.19,-579.4886,0.0,3,0.25,crisis,normal,-1157.8652,0.0,,0.5005,-0.5005
