cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
5,2026-04-17T06:28:05.182268+00:00,ADAUSDT,long,15000.0,1.051,1.061,142.7212,0.0,3,0.15,normal,normal,-342.5309,642.2455,0.2222,,0.2222
5,2026-04-17T06:28:05.182291+00:00,NEARUSDT,long,15000.0,11.12,10.959,-217.1763,0.0,3,0.15,normal,normal,-346.6727,122.7518,,0.6265,-0.6265
6,2026-04-17T06:28:06.757002+00:00,ETHUSDT,short,17669.6729,2680.67,2994.99,-2071.8446,0.0,2,0.17669672930469824,crisis,normal,-2071.8446,0.0,,1.0,-1.0
30,2026-04-17T06:29:29.067721+00:00,ETHUSDT,short,6175.0055,2616.79,2920.95,-717.7457,0.0,1,0.061750054541487895,crisis,normal,-717.7457,0.0,,1.0,-1.0
33,2026-04-17T06:29:34.236429+00:00,ADAUSDT,long,9412.4973,0.856,0.903,516.8077,0.0,4,0.09412497272925606,crisis,normal,0.0,1176.5622,0.4393,,0.4393
34,2026-04-17T06:29:35.823875+00:00,NEARUSDT,long,9412.4973,8.508,10.428,2124.1179,0.0,5,0.09412497272925606,crisis,normal,0.0,3650.8276,0.5818,,0.5818
52,2026-04-17T06:30:37.195930+00:00,ETHUSDT,short,25000.0,2938.92,2969.64,-261.3205,0.0,4,0.25,normal,normal,-261.3205,659.596,,1.0,-1.0
55,2026-04-17T06:30:42.352082+00:00,NEARUSDT,long,14276.7676,11.07,12.221,1484.4227,0.0,3,0.14276767634594908,normal,normal,0.0,2354.9573,0.6303,,0.6303
55,2026-04-17T06:30:42.352104+00:00,ETHUSDT,short,7148.8216,2969.64,3102.14,-318.9676,0.0,3,0.07148821576936727,normal,normal,-339.7185,0.0,,0.9389,-0.9389
57,2026-04-17T06:30:46.098623+00:00,ADAUSDT,short,16666.6667,1.131,1.184,-781.0197,0.0,3,0.16666666666666666,high_vol,normal,-781.0197,515.7678,,1.0,-1.0
78,2026-04-17T06:31:21.895215+00:00,ADAUSDT,long,25000.0,0.933,0.914,-509.1104,0.0,3,0.25,normal,normal,-509.1104,616.2915,,1.0,-1.0
82,2026-04-17T06:31:28.369502+00:00,ADAUSDT,long,25000.0,0.937,0.91,-720.3842,0.0,3,0.25,normal,normal,-720.3842,400.2134,,1.0,-1.0
87,2026-04-17T06:31:36.388661+00:00,ADAUSDT,long,25000.0,0.906,0.8259,-2210.2649,0.0,4,0.25,normal,normal,-2210.2649,0.0,,1.0,-1.0
90,2026-04-17T06:31:41.071561+00:00,ADAUSDT,long,7982.6426,0.8259,0.8048,-203.9397,0.0,3,0.07982642574500307,normal,normal,-203.9397,167.2112,,1.0,-1.0
