cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
5,2026-04-18T11:31:07.471607+00:00,ADAUSDT,long,15000.0,1.051,1.061,142.7212,0.0,3,0.15,normal,normal,-342.5309,642.2455,0.2222,,0.2222
5,2026-04-18T11:31:07.471635+00:00,NEARUSDT,long,15000.0,11.12,10.959,-217.1763,0.0,3,0.15,normal,normal,-346.6727,122.7518,,0.6265,-0.6265
6,2026-04-18T11:31:10.085084+00:00,ETHUSDT,short,17212.7021,2680.67,2994.99,-2018.2628,0.0,2,0.172127020756887,crisis,normal,-2018.2628,0.0,,1.0,-1.0
30,2026-04-18T11:32:57.120845+00:00,ETHUSDT,short,5624.3867,2616.79,2920.95,-653.745,0.0,1,0.056243867442015,crisis,normal,-653.745,0.0,,1.0,-1.0
33,2026-04-18T11:33:08.706464+00:00,ADAUSDT,long,9687.8066,0.856,0.903,531.924,0.0,4,0.0968780662789925,crisis,normal,0.0,1210.9758,0.4393,,0.4393
34,2026-04-18T11:33:12.127825+00:00,NEARUSDT,long,9687.8066,8.508,10.428,2186.2469,0.0,5,0.0968780662789925,crisis,normal,0.0,3757.6119,0.5818,,0.5818
52,2026-04-18T11:34:47.449984+00:00,ETHUSDT,short,25000.0,2938.92,2969.64,-261.3205,0.0,4,0.25,normal,normal,-261.3205,659.596,,1.0,-1.0
54,2026-04-18T11:34:52.272563+00:00,ETHUSDT,short,7115.9914,2969.64,3110.76,-338.1584,0.0,2,0.07115991391019078,normal,normal,-338.1584,0.0,,1.0,-1.0
55,2026-04-18T11:34:54.584402+00:00,NEARUSDT,long,14326.0129,11.07,12.221,1489.543,0.0,3,0.14326012913471384,normal,normal,0.0,2363.0804,0.6303,,0.6303
57,2026-04-18T11:34:58.152500+00:00,ETHUSDT,short,8333.3333,3110.76,3295.65,-495.297,0.0,3,0.08333333333333333,high_vol,normal,-495.297,23.0919,,1.0,-1.0
57,2026-04-18T11:34:58.152535+00:00,ADAUSDT,short,16666.6667,1.131,1.184,-781.0197,0.0,3,0.16666666666666666,high_vol,normal,-781.0197,515.7678,,1.0,-1.0
78,2026-04-18T11:35:40.743773+00:00,ADAUSDT,long,25000.0,0.933,0.914,-509.1104,0.0,3,0.25,normal,normal,-509.1104,616.2915,,1.0,-1.0
82,2026-04-18T11:35:49.661063+00:00,ADAUSDT,long,25000.0,0.937,0.91,-720.3842,0.0,3,0.25,normal,normal,-720.3842,400.2134,,1.0,-1.0
85,2026-04-18T11:35:57.321865+00:00,ADAUSDT,long,25000.0,0.906,0.886,-551.8764,0.0,2,0.25,normal,normal,-551.8764,0.0,,1.0,-1.0
87,2026-04-18T11:36:01.206052+00:00,ADAUSDT,long,25000.0,0.886,0.8259,-1695.8239,0.0,2,0.25,normal,normal,-1695.8239,321.6704,,1.0,-1.0
89,2026-04-18T11:36:05.529277+00:00,ETHUSDT,short,5435.6783,2809.67,2936.93,-246.2013,0.0,2,0.05435678318981299,normal,normal,-246.2013,0.0,,1.0,-1.0
90,2026-04-18T11:36:07.600282+00:00,ADAUSDT,long,10143.1562,0.8259,0.8048,-259.1362,0.0,3,0.10143156163503964,normal,normal,-259.1362,212.4671,,1.0,-1.0
90,2026-04-18T11:36:07.600302+00:00,NEARUSDT,long,9421.1655,12.685,11.289,-1036.811,0.0,3,0.09421165517514736,normal,normal,-1036.811,144.084,,1.0,-1.0
93,2026-04-18T11:36:14.117803+00:00,ETHUSDT,short,10118.208,2936.93,2856.54,276.9568,0.0,4,0.10118207972979953,normal,normal,0.0,724.4148,0.3823,,0.3823
94,2026-04-18T11:36:16.007350+00:00,ADAUSDT,long,6351.4978,0.7556,0.7711,130.2914,0.0,3,0.0635149780737456,normal,normal,0.0,284.96,0.4572,,0.4572
96,2026-04-18T11:36:19.792051+00:00,NEARUSDT,long,6244.0039,10.336,11.217,532.2143,0.0,5,0.062440038774051534,crisis,normal,0.0,1596.643,0.3333,,0.3333
103,2026-04-18T11:36:33.202317+00:00,ETHUSDT,short,14884.4141,2856.54,1960.22,4670.4048,0.0,10,0.1488441414137628,crisis,normal,-438.2152,4670.4048,1.0,,1.0
106,2026-04-18T11:36:38.713709+00:00,ADAUSDT,short,12650.7424,0.7403,0.5981,2430.0089,0.0,7,0.12650742359494255,crisis,normal,0.0,4562.6749,0.5326,,0.5326
119,2026-04-18T11:37:04.139202+00:00,ETHUSDT,short,25000.0,1942.63,1792.22,1935.6491,0.0,3,0.25,normal,normal,0.0,2771.5005,0.6984,,0.6984
122,2026-04-18T11:37:10.267168+00:00,ADAUSDT,long,7069.902,0.482,0.6268,2123.9042,0.0,2,0.0706990204981409,normal,normal,0.0,2123.9042,1.0,,1.0
123,2026-04-18T11:37:12.101294+00:00,ETHUSDT,long,7071.1072,1813.64,1817.95,16.804,0.0,3,0.07071107216666148,normal,normal,0.0,721.8328,0.0233,,0.0233
123,2026-04-18T11:37:12.101308+00:00,NEARUSDT,long,10858.9907,5.182,5.343,337.3789,0.0,3,0.10858990733519762,normal,normal,0.0,1624.0289,0.2077,,0.2077
126,2026-04-18T11:37:18.283364+00:00,NEARUSDT,long,11757.2619,5.603,5.329,-574.958,0.0,2,0.11757261943483685,normal,normal,-736.5338,0.0,,0.7806,-0.7806
128,2026-04-18T11:37:21.975529+00:00,ADAUSDT,short,6584.1726,0.6268,0.6091,185.9283,0.0,6,0.06584172586988797,normal,normal,0.0,789.9326,0.2354,,0.2354
128,2026-04-18T11:37:21.975547+00:00,ETHUSDT,short,12500.0,1804.58,1859.84,-382.776,0.0,2,0.125,normal,normal,-382.776,0.0,,1.0,-1.0
130,2026-04-18T11:37:25.767518+00:00,ETHUSDT,long,8381.4862,1859.84,1791.88,-306.266,0.0,2,0.08381486195158165,normal,normal,-306.266,0.0,,1.0,-1.0
130,2026-04-18T11:37:25.767551+00:00,ADAUSDT,short,16618.5138,0.6091,0.6408,-864.8939,0.0,2,0.16618513804841836,normal,normal,-864.8939,0.0,,1.0,-1.0
137,2026-04-18T11:37:39.354870+00:00,ADAUSDT,short,25000.0,0.6408,0.5348,4135.4557,0.0,7,0.25,normal,normal,0.0,6882.0225,0.6009,,0.6009
158,2026-04-18T11:38:23.669796+00:00,ETHUSDT,short,13226.1183,2680.67,2994.99,-1550.8188,0.0,2,0.1322611827577666,normal,normal,-1550.8188,0.0,,1.0,-1.0
160,2026-04-18T11:38:27.329705+00:00,ETHUSDT,short,12622.3794,2994.99,3054.99,-252.8699,0.0,2,0.12622379427339253,normal,normal,-252.8699,0.0,,1.0,-1.0
162,2026-04-18T11:38:31.054489+00:00,NEARUSDT,long,5886.9409,10.863,12.778,1037.7881,0.0,6,0.058869408621116705,normal,normal,0.0,1430.6843,0.7254,,0.7254
162,2026-04-18T11:38:31.054510+00:00,ETHUSDT,short,11565.736,3054.99,3116.69,-233.587,0.0,2,0.1156573595002955,normal,normal,-320.9644,0.0,,0.7278,-0.7278
164,2026-04-18T11:38:35.354507+00:00,ADAUSDT,long,5886.9409,1.027,1.15,705.0572,0.0,8,0.058869408621116705,normal,normal,0.0,985.9336,0.7151,,0.7151
166,2026-04-18T11:38:39.548760+00:00,ADAUSDT,long,25000.0,1.15,1.059,-1978.2609,0.0,2,0.25,normal,normal,-1978.2609,0.0,,1.0,-1.0
168,2026-04-18T11:38:43.316001+00:00,ADAUSDT,long,5776.1701,1.059,1.049,-54.5436,0.0,2,0.057761700849575145,normal,normal,-92.7242,0.0,,0.5882,-0.5882
168,2026-04-18T11:38:43.316014+00:00,NEARUSDT,long,8205.3384,10.793,10.554,-181.6989,0.0,2,0.08205338439317124,normal,normal,-313.9817,0.0,,0.5787,-0.5787
169,2026-04-18T11:38:46.227925+00:00,ETHUSDT,short,11018.4915,2918.88,3183.52,-998.9906,0.0,3,0.11018491475725359,normal,normal,-998.9906,180.2517,,1.0,-1.0
171,2026-04-18T11:38:49.889156+00:00,ADAUSDT,long,8821.048,1.049,1.02,-243.8612,0.0,3,0.08821048028589107,normal,normal,-243.8612,487.7224,,1.0,-1.0
171,2026-04-18T11:38:49.889171+00:00,NEARUSDT,long,12273.8528,10.554,10.445,-126.7624,0.0,3,0.1227385281432391,normal,normal,-126.7624,1111.7873,,1.0,-1.0
174,2026-04-18T11:38:55.921438+00:00,NEARUSDT,long,12483.5888,10.275,9.293,-1193.0787,0.0,2,0.12483588752656595,normal,normal,-1193.0787,0.0,,1.0,-1.0
175,2026-04-18T11:38:58.775064+00:00,ADAUSDT,long,8749.3183,0.995,0.856,-1222.2666,0.0,3,0.08749318274202848,normal,normal,-1222.2666,8.7933,,1.0,-1.0
176,2026-04-18T11:39:05.671856+00:00,NEARUSDT,long,14993.4105,9.293,8.965,-529.1982,0.0,2,0.14993410458015247,normal,normal,-1206.83,0.0,,0.4385,-0.4385
178,2026-04-18T11:39:09.736645+00:00,ADAUSDT,long,12500.0,0.888,0.853,-492.6802,0.0,2,0.125,normal,normal,-492.6802,0.0,,1.0,-1.0
178,2026-04-18T11:39:09.736663+00:00,NEARUSDT,long,12500.0,8.965,8.488,-665.0864,0.0,2,0.125,normal,normal,-665.0864,0.0,,1.0,-1.0
181,2026-04-18T11:39:15.848322+00:00,ETHUSDT,long,8333.3333,2596.2,2616.79,66.0902,0.0,3,0.08333333333333333,normal,normal,0.0,588.2636,0.1123,,0.1123
181,2026-04-18T11:39:15.848341+00:00,ADAUSDT,long,8333.3333,0.853,0.856,29.3083,0.0,3,0.08333333333333333,normal,normal,0.0,439.6249,0.0667,,0.0667
181,2026-04-18T11:39:15.848351+00:00,NEARUSDT,long,8333.3333,8.488,8.508,19.6356,0.0,3,0.08333333333333333,normal,normal,0.0,617.5385,0.0318,,0.0318
204,2026-04-18T11:40:04.205316+00:00,ETHUSDT,short,25000.0,2938.92,2969.64,-261.3205,0.0,4,0.25,normal,normal,-261.3205,659.596,,1.0,-1.0
207,2026-04-18T11:40:10.237108+00:00,NEARUSDT,long,19232.1296,11.07,12.221,1999.655,0.0,3,0.19232129566654382,normal,normal,0.0,3172.3459,0.6303,,0.6303
209,2026-04-18T11:40:14.013187+00:00,ETHUSDT,short,8333.3333,3110.76,3295.65,-495.297,0.0,3,0.08333333333333333,high_vol,normal,-495.297,23.0919,,1.0,-1.0
209,2026-04-18T11:40:14.013212+00:00,ADAUSDT,short,16666.6667,1.131,1.184,-781.0197,0.0,3,0.16666666666666666,high_vol,normal,-781.0197,515.7678,,1.0,-1.0
230,2026-04-18T11:41:02.150899+00:00,ADAUSDT,long,25000.0,0.933,0.914,-509.1104,0.0,3,0.25,normal,normal,-509.1104,616.2915,,1.0,-1.0
234,2026-04-18T11:41:09.586310+00:00,ADAUSDT,long,25000.0,0.937,0.91,-720.3842,0.0,3,0.25,normal,normal,-720.3842,400.2134,,1.0,-1.0
237,2026-04-18T11:41:15.190362+00:00,ADAUSDT,long,25000.0,0.906,0.886,-551.8764,0.0,2,0.25,normal,normal,-551.8764,0.0,,1.0,-1.0
239,2026-04-18T11:41:19.425628+00:00,ADAUSDT,long,25000.0,0.886,0.8259,-1695.8239,0.0,2,0.25,normal,normal,-1695.8239,321.6704,,1.0,-1.0
241,2026-04-18T11:41:23.301884+00:00,ETHUSDT,short,6063.9143,2809.67,2936.93,-274.6564,0.0,2,0.060639142516871775,normal,normal,-274.6564,0.0,,1.0,-1.0
242,2026-04-18T11:41:25.374831+00:00,ADAUSDT,long,9468.0429,0.8259,0.8048,-241.8885,0.0,3,0.09468042874156411,normal,normal,-241.8885,198.3256,,1.0,-1.0
242,2026-04-18T11:41:25.374848+00:00,NEARUSDT,long,9468.0429,12.685,11.289,-1041.9699,0.0,3,0.09468042874156411,normal,normal,-1041.9699,144.801,,1.0,-1.0
245,2026-04-18T11:41:32.143572+00:00,ETHUSDT,short,9066.7112,2936.93,2856.54,248.1751,0.0,4,0.09066711230802929,normal,normal,0.0,649.1327,0.3823,,0.3823
246,2026-04-18T11:41:34.088834+00:00,ADAUSDT,long,6332.9107,0.7556,0.7711,129.9102,0.0,3,0.06332910712601414,normal,normal,0.0,284.1261,0.4572,,0.4572
248,2026-04-18T11:41:37.803637+00:00,NEARUSDT,long,6225.0918,10.336,11.217,530.6024,0.0,5,0.06225091825463368,crisis,normal,0.0,1591.8071,0.3333,,0.3333
255,2026-04-18T11:41:50.888913+00:00,ETHUSDT,short,12429.4972,2856.54,1960.22,3900.1053,0.0,10,0.12429497191421486,crisis,normal,-365.9395,3900.1053,1.0,,1.0
