cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
5,2026-04-19T05:04:30.759993+00:00,ADAUSDT,long,14754.0984,1.051,1.061,140.3815,0.0,3,0.14754098360655737,normal,normal,-336.9157,631.7169,0.2222,,0.2222
5,2026-04-19T05:04:30.760022+00:00,NEARUSDT,long,15245.9016,11.12,10.959,-220.7365,0.0,3,0.15245901639344261,normal,normal,-352.3558,124.7641,,0.6265,-0.6265
6,2026-04-19T05:04:33.015931+00:00,ETHUSDT,short,20201.9435,2680.67,2994.99,-2368.7641,0.0,2,0.20201943528201088,crisis,normal,-2368.7641,0.0,,1.0,-1.0
30,2026-04-19T05:06:10.297808+00:00,ETHUSDT,short,25000.0,2616.79,2920.95,-2905.8503,0.0,1,0.25,crisis,normal,-2905.8503,0.0,,1.0,-1.0
52,2026-04-19T05:08:15.212146+00:00,ETHUSDT,short,25000.0,2938.92,2969.64,-261.3205,0.0,4,0.25,normal,normal,-261.3205,659.596,,1.0,-1.0
54,2026-04-19T05:08:20.174501+00:00,ETHUSDT,short,25000.0,2969.64,3110.76,-1188.0228,0.0,2,0.25,normal,normal,-1188.0228,0.0,,1.0,-1.0
57,2026-04-19T05:08:26.450703+00:00,ETHUSDT,short,25000.0,3102.14,3295.65,-1559.488,0.0,2,0.25,high_vol,normal,-1559.488,0.0,,1.0,-1.0
383,2026-04-19T05:48:31.812742+00:00,ADAUSDT,long,25000.0,0.951,0.937,-368.0336,0.0,2,0.25,normal,normal,-972.6604,0.0,,0.3784,-0.3784
386,2026-04-19T05:48:38.602648+00:00,ADAUSDT,long,25000.0,0.937,0.91,-720.3842,0.0,3,0.25,normal,normal,-720.3842,400.2134,,1.0,-1.0
389,2026-04-19T05:48:45.399536+00:00,ADAUSDT,long,25000.0,0.906,0.886,-551.8764,0.0,2,0.25,normal,normal,-551.8764,0.0,,1.0,-1.0
427,2026-04-19T05:53:36.946095+00:00,NEARUSDT,long,25000.0,5.182,5.343,776.7271,0.0,3,0.25,normal,normal,0.0,3738.9039,0.2077,,0.2077
