cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
4,2026-04-19T05:04:40.040036+00:00,ETHUSDT,long,8877.551,2086.59,1998.33,-375.5087,0.0,2,0.08877551020408163,normal,normal,-510.5914,0.0,,0.7354,-0.7354
4,2026-04-19T05:04:40.040056+00:00,NEARUSDT,long,10714.2857,1.086,1.058,-276.2431,0.0,2,0.10714285714285712,normal,normal,-295.9747,0.0,,0.9333,-0.9333
4,2026-04-19T05:04:40.040069+00:00,ARBUSDT,long,10408.1633,0.1205,0.1153,-449.149,0.0,2,0.10408163265306122,normal,normal,-509.6113,0.0,,0.8814,-0.8814
6,2026-04-19T05:04:45.109184+00:00,ETHUSDT,long,12385.7308,1998.33,1955.91,-262.9209,0.0,2,0.12385730820150333,crisis,normal,-262.9209,0.0,,1.0,-1.0
6,2026-04-19T05:04:45.109202+00:00,NEARUSDT,long,8296.1425,1.058,1.017,-321.4951,0.0,2,0.08296142480145945,crisis,normal,-321.4951,0.0,,1.0,-1.0
6,2026-04-19T05:04:45.109213+00:00,ARBUSDT,long,9318.1267,0.1153,0.1077,-614.2044,0.0,2,0.09318126699703722,crisis,normal,-614.2044,0.0,,1.0,-1.0
142,2026-04-19T05:21:18.188234+00:00,ADAUSDT,short,25000.0,0.287,0.2763,932.0557,0.0,6,0.25,normal,normal,0.0,2134.1463,0.4367,,0.4367
264,2026-04-19T05:36:14.300590+00:00,ADAUSDT,short,25000.0,0.2735,0.2763,-255.9415,0.0,3,0.25,normal,normal,-329.0676,1005.4845,,0.7778,-0.7778
325,2026-04-19T05:45:36.674882+00:00,ADAUSDT,short,25000.0,0.281,0.2763,418.1495,0.0,4,0.25,normal,normal,0.0,1645.9075,0.2541,,0.2541
369,2026-04-19T05:49:39.096270+00:00,ADAUSDT,long,25000.0,0.2443,0.2818,3837.4949,0.0,3,0.25,crisis,normal,0.0,5188.2931,0.7396,,0.7396
374,2026-04-19T05:49:51.831899+00:00,ADAUSDT,short,25000.0,0.2858,0.2849,78.7264,0.0,4,0.25,crisis,normal,0.0,1128.4115,0.0698,,0.0698
379,2026-04-19T05:51:16.819899+00:00,ADAUSDT,short,25000.0,0.2849,0.2971,-1070.5511,0.0,5,0.25,crisis,normal,-1070.5511,2299.0523,,1.0,-1.0
435,2026-04-19T05:56:48.526689+00:00,ADAUSDT,short,25000.0,0.2858,0.2849,78.7264,0.0,4,0.25,crisis,normal,0.0,1128.4115,0.0698,,0.0698
440,2026-04-19T05:57:02.280316+00:00,ADAUSDT,short,25000.0,0.2849,0.2971,-1070.5511,0.0,5,0.25,crisis,normal,-1070.5511,2299.0523,,1.0,-1.0
