cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
79,2026-04-19T05:16:19.387573+00:00,ETHUSDT,short,25000.0,2578.19,2587.4,-89.3068,0.0,3,0.25,crisis,normal,-89.3068,1021.2591,,1.0,-1.0
90,2026-04-19T05:17:34.558574+00:00,ETHUSDT,short,25000.0,2530.19,2267.94,2591.2086,0.0,10,0.25,normal,normal,0.0,3078.3261,0.8418,,0.8418
123,2026-04-19T05:22:23.919611+00:00,ETHUSDT,short,7740.8638,3242.36,3340.09,-233.3222,0.0,2,0.07740863763921972,normal,normal,-336.005,0.0,,0.6944,-0.6944
125,2026-04-19T05:22:29.159294+00:00,ETHUSDT,short,7199.5888,3340.09,3421.4,-175.2643,0.0,2,0.07199588777621185,normal,normal,-201.1951,0.0,,0.8711,-0.8711
127,2026-04-19T05:22:33.970837+00:00,ARBUSDT,long,17259.1362,1.8958,1.9823,787.4856,0.0,6,0.17259136236078026,crisis,normal,0.0,1348.2847,0.5841,,0.5841
132,2026-04-19T05:22:46.192917+00:00,ETHUSDT,short,25000.0,3868.76,3905.21,-235.5406,0.0,2,0.25,crisis,normal,-235.5406,0.0,,1.0,-1.0
135,2026-04-19T05:22:53.511390+00:00,ETHUSDT,short,25000.0,3905.21,3979.96,-478.5274,0.0,3,0.25,crisis,normal,-1021.648,171.1816,,0.4684,-0.4684
174,2026-04-19T05:31:00.803775+00:00,ARBUSDT,long,25000.0,1.0784,1.0326,-1061.7582,0.0,2,0.25,normal,normal,-1061.7582,0.0,,1.0,-1.0
177,2026-04-19T05:31:08.318065+00:00,ARBUSDT,long,25000.0,1.0326,0.9499,-2002.2274,0.0,3,0.25,normal,normal,-2002.2274,322.0027,,1.0,-1.0
182,2026-04-19T05:31:22.626090+00:00,ARBUSDT,long,25000.0,1.0193,1.0374,443.9321,0.0,4,0.25,normal,normal,-78.4852,1160.1099,0.3827,,0.3827
184,2026-04-19T05:31:27.435918+00:00,ARBUSDT,long,25000.0,1.0374,1.0172,-486.7939,0.0,2,0.25,high_vol,normal,-486.7939,0.0,,1.0,-1.0
212,2026-04-19T05:34:50.739817+00:00,ARBUSDT,long,25000.0,1.0735,1.3261,5882.6269,0.0,7,0.25,normal,normal,0.0,8053.0973,0.7305,,0.7305
227,2026-04-19T05:36:42.294986+00:00,ETHUSDT,short,25000.0,2344.29,2584.38,-2560.3701,0.0,1,0.25,crisis,normal,-2560.3701,0.0,,1.0,-1.0
233,2026-04-19T05:36:55.709216+00:00,ETHUSDT,short,25000.0,2618.01,2587.4,292.3022,0.0,5,0.25,crisis,normal,0.0,1385.9764,0.2109,,0.2109
244,2026-04-19T05:39:00.083398+00:00,ETHUSDT,short,25000.0,2530.19,2267.94,2591.2086,0.0,10,0.25,normal,normal,0.0,3078.3261,0.8418,,0.8418
273,2026-04-19T05:41:16.505343+00:00,ADAUSDT,short,25000.0,0.5858,0.5914,-238.9894,0.0,3,0.25,normal,normal,-473.7112,145.1007,,0.5045,-0.5045
280,2026-04-19T05:41:34.609626+00:00,ADAUSDT,short,25000.0,0.7195,0.7279,-291.8694,0.0,2,0.25,normal,normal,-767.8944,0.0,,0.3801,-0.3801
283,2026-04-19T05:41:42.975544+00:00,ADAUSDT,short,25000.0,0.7279,0.7349,-240.4176,0.0,3,0.25,crisis,normal,-1449.3749,1222.6954,,0.1659,-0.1659
286,2026-04-19T05:42:47.044275+00:00,ETHUSDT,short,10119.0476,3868.76,3905.21,-95.3379,0.0,2,0.10119047619047618,crisis,normal,-95.3379,0.0,,1.0,-1.0
288,2026-04-19T05:42:52.738547+00:00,ADAUSDT,short,14880.9524,0.7427,0.7754,-655.1867,0.0,4,0.1488095238095238,crisis,normal,-655.1867,522.9472,,1.0,-1.0
336,2026-04-19T05:49:15.298203+00:00,ARBUSDT,long,25000.0,0.9499,1.0374,2302.874,0.0,5,0.25,normal,normal,0.0,3071.3759,0.7498,,0.7498
339,2026-04-19T05:49:21.620551+00:00,ARBUSDT,long,25000.0,1.0174,1.0081,-228.5237,0.0,2,0.25,high_vol,normal,-228.5237,0.0,,1.0,-1.0
364,2026-04-19T05:52:37.968224+00:00,ETHUSDT,long,13473.9712,2239.61,2264.05,147.0362,0.0,3,0.1347397117432467,normal,normal,0.0,510.957,0.2878,,0.2878
364,2026-04-19T05:52:37.968248+00:00,ARBUSDT,long,11526.0288,1.1582,1.354,1948.5378,0.0,3,0.1152602882567533,normal,normal,0.0,2598.3821,0.7499,,0.7499
