cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
4,2026-04-19T12:12:42.654721+00:00,NEARUSDT,long,13636.3636,1.086,1.058,-351.5821,0.0,2,0.13636363636363635,normal,normal,-376.6951,0.0,,0.9333,-0.9333
4,2026-04-19T12:12:42.654742+00:00,ARBUSDT,long,16363.6364,0.1205,0.1153,-706.1486,0.0,2,0.1636363636363636,normal,normal,-801.2071,0.0,,0.8814,-0.8814
6,2026-04-19T12:12:48.388870+00:00,NEARUSDT,long,12604.0385,1.058,1.017,-488.4363,0.0,2,0.126040385497067,crisis,normal,-488.4363,0.0,,1.0,-1.0
6,2026-04-19T12:12:48.388890+00:00,ARBUSDT,long,17395.9615,0.1153,0.1077,-1146.6549,0.0,2,0.17395961450293299,crisis,normal,-1146.6549,0.0,,1.0,-1.0
74,2026-04-19T12:23:51.319283+00:00,ADAUSDT,short,25000.0,0.2717,0.2971,-2337.1365,0.0,3,0.25,crisis,normal,-2337.1365,1196.1722,,1.0,-1.0
81,2026-04-19T12:24:28.164451+00:00,ADAUSDT,short,25000.0,0.287,0.2763,932.0557,0.0,6,0.25,normal,normal,0.0,2134.1463,0.4367,,0.4367
196,2026-04-19T12:39:03.479841+00:00,ADAUSDT,short,25000.0,0.2849,0.2971,-1070.5511,0.0,5,0.25,crisis,normal,-1070.5511,2299.0523,,1.0,-1.0
253,2026-04-19T12:45:26.106475+00:00,ADAUSDT,short,25000.0,0.2729,0.28,-650.4214,0.0,2,0.25,crisis,normal,-1099.3038,0.0,,0.5917,-0.5917
257,2026-04-19T12:45:38.142693+00:00,ADAUSDT,short,25000.0,0.28,0.2971,-1526.7857,0.0,4,0.25,crisis,normal,-1526.7857,1901.7857,,1.0,-1.0
374,2026-04-19T13:04:51.618927+00:00,ADAUSDT,short,25000.0,0.2811,0.2849,-337.958,0.0,3,0.25,crisis,normal,-337.958,729.2778,,1.0,-1.0
379,2026-04-19T13:05:05.181261+00:00,ADAUSDT,short,25000.0,0.28,0.2971,-1526.7857,0.0,4,0.25,crisis,normal,-1526.7857,1901.7857,,1.0,-1.0
