cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
5,2026-04-20T08:14:47.830739+00:00,ADAUSDT,long,15000.0,1.051,1.061,142.7212,0.0,3,0.15,normal,normal,-342.5309,642.2455,0.2222,,0.2222
5,2026-04-20T08:14:47.830755+00:00,NEARUSDT,long,15000.0,11.12,10.959,-217.1763,0.0,3,0.15,normal,normal,-346.6727,122.7518,,0.6265,-0.6265
6,2026-04-20T08:14:50.477581+00:00,ETHUSDT,short,16317.839,2680.67,2994.99,-1913.3363,0.0,2,0.16317838987121427,crisis,normal,-1913.3363,0.0,,1.0,-1.0
52,2026-04-20T08:18:34.318644+00:00,ETHUSDT,short,25000.0,2938.92,2969.64,-261.3205,0.0,4,0.25,normal,normal,-261.3205,659.596,,1.0,-1.0
54,2026-04-20T08:18:39.920700+00:00,ETHUSDT,short,25000.0,2969.64,3110.76,-1188.0228,0.0,2,0.25,normal,normal,-1188.0228,0.0,,1.0,-1.0
57,2026-04-20T08:18:48.462586+00:00,ADAUSDT,short,25000.0,1.131,1.184,-1171.5296,0.0,3,0.25,high_vol,normal,-1171.5296,773.6516,,1.0,-1.0
78,2026-04-20T08:19:41.825832+00:00,ADAUSDT,long,25000.0,0.933,0.914,-509.1104,0.0,3,0.25,normal,normal,-509.1104,616.2915,,1.0,-1.0
82,2026-04-20T08:19:53.756813+00:00,ADAUSDT,long,25000.0,0.937,0.91,-720.3842,0.0,3,0.25,normal,normal,-720.3842,400.2134,,1.0,-1.0
93,2026-04-20T08:20:25.115129+00:00,ETHUSDT,short,25000.0,2936.93,2856.54,684.303,0.0,4,0.25,normal,normal,0.0,1789.8792,0.3823,,0.3823
103,2026-04-20T08:21:10.693105+00:00,ETHUSDT,short,25000.0,2856.54,1960.22,7844.4552,0.0,10,0.25,crisis,normal,-736.0303,7844.4552,1.0,,1.0
106,2026-04-20T08:21:17.935855+00:00,ADAUSDT,short,12727.85,0.7403,0.5981,2444.82,0.0,7,0.12727850006488103,crisis,normal,0.0,4590.4849,0.5326,,0.5326
122,2026-04-20T08:22:05.504857+00:00,ADAUSDT,long,7067.1592,0.482,0.6268,2123.0802,0.0,2,0.07067159157783412,normal,normal,0.0,2123.0802,1.0,,1.0
123,2026-04-20T08:22:08.500705+00:00,ETHUSDT,long,7068.4137,1813.64,1817.95,16.7976,0.0,3,0.07068413675819123,normal,normal,0.0,721.5578,0.0233,,0.0233
123,2026-04-20T08:22:08.500722+00:00,NEARUSDT,long,10864.4272,5.182,5.343,337.5478,0.0,3,0.10864427166397465,normal,normal,0.0,1624.842,0.2077,,0.2077
126,2026-04-20T08:22:18.283986+00:00,NEARUSDT,long,13385.111,5.603,5.329,-654.5637,0.0,2,0.13385110960319277,normal,normal,-838.5104,0.0,,0.7806,-0.7806
