cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
5,2026-04-20T02:31:01.395317+00:00,ADAUSDT,long,15000.0,1.051,1.061,142.7212,0.0,3,0.15,normal,normal,-342.5309,642.2455,0.2222,,0.2222
5,2026-04-20T02:31:01.395335+00:00,NEARUSDT,long,15000.0,11.12,10.959,-217.1763,0.0,3,0.15,normal,normal,-346.6727,122.7518,,0.6265,-0.6265
6,2026-04-20T02:31:03.603335+00:00,ETHUSDT,short,16747.9292,2680.67,2994.99,-1963.7662,0.0,2,0.16747929158798422,crisis,normal,-1963.7662,0.0,,1.0,-1.0
54,2026-04-20T02:34:41.507899+00:00,ETHUSDT,short,25000.0,2969.64,3110.76,-1188.0228,0.0,2,0.25,normal,normal,-1188.0228,0.0,,1.0,-1.0
57,2026-04-20T02:34:48.706339+00:00,ADAUSDT,short,25000.0,1.131,1.184,-1171.5296,0.0,3,0.25,high_vol,normal,-1171.5296,773.6516,,1.0,-1.0
78,2026-04-20T02:35:38.667052+00:00,ADAUSDT,long,25000.0,0.933,0.914,-509.1104,0.0,3,0.25,normal,normal,-509.1104,616.2915,,1.0,-1.0
82,2026-04-20T02:35:50.309562+00:00,ADAUSDT,long,25000.0,0.937,0.91,-720.3842,0.0,3,0.25,normal,normal,-720.3842,400.2134,,1.0,-1.0
93,2026-04-20T02:36:16.695334+00:00,ETHUSDT,short,25000.0,2817.13,2856.54,-349.7354,0.0,3,0.25,normal,normal,-349.7354,802.8561,,1.0,-1.0
104,2026-04-20T02:36:58.570041+00:00,ETHUSDT,short,25000.0,2781.7,2009.69,6938.2931,0.0,10,0.25,crisis,normal,-1428.443,7382.8954,0.9398,,0.9398
106,2026-04-20T02:37:06.027039+00:00,ADAUSDT,short,12622.5354,0.7403,0.5981,2424.5907,0.0,7,0.12622535371906857,crisis,normal,0.0,4552.5016,0.5326,,0.5326
122,2026-04-20T02:37:45.300052+00:00,ADAUSDT,long,7066.367,0.482,0.6268,2122.8422,0.0,2,0.0706636698543791,normal,normal,0.0,2122.8422,1.0,,1.0
123,2026-04-20T02:37:47.073693+00:00,ETHUSDT,long,7067.6347,1813.64,1817.95,16.7958,0.0,3,0.07067634707275977,normal,normal,0.0,721.4783,0.0233,,0.0233
123,2026-04-20T02:37:47.073706+00:00,NEARUSDT,long,10865.9983,5.182,5.343,337.5966,0.0,3,0.10865998307286114,normal,normal,0.0,1625.0769,0.2077,,0.2077
126,2026-04-20T02:37:52.431225+00:00,NEARUSDT,long,17754.8803,5.603,5.329,-868.2558,0.0,2,0.17754880286739896,normal,normal,-1112.2547,0.0,,0.7806,-0.7806
128,2026-04-20T02:37:55.846136+00:00,ADAUSDT,short,6251.8013,0.6268,0.6091,176.5426,0.0,6,0.06251801345348561,normal,normal,0.0,750.0566,0.2354,,0.2354
137,2026-04-20T02:38:12.880234+00:00,ADAUSDT,short,25000.0,0.6408,0.5348,4135.4557,0.0,7,0.25,normal,normal,0.0,6882.0225,0.6009,,0.6009
158,2026-04-20T02:39:02.729267+00:00,ETHUSDT,short,25000.0,2680.67,2994.99,-2931.3567,0.0,2,0.25,normal,normal,-2931.3567,0.0,,1.0,-1.0
160,2026-04-20T02:39:06.812888+00:00,ETHUSDT,short,25000.0,2994.99,3054.99,-500.8364,0.0,2,0.25,normal,normal,-500.8364,0.0,,1.0,-1.0
162,2026-04-20T02:39:10.160796+00:00,ETHUSDT,short,25000.0,3054.99,3116.69,-504.9116,0.0,2,0.25,normal,normal,-693.783,0.0,,0.7278,-0.7278
169,2026-04-20T02:39:28.281844+00:00,ETHUSDT,short,25000.0,2918.88,3183.52,-2266.6228,0.0,3,0.25,normal,normal,-2266.6228,408.9754,,1.0,-1.0
206,2026-04-20T02:41:01.104638+00:00,ETHUSDT,short,25000.0,2969.64,3110.76,-1188.0228,0.0,2,0.25,normal,normal,-1188.0228,0.0,,1.0,-1.0
209,2026-04-20T02:41:07.920110+00:00,ADAUSDT,short,25000.0,1.131,1.184,-1171.5296,0.0,3,0.25,high_vol,normal,-1171.5296,773.6516,,1.0,-1.0
230,2026-04-20T02:41:51.569023+00:00,ADAUSDT,long,25000.0,0.933,0.914,-509.1104,0.0,3,0.25,normal,normal,-509.1104,616.2915,,1.0,-1.0
234,2026-04-20T02:42:03.769936+00:00,ADAUSDT,long,25000.0,0.937,0.91,-720.3842,0.0,3,0.25,normal,normal,-720.3842,400.2134,,1.0,-1.0
247,2026-04-20T02:42:37.004864+00:00,ETHUSDT,short,25000.0,2824.81,2940.64,-1025.1132,0.0,3,0.25,normal,normal,-1025.1132,381.5301,,1.0,-1.0
258,2026-04-20T02:43:27.178688+00:00,ETHUSDT,short,8262.9791,2519.71,2145.29,1227.8495,0.0,7,0.08262979124497759,crisis,normal,0.0,1834.7565,0.6692,,0.6692
258,2026-04-20T02:43:27.178709+00:00,ADAUSDT,short,16737.0209,0.7403,0.5981,3214.9188,0.0,7,0.1673702087550224,crisis,normal,0.0,6036.4509,0.5326,,0.5326
275,2026-04-20T02:44:15.608075+00:00,ETHUSDT,long,7054.2957,1813.64,1817.95,16.7641,0.0,3,0.07054295714535865,normal,normal,0.0,720.1166,0.0233,,0.0233
275,2026-04-20T02:44:15.608095+00:00,ADAUSDT,long,7052.805,0.482,0.5516,1018.4133,0.0,3,0.07052805037989364,normal,normal,0.0,2118.768,0.4807,,0.4807
