cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
4,2026-04-20T11:30:17.312154+00:00,ADAUSDT,short,30000.0,0.293,0.323,-3071.6724,0.0,2,0.3,normal,normal,-3071.6724,0.0,,1.0,-1.0
6,2026-04-20T11:30:31.973588+00:00,ADAUSDT,short,30000.0,0.323,0.3278,-445.8204,0.0,2,0.3,normal,normal,-575.8514,0.0,,0.7742,-0.7742
8,2026-04-20T11:30:45.005329+00:00,ADAUSDT,short,30000.0,0.3278,0.3624,-3166.565,0.0,2,0.3,normal,normal,-3166.565,0.0,,1.0,-1.0
11,2026-04-20T11:31:13.868721+00:00,ADAUSDT,short,30000.0,0.3624,0.3684,-496.6887,0.0,3,0.3,crisis,normal,-496.6887,927.1523,,1.0,-1.0
17,2026-04-20T11:31:45.153218+00:00,ADAUSDT,short,30000.0,0.3859,0.3788,551.9565,0.0,5,0.3,normal,normal,0.0,2262.2441,0.244,,0.244
39,2026-04-20T11:34:04.230207+00:00,ETHUSDT,short,25000.0,2243.37,2355.73,-1252.1341,0.0,3,0.25,normal,normal,-1252.1341,118.9059,,1.0,-1.0
41,2026-04-20T11:34:29.543035+00:00,ARBUSDT,long,17182.6535,1.0587,1.1392,1306.5114,0.0,3,0.1718265351839432,normal,normal,0.0,1837.2309,0.7111,,0.7111
42,2026-04-20T11:34:36.597472+00:00,ADAUSDT,short,6734.3772,0.5454,0.5948,-609.9711,0.0,2,0.06734377215831767,normal,normal,-609.9711,0.0,,1.0,-1.0
45,2026-04-20T11:34:53.146263+00:00,ARBUSDT,long,17257.2565,1.1558,1.186,450.9164,0.0,3,0.17257256465081802,normal,normal,-904.8189,1437.8559,0.3136,,0.3136
45,2026-04-20T11:34:53.146281+00:00,ADAUSDT,short,7742.7435,0.5948,0.6675,-946.3642,0.0,3,0.07742743534918196,normal,normal,-946.3642,574.0669,,1.0,-1.0
47,2026-04-20T11:34:59.777480+00:00,ETHUSDT,long,13170.4038,2203.46,2220.5,101.8506,0.0,3,0.1317040383472803,normal,normal,0.0,668.6036,0.1523,,0.1523
50,2026-04-20T11:35:32.035704+00:00,ETHUSDT,long,10165.4567,2228.96,2219.43,-43.4628,0.0,2,0.10165456696294027,normal,normal,-147.9468,0.0,,0.2938,-0.2938
53,2026-04-20T11:35:56.890742+00:00,ADAUSDT,short,13635.3721,0.6433,0.6351,173.807,0.0,7,0.13635372057430722,normal,normal,0.0,1424.3697,0.122,,0.122
