cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe
3,2026-04-14T10:45:29.701400+00:00,ADAUSDT,short,15000.0,1.051,1.096,-642.2455,0.0,1,0.15,normal,normal,-642.2455,0.0
6,2026-04-14T10:45:35.069706+00:00,NEARUSDT,short,15000.0,11.12,12.984,-2514.3885,0.0,4,0.15,crisis,normal,-2514.3885,346.6727
13,2026-04-14T10:45:55.584978+00:00,ETHUSDT,long,24830.5327,2680.67,2927.54,2286.7095,0.0,9,0.24830532708007572,crisis,normal,0.0,5217.4621
27,2026-04-14T10:46:28.922405+00:00,ETHUSDT,short,8333.3333,2579.71,2768.49,-609.8231,0.0,2,0.08333333333333333,normal,normal,-609.8231,0.0
27,2026-04-14T10:46:28.922431+00:00,ADAUSDT,short,8333.3333,0.866,0.898,-307.9292,0.0,2,0.08333333333333333,normal,normal,-307.9292,125.0962
27,2026-04-14T10:46:28.922440+00:00,NEARUSDT,short,8333.3333,8.556,8.935,-369.1367,0.0,2,0.08333333333333333,normal,normal,-369.1367,66.2303
34,2026-04-14T10:46:47.418167+00:00,ETHUSDT,long,19464.2647,2616.79,2622.1,39.497,0.0,5,0.1946426473354212,crisis,normal,0.0,2674.3383
34,2026-04-14T10:46:47.418187+00:00,NEARUSDT,long,6472.9194,11.035,10.428,-356.0546,0.0,1,0.06472919444858159,crisis,normal,-356.0546,0.0
36,2026-04-14T10:46:50.257152+00:00,NEARUSDT,long,14906.8665,10.505,10.094,-583.2196,0.0,1,0.14906866532962823,normal,normal,-583.2196,0.0
39,2026-04-14T10:46:53.985394+00:00,ADAUSDT,short,14211.8009,0.903,0.849,849.8751,0.0,6,0.142118009252364,crisis,normal,0.0,1731.2271
43,2026-04-14T10:47:13.485970+00:00,NEARUSDT,long,14258.2212,10.327,9.85,-658.5815,0.0,1,0.14258221194909576,crisis,normal,-658.5815,0.0
46,2026-04-14T10:47:18.598231+00:00,ADAUSDT,short,10741.7788,0.789,0.838,-667.1067,0.0,4,0.10741778805090423,crisis,normal,-667.1067,40.8433
49,2026-04-14T10:47:22.347513+00:00,ADAUSDT,short,10057.2712,0.838,0.903,-780.0986,0.0,3,0.10057271236607647,normal,normal,-780.0986,36.0046
50,2026-04-14T10:47:36.108656+00:00,NEARUSDT,long,14973.6361,10.13,10.653,773.0712,0.0,6,0.14973636057213696,normal,normal,-25.1285,1810.7309
50,2026-04-14T10:47:36.108703+00:00,ETHUSDT,long,6271.0345,2938.92,2861.38,-165.454,0.0,2,0.06271034533216271,normal,normal,-165.454,25.4348
55,2026-04-14T10:47:52.601897+00:00,ADAUSDT,long,8333.3333,1.108,1.096,-90.2527,0.0,2,0.08333333333333333,normal,normal,-90.2527,172.9844
55,2026-04-14T10:47:52.601928+00:00,NEARUSDT,long,8333.3333,12.493,12.221,-181.4349,0.0,2,0.08333333333333333,normal,normal,-181.4349,268.8172
63,2026-04-14T10:48:02.685968+00:00,ETHUSDT,long,8333.3333,3036.0,3443.77,1119.2633,0.0,10,0.08333333333333333,high_vol,normal,0.0,1150.6643
74,2026-04-14T10:48:15.488497+00:00,ADAUSDT,short,25000.0,1.027,0.974,1290.1655,0.0,3,0.25,normal,normal,0.0,2604.6738
76,2026-04-14T10:48:17.787441+00:00,NEARUSDT,long,18685.0893,16.384,16.032,-401.4375,0.0,1,0.1868508929038299,normal,normal,-401.4375,0.0
78,2026-04-14T10:48:21.015247+00:00,ETHUSDT,long,5025.5736,3059.3,2988.06,-117.0274,0.0,1,0.05025573642815297,normal,normal,-117.0274,0.0
81,2026-04-14T10:48:25.586722+00:00,NEARUSDT,long,15253.6056,15.934,16.654,689.2554,0.0,4,0.15253605550743018,normal,normal,-241.2394,1419.6747
82,2026-04-14T10:48:26.945288+00:00,NEARUSDT,long,8091.1881,16.654,15.64,-492.6423,0.0,1,0.08091188108186442,normal,normal,-492.6423,0.0
85,2026-04-14T10:48:29.587914+00:00,NEARUSDT,long,13826.1843,15.569,15.006,-499.977,0.0,2,0.13826184289093393,normal,normal,-499.977,0.0
89,2026-04-14T10:48:34.515751+00:00,ADAUSDT,short,6958.8389,0.937,0.8432,696.6266,0.0,10,0.06958838868237863,normal,normal,-111.4008,825.1089
90,2026-04-14T10:48:35.442187+00:00,ETHUSDT,long,11129.5162,2809.67,2817.13,29.5502,0.0,3,0.11129516232510761,normal,normal,0.0,504.0956
92,2026-04-14T10:48:37.244640+00:00,NEARUSDT,short,8532.2908,12.685,11.837,570.3889,0.0,5,0.08532290803109971,normal,normal,-130.4899,1580.004
94,2026-04-14T10:48:39.039168+00:00,ETHUSDT,long,19550.679,2726.66,2781.7,394.6474,0.0,3,0.19550679020419892,normal,normal,0.0,931.2647
96,2026-04-14T10:48:42.158265+00:00,ETHUSDT,long,20792.6867,2940.64,2747.97,-1362.3316,0.0,1,0.20792686656155215,crisis,normal,-1362.3316,0.0
100,2026-04-14T10:48:47.414419+00:00,ETHUSDT,long,9340.3756,2519.71,2228.55,-1079.3082,0.0,1,0.09340375615798033,crisis,normal,-1079.3082,0.0
100,2026-04-14T10:48:47.414442+00:00,ADAUSDT,long,9591.6047,0.7403,0.6019,-1793.1624,0.0,1,0.09591604743294549,crisis,normal,-1793.1624,0.0
109,2026-04-14T10:49:00.900689+00:00,NEARUSDT,short,6068.0196,11.145,5.923,2843.1762,0.0,10,0.06068019640907417,crisis,normal,0.0,2843.1762
