date,adjusted_close,close,volume
2016-01-07,0.17,0.17,1037308
2016-01-10,0.17,0.17,14487
2016-01-11,0.17,0.17,180165
2016-01-12,0.17,0.17,167156
2016-01-13,0.15,0.15,248974
2016-01-14,0.17,0.17,105850
2016-01-17,0.15,0.15,401388
2016-01-18,0.15,0.15,68902
2016-01-19,0.17,0.17,408778
2016-01-20,0.17,0.17,67515
2016-01-21,0.15,0.15,19826
2016-01-24,0.15,0.15,141574
2016-01-26,0.15,0.15,47130
2016-01-27,0.17,0.17,783943
2016-01-28,0.15,0.15,214794
2016-01-31,0.17,0.17,301384
2016-02-01,0.2,0.2,18561
2016-02-02,0.17,0.17,150108
2016-02-03,0.17,0.17,149466
2016-02-04,0.15,0.15,29984
2016-02-07,0.2,0.2,317788
2016-02-08,0.17,0.17,355313
2016-02-09,0.25,0.25,1642756
2016-02-10,0.37,0.37,7870260
2016-02-11,0.39,0.39,5315105
2016-02-14,1.03,1.03,6644065
2016-02-15,0.78,0.78,9328210
2016-02-16,0.54,0.54,6574131
2016-02-17,0.56,0.56,2779526
2016-02-18,0.64,0.64,2510300
2016-02-21,0.71,0.71,1781049
2016-02-22,0.78,0.78,2765330
2016-02-23,0.76,0.76,1064521
2016-02-24,0.86,0.86,1623772
2016-02-25,0.93,0.93,2847214
2016-02-28,0.98,0.98,2354044
2016-02-29,1.1,1.1,2249925
2016-03-01,1.03,1.03,1226143
2016-03-02,1.08,1.08,1751514
2016-03-03,1.3,1.3,3742184
2016-03-06,1.3,1.3,2135952
2016-03-07,1.25,1.25,1199785
2016-03-08,1.5,1.5,1477093
2016-03-09,1.64,1.64,3547841
2016-03-10,1.81,1.81,3722503
2016-03-13,1.84,1.84,1160926
2016-03-14,1.64,1.64,1632397
2016-03-15,1.47,1.47,2310218
2016-03-16,1.86,1.86,5533455
2016-03-17,1.64,1.64,2200789
2016-03-20,1.76,1.76,1068617
2016-03-21,1.81,1.81,1292120
2016-03-22,1.79,1.79,811740
2016-03-23,1.76,1.76,1192877
2016-03-28,1.67,1.67,928582
2016-03-29,1.69,1.69,2129092
2016-03-30,1.57,1.57,1459690
2016-03-31,1.59,1.59,844852
2016-04-01,1.01,1.01,23058881
2016-04-04,1.64,1.64,235153
2016-04-05,1.69,1.69,530347
2016-04-06,1.64,1.64,3319762
2016-04-07,1.15,1.15,6987064
2016-04-08,1.1,1.1,2335278
2016-04-11,1.2,1.2,1663232
2016-04-12,1.1,1.1,938231
2016-04-13,1.08,1.08,563702
2016-04-14,1.18,1.18,482577
2016-04-15,1.1,1.1,435745
2016-04-18,1.01,1.01,660718
2016-04-19,0.96,0.96,670421
2016-04-20,0.96,0.96,0
2016-04-21,0.96,0.96,0
2016-04-22,1.1,1.1,1245292
2016-04-26,1.01,1.01,314396
2016-04-27,0.96,0.96,351127
2016-04-28,1.01,1.01,532581
2016-04-29,1.01,1.01,948403
2016-05-01,0.91,0.91,23262836
2016-05-02,0.98,0.98,534199
2016-05-03,0.96,0.96,1591397
2016-05-04,0.91,0.91,2676988
2016-05-05,0.86,0.86,2985658
2016-05-06,0.86,0.86,1517405
2016-05-09,0.86,0.86,210880
2016-05-10,0.93,0.93,1146993
2016-05-11,0.96,0.96,1172437
2016-05-12,0.98,0.98,895323
2016-05-13,0.96,0.96,410676
2016-05-16,0.91,0.91,915243
2016-05-17,0.98,0.98,962239
2016-05-18,0.93,0.93,756744
2016-05-19,0.91,0.91,2368374
2016-05-20,0.93,0.93,648335
2016-05-23,0.93,0.93,469669
2016-05-24,0.98,0.98,1489456
2016-05-25,0.91,0.91,1155974
