date,adjusted_close,close,volume
2016-01-07,0.01,0.01,0
2016-01-10,0.01,0.01,263060
2016-01-11,0.01,0.01,0
2016-01-12,0.01,0.01,2165643
2016-01-24,0.01,0.01,272727
2016-01-26,0.01,0.01,0
2016-01-27,0.01,0.01,681818
2016-01-28,0.01,0.01,0
2016-01-31,0.01,0.01,14997
2016-02-01,0.01,0.01,0
2016-02-03,0.01,0.01,272727
2016-02-04,0.01,0.01,1254072
2016-02-07,0.01,0.01,456345
2016-02-08,0.01,0.01,0
2016-02-11,0.01,0.01,823212
2016-02-14,0.01,0.01,283497
2016-02-15,0.01,0.01,385538
2016-02-16,0.01,0.01,0
2016-02-17,0.01,0.01,0
2016-02-18,0.01,0.01,340909
2016-02-21,0.01,0.01,334167
2016-02-22,0.01,0.01,0
2016-02-23,0.01,0.01,527368
2016-02-24,0.01,0.01,10077
2016-02-25,0.01,0.01,981817
2016-02-28,0.01,0.01,407330
2016-02-29,0.01,0.01,1020248
2016-03-01,0.01,0.01,0
2016-03-02,0.01,0.01,943164
2016-03-03,0.01,0.01,1022727
2016-03-06,0.01,0.01,1175454
2016-03-07,0.01,0.01,0
2016-03-08,0.01,0.01,0
2016-03-09,0.01,0.01,84092
2016-03-10,0.01,0.01,2987179
2016-03-13,0.01,0.01,16363
2016-03-14,0.01,0.01,672165
2016-03-15,0.01,0.01,319295
2016-03-16,0.01,0.01,0
2016-03-17,0.01,0.01,0
2016-03-20,0.01,0.01,2727
2016-03-21,0.01,0.01,1966841
2016-03-22,0.01,0.01,2973660
2016-03-23,0.01,0.01,409090
2016-03-28,0.01,0.01,0
2016-03-29,0.01,0.01,136363
2016-03-30,0.01,0.01,0
2016-03-31,0.01,0.01,681818
2016-04-01,0.01,0.01,21010259
2016-04-04,0.01,0.01,325909
2016-04-05,0.01,0.01,652502
2016-04-06,0.01,0.01,204545
2016-04-07,0.01,0.01,259090
2016-04-08,0.01,0.01,375000
2016-04-11,0.01,0.01,627122
2016-04-12,0.01,0.01,525413
2016-04-13,0.01,0.01,102796
2016-04-14,0.01,0.01,42545
2016-04-15,0.01,0.01,283497
2016-04-18,0.01,0.01,87512
2016-04-19,0.01,0.01,3754342
2016-04-20,0.01,0.01,1187026
2016-04-21,0.01,0.01,4379381
2016-04-22,0.01,0.01,1520542
2016-04-26,0.01,0.01,348837
2016-04-27,0.01,0.01,3318314
2016-04-28,0.01,0.01,2334068
2016-04-29,0.01,0.01,0
2016-05-01,0.01,0.01,19376343
2016-05-02,0.01,0.01,1290522
2016-05-03,0.01,0.01,1261652
2016-05-04,0.01,0.01,675000
2016-05-05,0.01,0.01,115909
2016-05-06,0.01,0.01,873212
2016-05-09,0.01,0.01,2140909
2016-05-10,0.01,0.01,647727
