date,adjusted_close,close,volume
2016-01-07,0.19,0.19,4615
2016-01-10,0.17,0.17,10016
2016-01-11,0.17,0.17,69370
2016-01-12,0.15,0.15,24102
2016-01-13,0.16,0.16,3469
2016-01-14,0.17,0.17,64615
2016-01-17,0.17,0.17,0
2016-01-18,0.16,0.16,12923
2016-01-19,0.16,0.16,32676
2016-01-20,0.14,0.14,135828
2016-01-21,0.15,0.15,99784
2016-01-24,0.15,0.15,126554
2016-01-26,0.17,0.17,4153
2016-01-27,0.17,0.17,43661
2016-01-28,0.17,0.17,17261
2016-01-31,0.17,0.17,32769
2016-02-01,0.16,0.16,40281
2016-02-02,0.16,0.16,0
2016-02-03,0.22,0.22,108176
2016-02-04,0.22,0.22,210276
2016-02-07,0.23,0.23,71020
2016-02-08,0.24,0.24,329539
2016-02-09,0.25,0.25,37327
2016-02-10,0.24,0.24,65399
2016-02-11,0.23,0.23,27850
2016-02-14,0.23,0.23,144573
2016-02-15,0.23,0.23,27230
2016-02-16,0.24,0.24,9323
2016-02-17,0.23,0.23,24018
2016-02-18,0.23,0.23,34587
2016-02-21,0.22,0.22,91664
2016-02-22,0.21,0.21,39876
2016-02-23,0.18,0.18,160633
2016-02-24,0.19,0.19,27292
2016-02-25,0.17,0.17,7753
2016-02-28,0.18,0.18,4615
2016-02-29,0.17,0.17,174860
2016-03-01,0.16,0.16,12925
2016-03-02,0.17,0.17,123689
2016-03-03,0.18,0.18,4110
2016-03-06,0.16,0.16,23076
2016-03-07,0.16,0.16,144776
2016-03-08,0.15,0.15,330461
2016-03-09,0.16,0.16,119999
2016-03-10,0.16,0.16,28442
2016-03-13,0.17,0.17,21230
2016-03-14,0.17,0.17,6841
2016-03-15,0.15,0.15,18461
2016-03-16,0.15,0.15,7384
2016-03-17,0.15,0.15,0
2016-03-20,0.17,0.17,16038
2016-03-21,0.17,0.17,15692
2016-03-22,0.18,0.18,53538
2016-03-23,0.18,0.18,8307
2016-03-28,0.16,0.16,61661
2016-03-29,0.16,0.16,20813
2016-03-30,0.17,0.17,40084
2016-03-31,0.17,0.17,18097
2016-04-01,0.16,0.16,1065806
2016-04-04,0.16,0.16,14082
2016-04-05,0.17,0.17,23532
2016-04-06,0.16,0.16,60922
2016-04-07,0.16,0.16,19916
2016-04-08,0.17,0.17,179999
2016-04-11,0.16,0.16,1384
2016-04-12,0.16,0.16,0
2016-04-13,0.18,0.18,8057
2016-04-14,0.18,0.18,7921
2016-04-15,0.17,0.17,41553
2016-04-18,0.16,0.16,236922
2016-04-19,0.17,0.17,143986
2016-04-20,0.15,0.15,77552
2016-04-21,0.15,0.15,0
2016-04-22,0.17,0.17,13846
2016-04-26,0.15,0.15,36975
2016-04-27,0.15,0.15,84002
2016-04-28,0.16,0.16,20907
2016-04-29,0.16,0.16,76153
2016-05-01,0.15,0.15,695434
2016-05-02,0.16,0.16,10153
2016-05-03,0.18,0.18,119999
2016-05-04,0.17,0.17,29509
2016-05-05,0.16,0.16,6923
2016-05-06,0.16,0.16,4615
2016-05-09,0.17,0.17,6276
2016-05-10,0.17,0.17,40256
2016-05-11,0.16,0.16,32207
2016-05-12,0.16,0.16,0
2016-05-13,0.17,0.17,10688
2016-05-16,0.17,0.17,5971
2016-05-17,0.16,0.16,36923
2016-05-18,0.16,0.16,2692
2016-05-19,0.16,0.16,7624
2016-05-20,0.16,0.16,923
2016-05-23,0.16,0.16,173041
2016-05-24,0.15,0.15,39230
2016-05-25,0.15,0.15,14279
2016-05-26,0.16,0.16,65825
2016-05-27,0.15,0.15,923
2016-05-30,0.15,0.15,50861
2016-05-31,0.15,0.15,36516
2016-06-01,0.16,0.16,9230
2016-06-02,0.16,0.16,7292
2016-06-03,0.16,0.16,0
2016-06-06,0.15,0.15,121538
2016-06-07,0.15,0.15,10484
2016-06-08,0.15,0.15,61266
2016-06-09,0.16,0.16,18461
2016-06-10,0.17,0.17,285538
2016-06-14,0.18,0.18,8835
2016-06-15,0.17,0.17,73246
2016-06-16,0.17,0.17,0
2016-06-17,0.16,0.16,47855
2016-06-20,0.16,0.16,22781
2016-06-21,0.16,0.16,0
2016-06-22,0.16,0.16,0
2016-06-23,0.15,0.15,77676
2016-06-24,0.15,0.15,60006
2016-06-27,0.19,0.19,929235
2016-06-28,0.18,0.18,83931
2016-06-29,0.18,0.18,33899
2016-06-30,0.17,0.17,208765
2016-07-01,0.19,0.19,9230
2016-07-04,0.21,0.21,1231208
2016-07-05,0.19,0.19,338270
2016-07-06,0.19,0.19,113889
2016-07-07,0.18,0.18,52177
