date,adjusted_close,close,volume
2016-01-07,3.93,5.88,245896
2016-01-10,3.87,5.78,278113
2016-01-11,3.81,5.7,341691
2016-01-12,3.79,5.67,332414
2016-01-13,3.75,5.6,269199
2016-01-14,3.68,5.5,465226
2016-01-17,3.71,5.54,365073
2016-01-18,3.81,5.69,207611
2016-01-19,3.75,5.6,243919
2016-01-20,3.81,5.69,256026
2016-01-21,3.81,5.7,201401
2016-01-24,3.83,5.72,335805
2016-01-26,3.83,5.72,269350
2016-01-27,3.88,5.8,213738
2016-01-28,3.87,5.78,240228
2016-01-31,3.82,5.71,377989
2016-02-01,3.88,5.8,237540
2016-02-02,3.8,5.59,336370
2016-02-03,3.82,5.61,198886
2016-02-04,3.76,5.53,329521
2016-02-07,3.75,5.51,286300
2016-02-08,3.72,5.46,389383
2016-02-09,3.66,5.38,317504
2016-02-10,3.75,5.51,438169
2016-02-11,3.67,5.39,503415
2016-02-14,3.75,5.51,295522
2016-02-15,3.74,5.5,247005
2016-02-16,3.76,5.52,120061
2016-02-17,3.82,5.61,274874
2016-02-18,3.81,5.6,254772
2016-02-21,3.81,5.6,167317
2016-02-22,3.81,5.6,288110
2016-02-23,3.76,5.52,264167
2016-02-24,3.76,5.52,170903
2016-02-25,3.75,5.51,183478
2016-02-28,3.71,5.45,178647
2016-02-29,3.73,5.48,126366
2016-03-01,3.75,5.51,309649
2016-03-02,3.78,5.55,176005
2016-03-03,3.83,5.63,293476
2016-03-06,3.85,5.66,248020
2016-03-07,3.82,5.62,313655
2016-03-08,3.87,5.69,201794
2016-03-09,3.85,5.65,217530
2016-03-10,3.84,5.64,159477
2016-03-13,3.85,5.65,90139
2016-03-14,3.82,5.62,157615
2016-03-15,3.84,5.64,183721
2016-03-16,3.85,5.66,218924
2016-03-17,3.85,5.65,264848
2016-03-20,3.84,5.64,233905
2016-03-21,3.8,5.59,241279
2016-03-22,3.78,5.56,226212
2016-03-23,3.74,5.5,387239
2016-03-28,3.76,5.52,243817
2016-03-29,3.76,5.52,140362
2016-03-30,3.76,5.53,193256
2016-03-31,3.73,5.48,325915
2016-04-01,3.27,4.81,5174043
2016-04-04,3.78,5.56,241905
2016-04-05,3.71,5.45,256162
2016-04-06,3.78,5.56,283353
2016-04-07,3.82,5.61,242362
2016-04-08,3.76,5.52,244093
2016-04-11,3.78,5.55,158507
2016-04-12,3.82,5.61,194055
2016-04-13,3.82,5.61,328808
2016-04-14,3.8,5.58,243641
2016-04-15,3.76,5.53,319237
2016-04-18,3.74,5.5,251153
2016-04-19,3.76,5.52,342184
2016-04-20,3.76,5.53,311995
2016-04-21,3.79,5.57,318003
2016-04-22,3.78,5.56,184783
2016-04-26,3.79,5.57,245509
2016-04-27,3.8,5.58,242634
2016-04-28,3.79,5.57,151961
2016-04-29,3.77,5.54,287783
2016-05-01,3.84,5.64,7017066
2016-05-02,3.78,5.56,236610
2016-05-03,3.8,5.59,204990
2016-05-04,3.82,5.61,301238
2016-05-05,3.82,5.61,350385
2016-05-06,3.83,5.63,216025
2016-05-09,3.82,5.61,284658
2016-05-10,3.84,5.64,368071
2016-05-11,3.84,5.64,341303
2016-05-12,3.84,5.64,280208
2016-05-13,3.81,5.6,411836
2016-05-16,3.82,5.61,373886
2016-05-17,3.85,5.66,306533
2016-05-18,3.87,5.68,288016
2016-05-19,3.84,5.64,377493
2016-05-20,3.84,5.64,451728
2016-05-23,3.82,5.61,437001
2016-05-24,3.83,5.63,353240
2016-05-25,3.85,5.65,329274
2016-05-26,3.85,5.65,260995
2016-05-27,3.86,5.67,292487
2016-05-30,3.85,5.65,221613
2016-05-31,3.84,5.64,329476
2016-06-01,3.81,5.6,569494
2016-06-02,3.81,5.6,339928
2016-06-03,3.82,5.62,365704
2016-06-06,3.82,5.62,405249
2016-06-07,3.84,5.64,243854
2016-06-08,3.82,5.62,376517
2016-06-09,3.83,5.63,292464
2016-06-10,3.83,5.63,440014
2016-06-14,3.74,5.5,686298
2016-06-15,3.76,5.52,433828
2016-06-16,3.76,5.53,350373
2016-06-17,3.76,5.52,259723
2016-06-20,3.8,5.59,330459
2016-06-21,3.76,5.53,440412
2016-06-22,3.76,5.53,425161
2016-06-23,3.76,5.53,314189
2016-06-24,3.74,5.5,530581
2016-06-27,3.78,5.56,404398
2016-06-28,3.77,5.54,324742
2016-06-29,3.83,5.63,337440
2016-06-30,3.82,5.61,252011
2016-07-01,3.84,5.64,440185
2016-07-04,3.83,5.63,239612
2016-07-05,3.84,5.64,280591
2016-07-06,3.84,5.64,259516
2016-07-07,3.82,5.61,208122
2016-07-08,3.81,5.6,273900
2016-07-11,3.87,5.68,248017
2016-07-12,3.89,5.71,246852
2016-07-13,3.89,5.72,252084
2016-07-14,3.89,5.71,212586
2016-07-15,3.89,5.71,261234
2016-07-18,3.88,5.7,230200
2016-07-19,3.88,5.7,288738
2016-07-20,3.93,5.77,281050
2016-07-21,3.96,5.82,578896
2016-07-22,3.94,5.79,383187
2016-07-25,3.98,5.85,380310
2016-07-26,3.99,5.87,512557
2016-07-27,4.04,5.93,280297
2016-07-28,4.01,5.89,359532
2016-07-29,4.03,5.92,274165
2016-08-01,4.04,5.93,331477
2016-08-02,4,5.88,375510
2016-08-03,3.97,5.83,307270
2016-08-04,4,5.88,269288
2016-08-05,4.01,5.89,384229
2016-08-08,4.02,5.9,366777
2016-08-09,3.99,5.73,404084
2016-08-10,3.98,5.71,249666
2016-08-11,3.95,5.67,296231
2016-08-12,3.99,5.72,227386
2016-08-15,3.98,5.71,232265
2016-08-16,3.95,5.67,273726
2016-08-17,3.95,5.67,320936
2016-08-18,3.95,5.67,236341
2016-08-19,3.95,5.67,339886
2016-08-22,3.96,5.68,507395
2016-08-23,3.96,5.68,354902
2016-08-24,3.97,5.7,239232
2016-08-25,3.96,5.68,262105
2016-08-26,3.95,5.67,224591
2016-08-29,3.97,5.69,356003
2016-08-30,3.94,5.65,319017
2016-08-31,3.94,5.65,278183
2016-09-01,3.92,5.63,335237
2016-09-02,3.91,5.61,284396
2016-09-05,3.9,5.6,263026
2016-09-06,3.92,5.63,294857
2016-09-07,3.92,5.63,264624
2016-09-08,3.92,5.63,236530
2016-09-09,3.91,5.61,311667
2016-09-12,3.89,5.58,378535
2016-09-13,3.91,5.61,327822
2016-09-14,3.88,5.57,378542
2016-09-15,3.9,5.59,217947
2016-09-16,3.9,5.59,239922
2016-09-19,3.88,5.57,155702
2016-09-20,3.88,5.56,223300
2016-09-21,3.88,5.57,264633
2016-09-22,3.93,5.64,345305
2016-09-23,3.92,5.63,242318
2016-09-26,3.93,5.64,249294
2016-09-27,3.95,5.66,200782
2016-09-28,3.96,5.68,281501
2016-09-29,3.95,5.66,201878
2016-09-30,3.97,5.7,267443
2016-10-01,3.99,5.73,7244076
2016-10-02,3.96,5.68,198029
2016-10-03,3.95,5.67,260454
2016-10-04,3.97,5.69,199527
2016-10-05,3.97,5.7,243510
2016-10-06,3.97,5.7,204923
2016-10-09,3.99,5.72,475430
2016-10-10,4.06,5.83,742429
2016-10-11,4.09,5.86,284810
2016-10-12,4.08,5.85,242072
2016-10-13,4.05,5.81,183132
2016-10-16,4.05,5.81,1695888
2016-10-17,4.06,5.83,276707
2016-10-18,4.06,5.83,220082
2016-10-19,4.05,5.81,318257
2016-10-20,4.04,5.8,181956
2016-10-23,4.04,5.79,222361
