date,adjusted_close,close,volume
2016-01-07,1,1.73,22967
2016-01-10,1,1.73,1739
2016-01-11,1.01,1.75,75498
2016-01-12,1.01,1.75,28768
2016-01-13,1.02,1.76,7218
2016-01-14,1.03,1.77,27838
2016-01-17,1.03,1.77,15077
2016-01-18,1.03,1.77,8718
2016-01-19,1.03,1.77,25937
2016-01-20,1.04,1.8,16069
2016-01-21,1.1,1.9,114429
2016-01-24,1.07,1.85,80798
2016-01-26,1.01,1.75,51303
2016-01-27,1.01,1.75,33036
2016-01-28,0.97,1.67,51672
2016-01-31,0.96,1.66,69644
2016-02-01,0.96,1.67,19505
2016-02-02,0.96,1.66,72596
2016-02-03,0.93,1.61,248748
2016-02-04,0.98,1.69,24185
2016-02-07,0.98,1.69,5008
2016-02-08,0.95,1.65,25882
2016-02-09,0.91,1.58,18825
2016-02-10,0.97,1.68,8102
2016-02-11,0.9,1.56,27713
2016-02-14,0.92,1.59,20728
2016-02-15,0.92,1.59,10811
2016-02-16,0.92,1.59,130809
2016-02-17,0.92,1.59,62348
2016-02-18,0.93,1.61,17823
2016-02-21,0.92,1.59,51575
2016-02-22,0.93,1.61,87920
2016-02-23,0.94,1.62,19258
2016-02-24,0.93,1.61,62618
2016-02-25,0.92,1.59,161189
2016-02-28,0.91,1.57,52781
2016-02-29,0.93,1.61,21704
2016-03-01,0.96,1.66,23686
2016-03-02,0.96,1.67,27870
2016-03-03,0.93,1.61,41034
2016-03-06,0.96,1.66,63860
2016-03-07,0.96,1.66,51483
2016-03-08,0.94,1.62,58975
2016-03-09,0.94,1.57,60538
2016-03-10,0.93,1.54,185044
2016-03-13,0.91,1.53,24982
2016-03-14,0.91,1.52,11414
2016-03-15,0.92,1.53,39228
2016-03-16,0.91,1.51,35405
2016-03-17,0.94,1.57,54537
2016-03-20,0.95,1.59,88564
2016-03-21,0.96,1.6,21751
2016-03-22,0.96,1.59,197530
2016-03-23,0.96,1.61,38699
2016-03-28,0.95,1.59,23244
2016-03-29,0.94,1.57,82812
2016-03-30,0.95,1.58,15227
2016-03-31,0.95,1.58,12709
2016-04-01,0.84,1.4,1023933
2016-04-04,0.95,1.58,25743
2016-04-05,0.96,1.59,27694
2016-04-06,0.99,1.65,68705
2016-04-07,1.01,1.69,38462
2016-04-08,1,1.67,76624
2016-04-11,1.01,1.69,23157
2016-04-12,1.01,1.69,28711
2016-04-13,1.01,1.68,16561
2016-04-14,1,1.67,22154
2016-04-15,1,1.67,47423
2016-04-18,0.95,1.58,118585
2016-04-19,0.96,1.59,36221
2016-04-20,0.97,1.62,29601
2016-04-21,0.94,1.57,45919
2016-04-22,0.91,1.53,131117
2016-04-26,0.93,1.54,22167
2016-04-27,0.89,1.48,96989
2016-04-28,0.87,1.45,35905
2016-04-29,0.84,1.4,119486
2016-05-01,0.76,1.27,5053684
2016-05-02,0.85,1.42,48532
2016-05-03,0.89,1.49,97813
2016-05-04,0.85,1.42,167306
2016-05-05,0.83,1.38,229661
