date,adjusted_close,close,volume
2020-04-20,0.15,0.15,10610306
2020-04-21,0.14,0.14,3348180
2020-04-22,0.14,0.14,1442576
2020-04-23,0.15,0.15,1299280
2020-04-24,0.17,0.17,5174412
2020-04-27,0.22,0.22,4133960
2020-04-28,0.2,0.2,3852807
2020-04-29,0.19,0.19,2723469
2020-04-30,0.19,0.19,1839738
2020-05-01,0.18,0.18,5056723
2020-05-04,0.18,0.18,2427768
2020-05-05,0.18,0.18,619982
2020-05-06,0.18,0.18,691083
2020-05-07,0.18,0.18,628826
2020-05-08,0.18,0.18,414120
2020-05-11,0.18,0.18,735861
2020-05-12,0.17,0.17,200284
2020-05-13,0.16,0.16,1017096
2020-05-14,0.17,0.17,486318
2020-05-15,0.16,0.16,708647
2020-05-18,0.17,0.17,432418
2020-05-19,0.17,0.17,514425
2020-05-20,0.17,0.17,117818
2020-05-21,0.17,0.17,186681
2020-05-22,0.16,0.16,279936
2020-05-25,0.16,0.16,260793
2020-05-26,0.16,0.16,165264
2020-05-27,0.16,0.16,443267
2020-05-28,0.16,0.16,462934
2020-05-29,0.17,0.17,153872
2020-06-01,0.17,0.17,131229
2020-06-02,0.17,0.17,799888
2020-06-03,0.16,0.16,399460
2020-06-04,0.16,0.16,449779
2020-06-05,0.17,0.17,404585
2020-06-08,0.16,0.16,1436941
2020-06-09,0.17,0.17,238223
2020-06-10,0.17,0.17,377149
2020-06-11,0.16,0.16,224344
2020-06-12,0.16,0.16,597225
2020-06-15,0.14,0.14,1326431
2020-06-16,0.16,0.16,907280
2020-06-17,0.16,0.16,3176314
2020-06-18,0.16,0.16,75362
2020-06-19,0.16,0.16,467491
2020-06-22,0.15,0.15,1152159
2020-06-23,0.15,0.15,597484
2020-06-24,0.16,0.16,895722
2020-06-25,0.16,0.16,133466
2020-06-26,0.16,0.16,59050
2020-06-29,0.14,0.14,306032
2020-06-30,0.16,0.16,238814
2020-07-01,0.15,0.15,38680
2020-07-02,0.15,0.15,756794
2020-07-03,0.16,0.16,607150
2020-07-06,0.17,0.17,532151
2020-07-07,0.16,0.16,537401
2020-07-08,0.17,0.17,567402
2020-07-09,0.2,0.2,2175562
2020-07-10,0.2,0.2,923024
2020-07-13,0.19,0.19,104772
2020-07-14,0.17,0.17,460778
2020-07-15,0.19,0.19,301611
2020-07-16,0.2,0.2,246942
2020-07-17,0.2,0.2,406924
2020-07-20,0.19,0.19,333356
2020-07-21,0.19,0.19,33093
2020-07-22,0.19,0.19,103455
2020-07-23,0.19,0.19,1156234
2020-07-24,0.21,0.21,539203
2020-07-27,0.22,0.22,513355
2020-07-28,0.21,0.21,478465
2020-07-29,0.25,0.25,3824252
2020-07-30,0.25,0.25,970445
2020-07-31,0.24,0.24,861173
2020-08-03,0.25,0.25,860874
2020-08-04,0.26,0.26,1316446
2020-08-05,0.26,0.26,830532
2020-08-06,0.27,0.27,411589
2020-08-07,0.27,0.27,562641
2020-08-10,0.26,0.26,177280
2020-08-11,0.26,0.26,746765
2020-08-12,0.26,0.26,783081
2020-08-13,0.32,0.32,1757865
2020-08-14,0.31,0.31,1523188
2020-08-17,0.33,0.33,2043811
2020-08-18,0.37,0.37,3112464
2020-08-19,0.35,0.35,1971738
2020-08-20,0.34,0.34,1017528
2020-08-21,0.34,0.34,504687
2020-08-24,0.35,0.35,1485301
2020-08-25,0.35,0.35,4074978
2020-08-26,0.36,0.36,586221
2020-08-27,0.39,0.39,1013594
2020-08-28,0.44,0.44,2515723
2020-08-31,0.48,0.48,2692595
2020-09-01,0.47,0.47,2194582
2020-09-02,0.47,0.47,594216
2020-09-03,0.52,0.52,5181642
2020-09-04,0.47,0.47,2923817
2020-09-07,0.51,0.51,1086221
2020-09-08,0.54,0.54,1171958
2020-09-09,0.56,0.56,1017771
2020-09-10,0.55,0.55,1674070
2020-09-11,0.57,0.57,643714
2020-09-14,0.64,0.64,2278264
2020-09-15,0.68,0.68,3250589
2020-09-16,0.61,0.61,3154040
2020-09-17,0.5,0.5,4097358
2020-09-18,0.54,0.54,2490347
2020-09-21,0.61,0.61,2281868
2020-09-22,0.58,0.58,1005131
2020-09-23,0.56,0.56,835289
2020-09-24,0.55,0.55,1303067
2020-09-25,0.56,0.56,386035
2020-09-28,0.56,0.56,287851
2020-09-29,0.54,0.54,400287
2020-09-30,0.51,0.51,684606
2020-10-01,0.51,0.51,0
2020-10-02,0.51,0.51,0
2020-10-04,0.51,0.51,1219884
2020-10-05,0.51,0.51,390710
2020-10-06,0.5,0.5,606493
2020-10-07,0.51,0.51,312761
2020-10-08,0.47,0.47,1355830
2020-10-11,0.51,0.51,1373433
2020-10-12,0.51,0.51,606618
2020-10-13,0.54,0.54,520885
2020-10-14,0.57,0.57,1675647
2020-10-15,0.55,0.55,371947
2020-10-18,0.52,0.52,1321169
2020-10-19,0.51,0.51,588261
2020-10-20,0.5,0.5,400877
2020-10-21,0.5,0.5,728397
2020-10-22,0.5,0.5,369079
2020-10-25,0.46,0.46,1257071
2020-10-26,0.44,0.44,1212365
2020-10-27,0.47,0.47,344595
2020-10-28,0.44,0.44,490757
2020-10-29,0.43,0.43,353069
2020-11-01,0.39,0.39,1013100
2020-11-02,0.42,0.42,290980
2020-11-03,0.42,0.42,213209
2020-11-04,0.43,0.43,110109
2020-11-05,0.46,0.46,487230
2020-11-08,0.45,0.45,1047233
2020-11-09,0.45,0.45,296887
2020-11-10,0.41,0.41,355101
2020-11-11,0.44,0.44,279289
2020-11-12,0.43,0.43,80111
2020-11-15,0.43,0.43,15251
2020-11-16,0.43,0.43,216344
2020-11-17,0.43,0.43,207214
2020-11-18,0.41,0.41,227706
2020-11-19,0.41,0.41,575384
2020-11-22,0.42,0.42,646236
2020-11-23,0.43,0.43,649457
2020-11-24,0.47,0.47,1620796
2020-11-25,0.46,0.46,912726
2020-11-26,0.47,0.47,723137
2020-11-29,0.46,0.46,357230
2020-11-30,0.44,0.44,705725
2020-12-01,0.44,0.44,566244
2020-12-02,0.43,0.43,237944
2020-12-03,0.43,0.43,173674
2020-12-06,0.43,0.43,497211
2020-12-07,0.41,0.41,697534
2020-12-08,0.41,0.41,159556
2020-12-09,0.39,0.39,686083
2020-12-10,0.39,0.39,726931
2020-12-13,0.4,0.4,400490
2020-12-14,0.4,0.4,132019
2020-12-15,0.39,0.39,157666
2020-12-16,0.38,0.38,117464
2020-12-17,0.38,0.38,230350
2020-12-20,0.39,0.39,413111
2020-12-21,0.35,0.35,200088
2020-12-22,0.37,0.37,621998
2020-12-23,0.38,0.38,178196
2020-12-28,0.38,0.38,794480
2020-12-29,0.37,0.37,100660
2020-12-30,0.36,0.36,55054
2021-01-03,0.34,0.34,222733
2021-01-04,0.35,0.35,179395
2021-01-05,0.37,0.37,289599
2021-01-06,0.38,0.38,172723
2021-01-07,0.37,0.37,82912
2021-01-10,0.37,0.37,155771
2021-01-11,0.37,0.37,115136
2021-01-12,0.36,0.36,227206
2021-01-13,0.35,0.35,248871
2021-01-14,0.36,0.36,80537
2021-01-17,0.35,0.35,202624
2021-01-18,0.38,0.38,200668
2021-01-19,0.43,0.43,1665257
2021-01-20,0.43,0.43,1524484
2021-01-21,0.37,0.37,1652985
2021-01-24,0.38,0.38,366721
2021-01-25,0.37,0.37,1659790
2021-01-26,0.38,0.38,212434
2021-01-27,0.37,0.37,776613
2021-01-28,0.37,0.37,304022
2021-01-31,0.36,0.36,203765
2021-02-01,0.36,0.36,310663
2021-02-02,0.36,0.36,79235
2021-02-03,0.35,0.35,377584
2021-02-04,0.36,0.36,195167
2021-02-07,0.37,0.37,486172
2021-02-08,0.39,0.39,900926
2021-02-09,0.37,0.37,561121
2021-02-10,0.37,0.37,244883
2021-02-11,0.36,0.36,718677
2021-02-14,0.37,0.37,257471
2021-02-15,0.35,0.35,200082
2021-02-16,0.36,0.36,372801
2021-02-17,0.35,0.35,387077
2021-02-18,0.35,0.35,263676
2021-02-21,0.35,0.35,371975
2021-02-22,0.35,0.35,196044
2021-02-23,0.35,0.35,58275
2021-02-24,0.35,0.35,109078
2021-02-25,0.35,0.35,387076
2021-02-28,0.31,0.31,797903
2021-03-01,0.31,0.31,96193
2021-03-02,0.29,0.29,476330
2021-03-03,0.28,0.28,379981
2021-03-04,0.31,0.31,187254
2021-03-07,0.31,0.31,183644
2021-03-08,0.29,0.29,235124
2021-03-09,0.3,0.3,240937
2021-03-10,0.31,0.31,106816
2021-03-11,0.31,0.31,191602
2021-03-14,0.31,0.31,142254
2021-03-15,0.31,0.31,166032
2021-03-16,0.32,0.32,197017
2021-03-17,0.35,0.35,2561516
2021-03-18,0.34,0.34,429507
2021-03-21,0.33,0.33,240305
2021-03-22,0.32,0.32,454503
2021-03-23,0.32,0.32,256203
2021-03-24,0.33,0.33,354149
2021-03-25,0.31,0.31,46816
2021-03-28,0.3,0.3,154076
2021-03-29,0.3,0.3,120456
2021-03-30,0.31,0.31,129245
2021-03-31,0.31,0.31,78627
2021-04-05,0.3,0.3,308352
2021-04-06,0.3,0.3,81514
2021-04-07,0.3,0.3,128184
2021-04-08,0.31,0.31,54343
2021-04-09,0.3,0.3,44311
2021-04-12,0.29,0.29,30454
2021-04-13,0.31,0.31,317068
2021-04-14,0.28,0.28,445857
2021-04-15,0.28,0.28,77940
2021-04-16,0.28,0.28,87982
2021-04-19,0.28,0.28,614996
2021-04-20,0.27,0.27,202816
2021-04-21,0.26,0.26,289722
2021-04-22,0.26,0.26,477342
2021-04-23,0.26,0.26,71377
2021-04-26,0.26,0.26,164098
2021-04-27,0.25,0.25,132711
2021-04-28,0.25,0.25,98753
2021-04-29,0.26,0.26,39783
2021-04-30,0.25,0.25,129443
2021-05-03,0.23,0.23,342555
2021-05-04,0.24,0.24,225373
2021-05-05,0.25,0.25,277123
2021-05-06,0.28,0.28,996340
2021-05-07,0.28,0.28,136698
2021-05-10,0.27,0.27,111073
2021-05-11,0.27,0.27,191496
2021-05-12,0.25,0.25,180316
2021-05-13,0.25,0.25,79696
2021-05-14,0.25,0.25,212911
2021-05-17,0.25,0.25,134008
2021-05-18,0.24,0.24,215298
2021-05-19,0.24,0.24,97160
2021-05-20,0.23,0.23,83462
2021-05-21,0.23,0.23,118233
2021-05-24,0.22,0.22,238644
2021-05-25,0.21,0.21,587762
2021-05-26,0.22,0.22,330477
2021-05-27,0.22,0.22,272516
2021-05-28,0.23,0.23,142380
2021-05-31,0.24,0.24,14700
2021-06-01,0.23,0.23,33552
2021-06-02,0.25,0.25,43153
2021-06-03,0.24,0.24,50417
2021-06-04,0.23,0.23,125801
2021-06-07,0.25,0.25,55216
2021-06-08,0.23,0.23,52968
2021-06-09,0.21,0.21,590472
2021-06-10,0.21,0.21,614360
2021-06-11,0.22,0.22,609118
2021-06-14,0.2,0.2,1738866
2021-06-15,0.2,0.2,846241
2021-06-16,0.19,0.19,517024
2021-06-17,0.19,0.19,196786
2021-06-18,0.2,0.2,178815
2021-06-21,0.19,0.19,279533
2021-06-22,0.19,0.19,121824
2021-06-23,0.19,0.19,99469
2021-06-24,0.19,0.19,187306
2021-06-25,0.18,0.18,271227
2021-06-28,0.17,0.17,402428
2021-06-29,0.18,0.18,474061
2021-06-30,0.2,0.2,3117969
2021-07-01,0.19,0.19,959044
2021-07-02,0.2,0.2,513634
2021-07-05,0.19,0.19,207810
2021-07-06,0.2,0.2,87900
2021-07-07,0.21,0.21,115490
2021-07-08,0.19,0.19,229053
2021-07-09,0.2,0.2,551220
2021-07-12,0.22,0.22,352117
2021-07-13,0.22,0.22,273236
2021-07-14,0.25,0.25,606713
2021-07-15,0.23,0.23,1252719
2021-07-16,0.24,0.24,174163
2021-07-19,0.22,0.22,141596
2021-07-20,0.23,0.23,390520
2021-07-21,0.22,0.22,202857
2021-07-22,0.22,0.22,123706
2021-07-23,0.22,0.22,117441
2021-07-26,0.22,0.22,130947
2021-07-27,0.22,0.22,73980
2021-07-28,0.22,0.22,135983
2021-07-29,0.22,0.22,67767
2021-07-30,0.21,0.21,193393
2021-08-02,0.22,0.22,59373
2021-08-03,0.22,0.22,139517
2021-08-04,0.21,0.21,137831
2021-08-05,0.2,0.2,105197
2021-08-06,0.22,0.22,82471
2021-08-09,0.21,0.21,98500
2021-08-10,0.22,0.22,283196
2021-08-11,0.21,0.21,47589
2021-08-12,0.2,0.2,245961
2021-08-13,0.21,0.21,53436
2021-08-16,0.2,0.2,38756
2021-08-17,0.2,0.2,135062
2021-08-18,0.2,0.2,200395
2021-08-19,0.2,0.2,221002
2021-08-20,0.2,0.2,51982
2021-08-23,0.19,0.19,259248
2021-08-24,0.19,0.19,318608
2021-08-25,0.18,0.18,168431
2021-08-26,0.19,0.19,260975
2021-08-27,0.18,0.18,127086
2021-08-30,0.19,0.19,32872
2021-08-31,0.18,0.18,128986
2021-09-01,0.17,0.17,589607
2021-09-02,0.17,0.17,555896
2021-09-03,0.17,0.17,636114
2021-09-06,0.17,0.17,141623
2021-09-07,0.19,0.19,1182662
2021-09-08,0.19,0.19,326406
2021-09-09,0.17,0.17,285556
2021-09-10,0.17,0.17,460075
2021-09-13,0.17,0.17,46044
2021-09-14,0.17,0.17,777378
2021-09-15,0.17,0.17,372911
2021-09-16,0.17,0.17,182954
2021-09-17,0.17,0.17,300298
2021-09-20,0.17,0.17,221586
2021-09-21,0.16,0.16,586932
2021-09-22,0.16,0.16,65507
2021-09-23,0.15,0.15,1204511
2021-09-24,0.15,0.15,598441
2021-09-27,0.14,0.14,1425777
2021-09-28,0.15,0.15,314965
2021-09-29,0.15,0.15,396381
2021-09-30,0.15,0.15,199953
2021-10-01,0.14,0.14,464325
2021-10-03,0.15,0.15,126274
