date,adjusted_close,close,volume
2016-01-07,12.28,15,161026
2016-01-10,12.33,15.06,170570
2016-01-11,12.19,14.89,166367
2016-01-12,12.46,15.22,119697
2016-01-13,12.06,14.73,130620
2016-01-14,12.11,14.79,136044
2016-01-17,12.35,15.08,183235
2016-01-18,12.43,15.18,156321
2016-01-19,12.44,15.19,102047
2016-01-20,12.47,15.23,205462
2016-01-21,12.63,15.43,143655
2016-01-24,12.84,15.68,91808
2016-01-26,12.68,15.49,96122
2016-01-27,12.71,15.52,81852
2016-01-28,12.47,15.23,227114
2016-01-31,12.99,15.87,165149
2016-02-01,12.73,15.55,123500
2016-02-02,12.53,15.3,190877
2016-02-03,12.51,15.28,94834
2016-02-04,12.44,15.2,82689
2016-02-07,12.44,15.19,60752
2016-02-08,12.33,15.06,182133
2016-02-09,12.21,14.92,127307
2016-02-10,12.28,15,298013
2016-02-11,12.22,14.93,175643
2016-02-14,12.23,14.94,94492
2016-02-15,12.38,15.12,183471
2016-02-16,12.35,15.09,176916
2016-02-17,12.23,14.94,217960
2016-02-18,12.12,14.8,150031
2016-02-21,12.09,14.77,180646
2016-02-22,11.97,14.62,195816
2016-02-23,12.1,14.78,247939
2016-02-24,12.03,14.7,213315
2016-02-25,12.1,14.78,201218
2016-02-28,12.34,15.07,237271
2016-02-29,12.3,15.02,129392
2016-03-01,12.53,15.3,202083
2016-03-02,12.69,15.5,251233
2016-03-03,12.48,15.24,233313
2016-03-06,12.38,15.12,151684
2016-03-07,12.24,14.95,191777
2016-03-08,12.21,14.91,153548
2016-03-09,12.22,14.93,254708
2016-03-10,12.26,14.97,183130
2016-03-13,11.98,14.63,116252
2016-03-14,12.03,14.7,231999
2016-03-15,12.09,14.77,159462
2016-03-16,11.89,14.53,324723
2016-03-17,12.12,14.8,109281
2016-03-20,12.05,14.72,97900
2016-03-21,12.21,14.91,114181
2016-03-22,12.21,14.91,111304
2016-03-23,12.22,14.93,120462
2016-03-28,12.13,14.82,72024
2016-03-29,12.13,14.82,53436
2016-03-30,12.31,15.04,118590
2016-03-31,12.33,15.06,127293
2016-04-01,13.7,16.74,7947798
2016-04-04,12.53,15.3,96388
2016-04-05,12.44,15.2,169311
2016-04-06,12.48,15.24,178060
2016-04-07,12.56,15.2,214588
2016-04-08,12.48,15.1,113835
2016-04-11,12.44,15.05,113974
2016-04-12,12.75,15.43,144832
2016-04-13,12.72,15.39,96981
2016-04-14,12.73,15.4,77984
2016-04-15,12.92,15.63,94753
2016-04-18,13.22,16,473931
2016-04-19,13.2,15.97,202453
2016-04-20,13.22,16,93587
2016-04-21,13.22,16,256170
2016-04-22,13.08,15.83,116913
2016-04-26,13.08,15.83,175642
2016-04-27,13.1,15.85,86525
2016-04-28,13.42,16.24,151166
2016-04-29,13.32,16.12,102152
2016-05-02,13.31,16.11,112894
2016-05-03,13.51,16.34,179557
2016-05-04,13.32,16.12,149868
2016-05-05,13.31,16.1,99401
2016-05-06,13.51,16.35,139315
2016-05-09,13.45,16.27,126319
2016-05-10,13.45,16.27,97155
2016-05-11,13.39,16.2,136517
2016-05-12,13.31,16.11,108604
2016-05-13,13.3,16.09,119279
2016-05-16,13.33,16.13,131362
2016-05-17,13.37,16.18,131200
2016-05-18,13.14,15.9,148609
2016-05-19,13.2,15.97,92422
2016-05-20,13.36,16.17,92530
2016-05-23,13.15,15.91,116189
2016-05-24,13.16,15.92,61768
2016-05-25,13.42,16.24,96224
2016-05-26,13.48,16.31,77111
2016-05-27,13.6,16.46,108720
2016-05-30,13.68,16.55,84590
2016-05-31,13.72,16.6,207664
2016-06-01,13.62,16.48,257276
2016-06-02,13.47,16.3,92465
2016-06-03,13.82,16.72,189514
2016-06-06,13.69,16.56,81972
2016-06-07,13.79,16.69,98649
2016-06-08,13.8,16.7,69623
2016-06-09,13.75,16.64,98251
2016-06-10,13.76,16.65,88376
2016-06-14,13.42,16.24,85723
2016-06-15,13.32,16.12,100075
2016-06-16,13.62,16.48,222249
2016-06-17,13.65,16.52,88316
2016-06-20,13.63,16.49,55286
2016-06-21,13.81,16.71,55363
2016-06-22,13.9,16.82,44401
2016-06-23,13.88,16.79,71192
2016-06-24,13.64,16.5,129078
2016-06-27,13.62,16.48,45309
2016-06-28,13.5,16.33,162967
2016-06-29,13.68,16.55,84182
2016-06-30,13.84,16.74,123695
2016-07-01,13.94,16.87,91094
2016-07-04,14.23,17.22,85602
2016-07-05,14.16,17.13,65052
2016-07-06,13.7,16.58,115482
2016-07-07,13.84,16.75,59792
2016-07-08,13.84,16.74,52299
2016-07-11,13.98,16.91,128840
2016-07-12,14.12,17.08,149966
2016-07-13,14.08,17.03,119036
2016-07-14,14.2,17.18,185965
2016-07-15,14.65,17.72,104692
2016-07-18,14.84,17.96,114871
2016-07-19,14.64,17.71,97971
2016-07-20,14.9,18.03,111667
2016-07-21,14.87,17.99,139224
2016-07-22,14.79,17.9,69012
2016-07-25,14.74,17.84,163865
2016-07-26,14.79,17.9,203605
2016-07-27,14.78,17.88,149207
2016-07-28,14.96,18.1,178834
2016-07-29,15,18.15,160539
2016-08-01,14.93,18.07,125907
2016-08-02,14.79,17.89,88340
2016-08-03,14.62,17.69,111045
2016-08-04,14.52,17.57,155046
2016-08-05,14.73,17.82,163117
2016-08-08,14.55,17.6,118716
2016-08-09,14.6,17.66,143487
2016-08-10,14.43,17.46,213950
2016-08-11,14.7,17.79,150001
2016-08-12,14.93,18.06,263100
2016-08-15,14.93,18.07,99411
2016-08-16,14.87,17.99,64736
2016-08-17,14.71,17.8,96594
2016-08-18,14.65,17.73,274484
2016-08-19,14.64,17.71,133650
2016-08-22,14.51,17.55,139602
2016-08-23,14.69,17.77,134179
2016-08-24,14.65,17.72,99444
2016-08-25,14.63,17.7,122048
2016-08-26,14.29,17.29,90896
2016-08-29,14.28,17.28,118695
2016-08-30,14.22,17.21,87478
2016-08-31,14.26,17.25,229635
2016-09-01,14.19,17.17,100906
2016-09-02,14.14,17.11,153090
2016-09-05,14.14,17.11,63643
2016-09-06,14.04,16.99,102462
2016-09-07,14.26,17.25,190667
2016-09-08,14.24,17.23,174956
2016-09-09,14.02,16.96,125743
2016-09-12,13.63,16.49,241604
2016-09-13,13.89,16.8,180881
2016-09-14,13.95,16.88,167413
2016-09-15,14.04,16.99,270797
2016-09-16,14.27,17.26,224547
2016-09-19,14.22,17.2,35146
2016-09-20,14.84,17.96,227247
2016-09-21,14.88,18,179176
2016-09-22,14.86,17.98,76223
2016-09-23,14.95,18.09,226775
2016-09-26,14.93,18.07,87364
2016-09-27,14.84,17.96,198669
2016-09-28,15.1,18.27,113552
2016-09-29,15.21,18.4,133685
2016-09-30,15.01,18.16,100667
2016-10-01,14.59,17.65,7552205
2016-10-02,15.11,18.28,46466
2016-10-03,15.15,18.33,86360
2016-10-04,15.08,18.24,107696
2016-10-05,15.18,18.2,191533
2016-10-06,15.12,18.12,87527
2016-10-09,14.99,17.97,57058
2016-10-10,14.98,17.96,104205
2016-10-11,14.91,17.87,165583
2016-10-12,14.8,17.74,73925
2016-10-13,15.01,17.99,107457
2016-10-16,14.72,17.65,85810
2016-10-17,14.64,17.55,86997
2016-10-18,14.66,17.57,88360
2016-10-19,14.79,17.73,100793
2016-10-20,14.67,17.59,64031
2016-10-23,14.66,17.57,130664
2016-10-24,14.96,17.93,90291
2016-10-25,14.48,17.36,118013
2016-10-26,14.38,17.24,103877
2016-10-27,14.25,17.08,239384
2016-10-30,14.23,17.06,105483
2016-10-31,14.12,16.93,52182
2016-11-01,13.83,16.58,387915
2016-11-02,13.86,16.61,132376
2016-11-03,13.64,16.35,387761
