date,adjusted_close,close,volume
2020-07-27,1.27,1.27,8246818
2020-07-30,1.4,1.4,5766330
2020-07-31,1.27,1.27,2480488
2020-08-03,0.97,0.97,3780409
2020-08-04,0.86,0.86,5204351
2020-08-05,0.98,0.98,2387853
2020-08-06,0.93,0.93,1271985
2020-08-07,0.92,0.92,743607
2020-08-10,1.04,1.04,1765075
2020-08-11,1.12,1.12,1345481
2020-08-12,1.06,1.06,947230
2020-08-13,1.08,1.08,802890
2020-08-14,1.06,1.06,500389
2020-08-17,1.07,1.07,586390
2020-08-18,1.09,1.09,436268
2020-08-19,1.22,1.22,936205
2020-08-20,1.55,1.55,2124276
2020-08-21,1.91,1.91,2539896
2020-08-24,2.48,2.48,3564689
2020-08-25,2.01,2.01,3580093
2020-08-26,2.06,2.06,1125908
2020-08-27,2.29,2.29,1003867
2020-08-28,2.26,2.26,628367
2020-08-31,2.26,2.26,224484
2020-09-01,2.15,2.15,606836
2020-09-02,2.05,2.05,762678
2020-09-03,2.21,2.21,613580
2020-09-04,2.06,2.06,653378
2020-09-07,2.02,2.02,239985
2020-09-08,2.11,2.11,518266
2020-09-09,2.12,2.12,300525
2020-09-10,2.06,2.06,213605
2020-09-11,2,2,332629
2020-09-14,1.99,1.99,147697
2020-09-15,2.14,2.14,930907
2020-09-16,2.09,2.09,335373
2020-09-17,2.19,2.19,1078043
2020-09-18,2.27,2.27,730964
2020-09-21,2.27,2.27,228956
2020-09-22,2.13,2.13,632065
2020-09-23,2.18,2.18,177152
2020-09-24,2.01,2.01,693966
2020-09-25,2.03,2.03,229557
2020-09-28,2.07,2.07,173533
2020-09-29,2.08,2.08,329489
2020-09-30,2.11,2.11,167252
2020-10-01,2.53,2.53,1309828
2020-10-02,2.2,2.2,1133534
2020-10-04,2.42,2.42,538900
2020-10-05,2.49,2.49,939147
2020-10-06,2.53,2.53,417199
2020-10-07,2.75,2.75,1150225
2020-10-08,2.73,2.73,869002
2020-10-11,2.87,2.87,393207
2020-10-12,3.29,3.29,1132657
2020-10-13,3.6,3.6,1634088
2020-10-14,4.01,4.01,1936783
2020-10-15,3.71,3.71,1820214
2020-10-18,3.89,3.89,744971
2020-10-19,3.86,3.86,406565
2020-10-20,3.69,3.69,357569
2020-10-21,3.58,3.58,544067
2020-10-22,3.95,3.95,565835
2020-10-25,3.77,3.77,591877
2020-10-26,3.48,3.48,713761
2020-10-27,3.33,3.33,486187
2020-10-28,3.12,3.12,863863
2020-10-29,3.14,3.14,382603
2020-11-01,3.34,3.34,526818
2020-11-02,3.48,3.48,402932
2020-11-03,3.49,3.49,299274
2020-11-04,3.47,3.47,171211
2020-11-05,3.47,3.47,266796
2020-11-08,3.39,3.39,494135
