date,adjusted_close,close,volume
2016-01-07,0.01,0.01,319687
2016-01-10,0.01,0.01,0
2016-01-11,0.01,0.01,0
2016-01-12,0.01,0.01,0
2016-01-13,0.01,0.01,75281
2016-01-14,0.01,0.01,0
2016-01-17,0.01,0.01,0
2016-01-18,0.01,0.01,10312
2016-01-19,0.01,0.01,0
2016-01-20,0.01,0.01,0
2016-01-21,0.01,0.01,0
2016-01-24,0.01,0.01,0
2016-01-26,0.01,0.01,0
2016-01-27,0.02,0.02,464062
2016-01-28,0.02,0.02,0
2016-01-31,0.02,0.02,0
2016-02-01,0.02,0.02,0
2016-02-02,0.02,0.02,0
2016-02-03,0.01,0.01,206250
2016-02-04,0.01,0.01,25781
2016-02-07,0.01,0.01,0
2016-02-08,0.01,0.01,0
2016-02-09,0.02,0.02,154687
2016-02-10,0.02,0.02,0
2016-02-11,0.02,0.02,268125
2016-02-14,0.02,0.02,0
2016-02-15,0.02,0.02,0
2016-02-16,0.02,0.02,0
2016-02-17,0.02,0.02,0
2016-02-18,0.02,0.02,0
2016-02-21,0.02,0.02,0
2016-02-22,0.02,0.02,0
2016-02-23,0.02,0.02,0
2016-02-24,0.02,0.02,0
2016-02-25,0.01,0.01,20255
2016-02-28,0.01,0.01,0
2016-02-29,0.01,0.01,0
2016-03-01,0.02,0.02,128906
2016-03-02,0.02,0.02,0
2016-03-03,0.02,0.02,0
2016-03-06,0.01,0.01,495369
2016-03-07,0.02,0.02,25781
2016-03-08,0.02,0.02,0
2016-03-09,0.02,0.02,0
2016-03-10,0.02,0.02,0
2016-03-13,0.02,0.02,0
2016-03-14,0.02,0.02,0
2016-03-15,0.02,0.02,0
2016-03-16,0.02,0.02,0
2016-03-17,0.02,0.02,103125
2016-03-20,0.01,0.01,93749
2016-03-21,0.01,0.01,0
2016-03-22,0.01,0.01,0
2016-03-23,0.01,0.01,0
2016-03-28,0.01,0.01,0
2016-03-29,0.01,0.01,0
2016-03-30,0.01,0.01,0
2016-03-31,0.01,0.01,0
2016-04-01,0.03,0.03,1543387
2016-04-04,0.01,0.01,0
2016-04-05,0.01,0.01,0
2016-04-06,0.01,0.01,0
2016-04-07,0.01,0.01,0
2016-04-08,0.01,0.01,0
2016-04-11,0.01,0.01,0
2016-04-12,0.02,0.02,103125
2016-04-13,0.03,0.03,20625
2016-04-14,0.03,0.03,0
2016-04-15,0.03,0.03,0
2016-04-18,0.02,0.02,20625
2016-04-19,0.02,0.02,0
2016-04-20,0.02,0.02,683327
2016-04-21,0.03,0.03,103125
2016-04-22,0.03,0.03,176249
2016-04-26,0.03,0.03,131594
2016-04-27,0.03,0.03,304717
2016-04-28,0.03,0.03,0
2016-04-29,0.03,0.03,0
2016-05-01,0.04,0.04,656797
2016-05-02,0.03,0.03,0
2016-05-03,0.03,0.03,20625
