date,adjusted_close,close,volume
2016-01-07,0.3,0.31,0
2016-01-10,0.29,0.3,13026
2016-01-11,0.3,0.31,169
2016-01-12,0.3,0.31,0
2016-01-13,0.29,0.3,28670
2016-01-14,0.29,0.3,0
2016-01-17,0.29,0.3,0
2016-01-18,0.29,0.3,0
2016-01-19,0.29,0.3,0
2016-01-20,0.29,0.3,0
2016-01-21,0.29,0.3,617
2016-01-24,0.29,0.3,0
2016-01-26,0.29,0.3,0
2016-01-27,0.29,0.3,0
2016-01-28,0.31,0.32,5210
2016-01-31,0.31,0.32,0
2016-02-01,0.35,0.36,1062
2016-02-02,0.35,0.36,0
2016-02-03,0.35,0.36,0
2016-02-04,0.35,0.36,52105
2016-02-07,0.35,0.36,0
2016-02-08,0.35,0.36,0
2016-02-09,0.35,0.36,0
2016-02-10,0.35,0.36,0
2016-02-11,0.37,0.38,114631
2016-02-14,0.37,0.38,0
2016-02-15,0.37,0.38,0
2016-02-16,0.37,0.38,0
2016-02-17,0.37,0.38,47218
2016-02-18,0.43,0.44,40202
2016-02-21,0.45,0.46,4365
2016-02-22,0.45,0.46,5210
2016-02-23,0.48,0.49,263937
2016-02-24,0.47,0.48,107507
2016-02-25,0.47,0.48,0
2016-02-28,0.47,0.48,0
2016-02-29,0.45,0.46,27719
2016-03-01,0.45,0.46,0
2016-03-02,0.44,0.45,13069
2016-03-03,0.44,0.45,155179
2016-03-06,0.46,0.47,10932
2016-03-07,0.45,0.46,13026
2016-03-08,0.43,0.44,12175
2016-03-09,0.45,0.46,2147092
2016-03-10,0.46,0.47,20842
2016-03-13,0.46,0.47,0
2016-03-14,0.42,0.43,25679
2016-03-15,0.42,0.43,0
2016-03-16,0.43,0.44,20842
2016-03-17,0.44,0.45,52821
2016-03-20,0.44,0.45,2410
2016-03-21,0.44,0.45,51896
2016-03-22,0.44,0.45,4968
2016-03-23,0.44,0.45,62526
2016-03-28,0.41,0.42,31
2016-03-29,0.4,0.41,22478
2016-03-30,0.37,0.38,57315
2016-03-31,0.4,0.41,33767
2016-04-01,0.37,0.38,898603
