date,adjusted_close,close,volume
2016-01-07,0.93,1.58,740228
2016-01-10,0.94,1.6,356318
2016-01-11,0.93,1.59,345152
2016-01-12,0.93,1.58,851219
2016-01-13,0.91,1.55,193682
2016-01-14,0.92,1.56,420364
2016-01-17,0.91,1.55,794911
2016-01-18,0.92,1.56,522904
2016-01-19,0.91,1.55,467877
2016-01-20,0.91,1.55,727224
2016-01-21,0.91,1.55,516198
2016-01-24,0.92,1.57,301102
2016-01-26,0.94,1.61,437553
2016-01-27,0.94,1.6,1382759
2016-01-28,0.93,1.59,816834
2016-01-31,0.97,1.65,2519236
2016-02-01,0.94,1.61,1011015
2016-02-02,0.91,1.55,757659
2016-02-03,0.91,1.55,470140
2016-02-04,0.93,1.58,231349
2016-02-07,0.93,1.58,494646
2016-02-08,0.9,1.54,3184915
2016-02-09,0.88,1.5,915360
2016-02-10,0.9,1.53,606050
2016-02-11,0.86,1.47,624503
2016-02-14,0.87,1.48,535250
2016-02-15,0.88,1.5,665756
2016-02-16,0.91,1.55,785429
2016-02-17,0.93,1.59,580217
2016-02-18,0.94,1.61,492069
2016-02-21,0.97,1.65,503231
2016-02-22,0.97,1.65,1441827
2016-02-23,0.97,1.65,0
2016-02-24,0.89,1.52,5525600
2016-02-25,0.89,1.51,1810601
2016-02-28,0.87,1.45,987677
2016-02-29,0.9,1.5,1953611
2016-03-01,0.91,1.52,987020
2016-03-02,0.98,1.64,2076361
2016-03-03,0.96,1.6,2599753
2016-03-06,0.97,1.63,1293733
2016-03-07,0.99,1.65,2207628
2016-03-08,0.96,1.61,559486
2016-03-09,0.98,1.64,1542286
2016-03-10,0.96,1.61,1062297
2016-03-13,0.94,1.58,827481
2016-03-14,0.94,1.57,756863
2016-03-15,0.96,1.6,1131339
2016-03-16,0.97,1.62,1449341
2016-03-17,0.96,1.61,5078795
2016-03-20,0.97,1.63,547924
2016-03-21,0.96,1.6,1955020
2016-03-22,0.96,1.6,564182
2016-03-23,0.93,1.57,629893
2016-03-28,0.91,1.53,909841
2016-03-29,0.94,1.57,548579
2016-03-30,0.94,1.58,935606
2016-03-31,0.94,1.57,372893
2016-04-01,0.82,1.37,31241284
2016-04-04,0.93,1.57,360898
2016-04-05,0.94,1.58,906414
2016-04-06,0.94,1.58,1093151
2016-04-07,0.91,1.53,856641
2016-04-08,0.91,1.53,512704
2016-04-11,0.9,1.51,1292760
2016-04-12,0.87,1.46,1939263
2016-04-13,0.87,1.46,4346146
2016-04-14,0.86,1.45,2267436
2016-04-15,0.85,1.42,3457615
2016-04-18,0.82,1.37,2977048
2016-04-19,0.8,1.35,1895897
2016-04-20,0.77,1.29,1549573
2016-04-21,0.8,1.34,1928140
2016-04-22,0.83,1.39,2090264
2016-04-26,0.82,1.37,1344679
2016-04-27,0.82,1.38,798937
2016-04-28,0.82,1.38,408872
2016-04-29,0.82,1.37,841953
2016-05-01,0.82,1.38,17309296
2016-05-02,0.81,1.36,805867
2016-05-03,0.84,1.4,1103499
2016-05-04,0.83,1.39,426878
2016-05-05,0.85,1.41,1394004
2016-05-06,0.83,1.39,762335
2016-05-09,0.84,1.4,407431
2016-05-10,0.84,1.4,396212
2016-05-11,0.85,1.41,445639
2016-05-12,0.84,1.4,559504
2016-05-13,0.83,1.39,845910
2016-05-16,0.82,1.38,608663
2016-05-17,0.81,1.35,1684546
2016-05-18,0.79,1.33,1945666
2016-05-19,0.79,1.32,772690
2016-05-20,0.79,1.33,308402
2016-05-23,0.79,1.32,441845
2016-05-24,0.78,1.31,557091
2016-05-25,0.79,1.33,593093
2016-05-26,0.79,1.32,693775
2016-05-27,0.79,1.32,897589
2016-05-30,0.79,1.33,629219
2016-05-31,0.82,1.38,1029438
2016-06-01,0.81,1.36,414719
2016-06-02,0.79,1.33,887585
2016-06-03,0.79,1.33,1108500
2016-06-06,0.76,1.26,1065799
2016-06-07,0.75,1.25,984033
2016-06-08,0.76,1.26,1215994
2016-06-09,0.79,1.32,1737757
2016-06-10,0.79,1.33,1458160
2016-06-14,0.77,1.29,903703
2016-06-15,0.78,1.3,798635
2016-06-16,0.8,1.34,967036
2016-06-17,0.85,1.42,2068656
2016-06-20,0.84,1.4,948859
2016-06-21,0.87,1.46,2237803
2016-06-22,0.88,1.48,498072
2016-06-23,0.88,1.47,609536
2016-06-24,0.85,1.41,1624887
2016-06-27,0.84,1.4,1157777
2016-06-28,0.83,1.38,2443706
2016-06-29,0.84,1.4,624342
2016-06-30,0.88,1.48,4966881
2016-07-01,0.87,1.46,856346
2016-07-04,1.08,1.82,8345149
2016-07-05,1.07,1.79,3526359
2016-07-06,1.06,1.77,1783118
2016-07-07,1.06,1.77,1584305
2016-07-08,1.08,1.8,914464
2016-07-11,1.07,1.79,742219
2016-07-12,1.08,1.8,1083392
2016-07-13,1.13,1.89,1138807
2016-07-14,1.1,1.84,725204
2016-07-15,1.1,1.84,685665
2016-07-18,1.11,1.86,526593
2016-07-19,1.13,1.89,841305
2016-07-20,1.14,1.91,752126
2016-07-21,1.14,1.91,708580
2016-07-22,1.1,1.84,1701120
2016-07-25,1.1,1.84,478457
2016-07-26,1.14,1.91,816617
2016-07-27,1.11,1.87,245410
2016-07-28,1.1,1.84,1129868
2016-07-29,1.12,1.87,873697
2016-08-01,1.1,1.84,191321
2016-08-02,1.08,1.8,323503
2016-08-03,1.03,1.72,999823
2016-08-04,1.05,1.75,459005
2016-08-05,1.08,1.8,458822
2016-08-08,1.1,1.85,682057
2016-08-09,1.08,1.81,1212095
2016-08-10,1.05,1.76,877256
2016-08-11,1.05,1.76,480769
2016-08-12,1.05,1.75,419951
2016-08-15,1.05,1.75,1283862
2016-08-16,1.05,1.76,675096
2016-08-17,1.05,1.75,1935139
2016-08-18,1.05,1.75,445508
2016-08-19,1.05,1.75,545550
2016-08-22,1.05,1.75,610704
2016-08-23,1.05,1.75,403082
2016-08-24,1.05,1.75,1170805
2016-08-25,0.93,1.57,5458981
2016-08-26,0.94,1.58,2387181
2016-08-29,0.93,1.56,1259550
2016-08-30,0.94,1.58,2676156
2016-08-31,0.99,1.65,1832435
2016-09-01,1.02,1.71,902819
2016-09-02,1.03,1.73,801657
2016-09-05,1.02,1.71,965851
2016-09-06,1.04,1.75,798475
2016-09-07,1.03,1.73,627569
