date,adjusted_close,close,volume
2016-01-07,3.08,4.05,499171
2016-01-10,3.03,3.98,688763
2016-01-11,3.05,4.01,770995
2016-01-12,3.08,4.05,976412
2016-01-13,2.96,3.89,1494219
2016-01-14,2.98,3.91,641906
2016-01-17,3.05,4,651468
2016-01-18,3.05,4,933595
2016-01-19,3.05,4.01,559927
2016-01-20,3.06,4.02,746604
2016-01-21,3.08,4.05,519268
2016-01-24,3.13,4.11,521246
2016-01-26,3.11,4.08,746038
2016-01-27,3.11,4.09,931612
2016-01-28,3.2,4.2,1441255
2016-01-31,3.28,4.31,780441
2016-02-01,3.21,4.22,934123
2016-02-02,3.19,4.19,876426
2016-02-03,3.23,4.24,649339
2016-02-04,3.18,4.18,681829
2016-02-07,3.18,4.18,596052
2016-02-08,3.11,4.09,832151
2016-02-09,3.05,4,1176313
2016-02-10,3.15,4.14,1255194
2016-02-11,3.14,4.12,461513
2016-02-14,3.13,4.11,534746
2016-02-15,3.23,4.24,681052
2016-02-16,3.23,4.24,525164
2016-02-17,3.53,4.64,2019665
2016-02-18,3.72,4.89,2912963
2016-02-21,3.78,4.97,2339058
2016-02-22,3.73,4.9,1241279
2016-02-23,3.7,4.86,985259
2016-02-24,3.64,4.78,1140724
2016-02-25,3.58,4.7,806946
2016-02-28,3.58,4.7,727550
2016-02-29,3.59,4.71,628468
2016-03-01,3.63,4.77,620062
2016-03-02,3.59,4.72,1582122
2016-03-03,3.5,4.6,1403376
2016-03-06,3.4,4.47,1859805
2016-03-07,3.36,4.41,1039738
2016-03-08,3.41,4.48,1736385
2016-03-09,3.4,4.46,1935016
2016-03-10,3.47,4.56,686532
2016-03-13,3.43,4.51,854668
2016-03-14,3.47,4.56,584051
2016-03-15,3.41,4.48,593067
2016-03-16,3.47,4.51,1004235
2016-03-17,3.46,4.49,549551
2016-03-20,3.45,4.48,946824
2016-03-21,3.51,4.56,536990
2016-03-22,3.54,4.6,505688
2016-03-23,3.57,4.64,1343185
2016-03-28,3.53,4.58,916313
2016-03-29,3.46,4.5,861415
2016-03-30,3.55,4.61,849223
2016-03-31,3.56,4.62,837012
2016-04-01,3.83,4.98,19325597
2016-04-04,3.56,4.63,660885
2016-04-05,3.49,4.53,678636
2016-04-06,3.58,4.65,1049561
2016-04-07,3.57,4.64,1201872
2016-04-08,3.6,4.67,655511
2016-04-11,3.57,4.64,789820
2016-04-12,3.54,4.6,735907
2016-04-13,3.53,4.59,649374
2016-04-14,3.57,4.64,739530
2016-04-15,3.66,4.75,693308
2016-04-18,3.63,4.72,825732
2016-04-19,3.7,4.8,1841811
2016-04-20,3.7,4.8,2373828
2016-04-21,3.85,5,1237251
2016-04-22,3.8,4.93,1013295
2016-04-26,3.77,4.9,825625
2016-04-27,3.81,4.95,580827
2016-04-28,3.84,4.99,872153
2016-04-29,3.83,4.98,1063659
2016-05-01,4.09,5.31,18075296
2016-05-02,3.86,5.01,801355
2016-05-03,3.88,5.04,724102
2016-05-04,3.77,4.9,1408451
2016-05-05,3.79,4.92,717063
2016-05-06,3.78,4.91,714388
2016-05-09,3.81,4.95,413618
2016-05-10,3.8,4.94,739176
2016-05-11,3.81,4.95,689832
2016-05-12,3.73,4.85,1059819
2016-05-13,3.76,4.88,1572130
2016-05-16,3.76,4.89,733916
2016-05-17,3.84,4.99,767932
2016-05-18,3.79,4.92,584291
2016-05-19,3.73,4.84,758619
2016-05-20,3.84,4.99,639795
2016-05-23,3.86,5.02,706284
2016-05-24,3.9,5.06,1042542
2016-05-25,3.92,5.09,911620
2016-05-26,3.91,5.08,512148
2016-05-27,3.96,5.14,497819
2016-05-30,4.03,5.23,701892
2016-05-31,4.09,5.31,1378504
2016-06-01,4.06,5.28,1120499
2016-06-02,4.04,5.25,570269
2016-06-03,4.08,5.3,456011
2016-06-06,4.1,5.32,515477
2016-06-07,4.06,5.27,1099990
2016-06-08,4.05,5.26,616071
2016-06-09,4.12,5.35,470507
2016-06-10,4.15,5.39,584997
2016-06-14,4.06,5.28,810682
2016-06-15,4.05,5.26,613941
2016-06-16,4.04,5.25,615431
2016-06-17,4.04,5.25,464420
2016-06-20,4.03,5.24,551190
2016-06-21,4.11,5.34,475007
