date,adjusted_close,close,volume
2018-01-29,0.3,0.3,1204607
2018-01-30,0.28,0.28,716320
2018-01-31,0.28,0.28,262049
2018-02-01,0.32,0.32,287408
2018-02-04,0.32,0.32,146771
2018-02-05,0.31,0.31,147897
2018-02-06,0.37,0.37,631830
2018-02-07,0.36,0.36,296200
2018-02-08,0.33,0.33,186151
2018-02-11,0.34,0.34,10000
2018-02-12,0.33,0.33,157855
2018-02-13,0.33,0.33,161500
2018-02-14,0.33,0.33,145029
2018-02-15,0.33,0.33,50000
2018-02-18,0.36,0.36,42116
2018-02-19,0.37,0.37,15405
2018-02-20,0.38,0.38,324384
2018-02-21,0.36,0.36,85000
2018-02-22,0.38,0.38,112686
2018-02-25,0.38,0.38,14350
2018-02-26,0.34,0.34,157756
2018-02-27,0.38,0.38,15861
2018-02-28,0.37,0.37,5230
2018-03-01,0.35,0.35,9333
2018-03-04,0.37,0.37,10122
2018-03-05,0.38,0.38,178287
2018-03-06,0.36,0.36,42985
2018-03-07,0.38,0.38,288000
2018-03-08,0.38,0.38,93088
2018-03-11,0.35,0.35,33563
2018-03-12,0.38,0.38,213379
2018-03-13,0.38,0.38,181778
2018-03-14,0.37,0.37,74995
2018-03-15,0.36,0.36,99384
2018-03-18,0.35,0.35,170114
2018-03-19,0.36,0.36,193188
2018-03-20,0.35,0.35,115912
2018-03-21,0.36,0.36,96831
2018-03-22,0.34,0.34,161387
2018-03-25,0.34,0.34,89701
2018-03-26,0.35,0.35,99788
2018-03-27,0.34,0.34,122211
2018-03-28,0.34,0.34,108500
2018-04-02,0.35,0.35,696368
2018-04-03,0.31,0.31,399393
2018-04-04,0.31,0.31,172475
2018-04-05,0.31,0.31,26451
2018-04-06,0.35,0.35,98049
2018-04-09,0.34,0.34,39860
2018-04-10,0.34,0.34,129801
2018-04-11,0.35,0.35,174705
2018-04-12,0.34,0.34,10000
2018-04-13,0.35,0.35,93526
2018-04-16,0.34,0.34,50000
2018-04-17,0.34,0.34,92099
2018-04-18,0.31,0.31,353534
2018-04-19,0.3,0.3,125195
2018-04-20,0.31,0.31,255792
2018-04-23,0.28,0.28,35574
2018-04-24,0.3,0.3,94295
2018-04-26,0.31,0.31,40000
2018-04-27,0.31,0.31,36545
2018-04-30,0.3,0.3,83200
2018-05-01,0.29,0.29,50855
2018-05-02,0.3,0.3,298696
2018-05-03,0.29,0.29,170775
2018-05-04,0.28,0.28,75225
2018-05-07,0.28,0.28,77000
2018-05-08,0.29,0.29,112753
2018-05-09,0.28,0.28,35450
2018-05-10,0.29,0.29,16000
2018-05-11,0.28,0.28,85000
2018-05-14,0.28,0.28,19500
2018-05-15,0.28,0.28,111800
2018-05-16,0.28,0.28,416284
2018-05-17,0.28,0.28,160415
2018-05-18,0.28,0.28,73082
2018-05-21,0.28,0.28,107500
2018-05-22,0.28,0.28,86000
2018-05-23,0.3,0.3,337453
2018-05-24,0.3,0.3,6442
2018-05-25,0.3,0.3,153405
2018-05-28,0.28,0.28,32402
2018-05-29,0.29,0.29,2000
2018-05-30,0.3,0.3,6593
2018-05-31,0.3,0.3,87000
2018-06-01,0.3,0.3,16500
2018-06-04,0.3,0.3,16500
