date,adjusted_close,close,volume
2016-01-07,0.08,0.08,680813
2016-01-10,0.08,0.08,527456
2016-01-11,0.07,0.07,739388
2016-01-12,0.07,0.07,687713
2016-01-13,0.07,0.07,487952
2016-01-14,0.07,0.07,714487
2016-01-17,0.06,0.06,423320
2016-01-18,0.07,0.07,409996
2016-01-19,0.07,0.07,668304
2016-01-20,0.07,0.07,403334
2016-01-21,0.06,0.06,552071
2016-01-24,0.06,0.06,591336
2016-01-26,0.06,0.06,554757
2016-01-27,0.06,0.06,983713
2016-01-28,0.06,0.06,838746
2016-01-31,0.06,0.06,307577
2016-02-01,0.06,0.06,766747
2016-02-02,0.06,0.06,908381
2016-02-03,0.06,0.06,243068
2016-02-04,0.06,0.06,418937
2016-02-07,0.06,0.06,903121
2016-02-08,0.06,0.06,916315
2016-02-09,0.07,0.07,425969
2016-02-10,0.07,0.07,184407
2016-02-11,0.06,0.06,577204
2016-02-14,0.07,0.07,375850
2016-02-15,0.08,0.08,826894
2016-02-16,0.08,0.08,895551
2016-02-17,0.1,0.1,2101731
2016-02-18,0.1,0.1,1877214
2016-02-21,0.11,0.11,1174016
2016-02-22,0.11,0.11,2257605
2016-02-23,0.1,0.1,2398673
2016-02-24,0.09,0.09,996860
2016-02-25,0.09,0.09,441698
2016-02-28,0.08,0.08,276913
2016-02-29,0.09,0.09,795666
2016-03-01,0.1,0.1,639861
2016-03-02,0.11,0.11,1717109
2016-03-03,0.1,0.1,1840209
2016-03-06,0.15,0.15,6493470
2016-03-07,0.17,0.17,6713534
2016-03-08,0.15,0.15,5017530
2016-03-09,0.15,0.15,1699166
2016-03-10,0.15,0.15,1803947
2016-03-13,0.14,0.14,526967
2016-03-14,0.13,0.13,956614
2016-03-15,0.13,0.13,952102
2016-03-16,0.14,0.14,581748
2016-03-17,0.15,0.15,1493413
2016-03-20,0.15,0.15,763451
2016-03-21,0.15,0.15,797763
2016-03-22,0.15,0.15,100932
2016-03-23,0.14,0.14,1051072
2016-03-28,0.14,0.14,344599
2016-03-29,0.13,0.13,1384936
2016-03-30,0.13,0.13,319399
2016-03-31,0.13,0.13,229292
2016-04-01,0.15,0.15,14934511
2016-04-04,0.13,0.13,394327
2016-04-05,0.12,0.12,702925
2016-04-06,0.13,0.13,172603
2016-04-07,0.12,0.12,52083
2016-04-08,0.12,0.12,525822
2016-04-11,0.12,0.12,284846
2016-04-12,0.14,0.14,1190644
2016-04-13,0.15,0.15,2043054
2016-04-14,0.14,0.14,1088142
2016-04-15,0.13,0.13,235581
2016-04-18,0.13,0.13,187726
2016-04-19,0.14,0.14,427298
2016-04-20,0.15,0.15,1531107
2016-04-21,0.15,0.15,2319326
2016-04-22,0.16,0.16,1607108
2016-04-26,0.15,0.15,382014
2016-04-27,0.15,0.15,770236
2016-04-28,0.15,0.15,641677
2016-04-29,0.15,0.15,148700
2016-05-01,0.11,0.11,8755578
2016-05-02,0.15,0.15,794826
2016-05-03,0.14,0.14,429405
2016-05-04,0.13,0.13,358203
2016-05-05,0.13,0.13,845067
2016-05-06,0.14,0.14,452363
2016-05-09,0.13,0.13,295443
2016-05-10,0.13,0.13,592981
2016-05-11,0.13,0.13,385933
2016-05-12,0.13,0.13,39101
2016-05-13,0.13,0.13,90429
2016-05-16,0.13,0.13,273819
2016-05-17,0.13,0.13,530744
2016-05-18,0.13,0.13,185823
2016-05-19,0.13,0.13,252089
2016-05-20,0.14,0.14,441105
2016-05-23,0.13,0.13,270568
2016-05-24,0.13,0.13,155075
2016-05-25,0.13,0.13,182259
2016-05-26,0.13,0.13,166015
2016-05-27,0.13,0.13,24147
2016-05-30,0.13,0.13,88591
2016-05-31,0.11,0.11,1901592
2016-06-01,0.1,0.1,1571914
2016-06-02,0.11,0.11,222928
2016-06-03,0.11,0.11,235931
2016-06-06,0.11,0.11,595510
2016-06-07,0.11,0.11,377205
2016-06-08,0.11,0.11,404542
2016-06-09,0.11,0.11,962907
2016-06-10,0.11,0.11,355106
2016-06-14,0.11,0.11,156393
2016-06-15,0.11,0.11,191046
2016-06-16,0.12,0.12,347315
2016-06-17,0.11,0.11,341257
2016-06-20,0.11,0.11,43905
2016-06-21,0.11,0.11,564500
2016-06-22,0.11,0.11,311616
2016-06-23,0.11,0.11,118833
2016-06-24,0.11,0.11,356730
2016-06-27,0.1,0.1,1021396
2016-06-28,0.1,0.1,354939
2016-06-29,0.09,0.09,725919
2016-06-30,0.09,0.09,850906
2016-07-01,0.11,0.11,273539
2016-07-04,0.11,0.11,640347
2016-07-05,0.14,0.14,2194201
2016-07-06,0.13,0.13,320709
2016-07-07,0.12,0.12,353504
2016-07-08,0.13,0.13,189684
2016-07-11,0.13,0.13,175635
2016-07-12,0.13,0.13,293288
2016-07-13,0.13,0.13,1633991
2016-07-14,0.13,0.13,1133035
2016-07-15,0.13,0.13,1523060
2016-07-18,0.13,0.13,414119
2016-07-19,0.13,0.13,77306
2016-07-20,0.13,0.13,546557
2016-07-21,0.11,0.11,430408
2016-07-22,0.11,0.11,682847
2016-07-25,0.12,0.12,102665
2016-07-26,0.11,0.11,56552
2016-07-27,0.13,0.13,658364
2016-07-28,0.13,0.13,803129
