date,adjusted_close,close,volume
2016-01-07,0.02,0.02,0
2016-01-10,0.02,0.02,30195
2016-01-11,0.02,0.02,1010651
2016-01-12,0.02,0.02,0
2016-01-13,0.02,0.02,0
2016-01-14,0.02,0.02,0
2016-01-17,0.02,0.02,266988
2016-01-18,0.02,0.02,0
2016-01-19,0.02,0.02,349884
2016-01-20,0.02,0.02,0
2016-01-21,0.02,0.02,0
2016-01-24,0.02,0.02,0
2016-01-26,0.02,0.02,0
2016-01-27,0.02,0.02,0
2016-01-28,0.02,0.02,0
2016-01-31,0.02,0.02,0
2016-02-01,0.02,0.02,0
2016-02-02,0.02,0.02,0
2016-02-03,0.02,0.02,0
2016-02-04,0.02,0.02,80612
2016-02-07,0.02,0.02,199666
2016-02-08,0.02,0.02,0
2016-02-09,0.02,0.02,0
2016-02-10,0.02,0.02,0
2016-02-11,0.02,0.02,0
2016-02-14,0.02,0.02,11
2016-02-15,0.02,0.02,0
2016-02-16,0.02,0.02,0
2016-02-17,0.02,0.02,0
2016-02-18,0.02,0.02,55313
2016-02-21,0.02,0.02,0
2016-02-22,0.02,0.02,0
2016-02-23,0.02,0.02,0
2016-02-24,0.02,0.02,333333
2016-02-25,0.02,0.02,0
2016-02-28,0.02,0.02,0
2016-02-29,0.02,0.02,0
2016-03-01,0.02,0.02,0
2016-03-02,0.02,0.02,0
2016-03-03,0.02,0.02,0
2016-03-06,0.02,0.02,0
2016-03-07,0.02,0.02,0
2016-03-08,0.02,0.02,0
2016-03-09,0.02,0.02,0
2016-03-10,0.02,0.02,657803
2016-03-13,0.02,0.02,0
2016-03-14,0.02,0.02,0
2016-03-15,0.02,0.02,0
2016-03-16,0.02,0.02,0
2016-03-17,0.02,0.02,0
2016-03-20,0.02,0.02,2301172
2016-03-21,0.02,0.02,586152
2016-03-22,0.02,0.02,510258
2016-03-23,0.02,0.02,1117530
2016-03-28,0.02,0.02,327605
2016-03-29,0.02,0.02,2306462
2016-03-30,0.02,0.02,146791
2016-03-31,0.02,0.02,0
2016-04-01,0.02,0.02,10175316
2016-04-04,0.02,0.02,33333
2016-04-05,0.02,0.02,0
2016-04-06,0.02,0.02,284967
2016-04-07,0.02,0.02,0
2016-04-08,0.02,0.02,0
2016-04-11,0.02,0.02,934265
2016-04-12,0.02,0.02,31687
2016-04-13,0.02,0.02,177310
2016-04-14,0.02,0.02,6666
2016-04-15,0.02,0.02,0
2016-04-18,0.02,0.02,0
2016-04-19,0.02,0.02,48333
2016-04-20,0.02,0.02,2433
2016-04-21,0.02,0.02,50241
2016-04-22,0.02,0.02,264660
2016-04-26,0.02,0.02,0
2016-04-27,0.02,0.02,0
2016-04-28,0.02,0.02,0
2016-04-29,0.02,0.02,1185438
2016-05-02,0.02,0.02,0
2016-05-03,0.02,0.02,105599
2016-05-04,0.02,0.02,76999
2016-05-05,0.02,0.02,0
2016-05-06,0.02,0.02,27
2016-05-09,0.02,0.02,0
2016-05-10,0.02,0.02,0
2016-05-11,0.02,0.02,0
2016-05-12,0.02,0.02,1724280
2016-05-13,0.02,0.02,31949
2016-05-16,0.02,0.02,54166
2016-05-17,0.02,0.02,0
2016-05-18,0.02,0.02,123333
2016-05-19,0.02,0.02,792665
2016-05-20,0.02,0.02,66666
2016-05-23,0.02,0.02,0
2016-05-24,0.02,0.02,0
2016-05-25,0.02,0.02,407974
2016-05-26,0.02,0.02,1229633
2016-05-27,0.02,0.02,129343
2016-05-30,0.03,0.03,1769153
