date,adjusted_close,close,volume
2022-05-02,4.15,4.15,1990617
2022-05-06,4.15,4.15,1990617
2022-05-09,3.91,3.91,1340585
2022-05-10,3.77,3.77,2030619
2022-05-11,4,4,506065
2022-05-12,3.93,3.93,255156
2022-05-13,4.3,4.3,265072
2022-05-16,4.76,4.76,368159
2022-05-17,4.8,4.8,149904
2022-05-18,4.83,4.83,70760
2022-05-19,4.69,4.69,81352
2022-05-20,5.07,5.07,110883
2022-05-23,5.17,5.17,112330
2022-05-24,5.48,5.48,110786
2022-05-25,5.3,5.3,50227
2022-05-26,5.24,5.24,17953
2022-05-27,5.2,5.2,16982
2022-05-30,5.15,5.15,12580
2022-05-31,5.2,5.2,22477
2022-06-01,5,5,272657
2022-06-02,5.1,5.1,12097
2022-06-03,5.15,5.15,21566
2022-06-06,5.04,5.04,53012
2022-06-07,4.77,4.77,37147
2022-06-08,4.91,4.91,38062
2022-06-09,4.99,4.99,29234
2022-06-10,4.9,4.9,15991
2022-06-13,3.72,3.72,197234
2022-06-14,4.11,4.11,50378
2022-06-15,4.16,4.16,32669
2022-06-16,4.01,4.01,7533
2022-06-17,3.72,3.72,106654
2022-06-20,3.82,3.82,43780
2022-06-21,3.6,3.6,31446
2022-06-22,3.39,3.39,51520
2022-06-23,3.55,3.55,40187
2022-06-24,3.7,3.7,51109
2022-06-27,3.62,3.62,14443
2022-06-28,3.76,3.76,22761
2022-06-29,3.62,3.62,54999
2022-06-30,3.58,3.58,36228
2022-07-01,3.58,3.58,26681
2022-07-04,3.63,3.63,143002
2022-07-05,3.63,3.63,0
2022-07-06,3.8,3.8,15481
2022-07-07,3.7,3.7,6255
2022-07-08,3.8,3.8,4063
2022-07-11,3.71,3.71,16232
2022-07-12,3.71,3.71,64860
2022-07-13,3.69,3.69,11457
2022-07-14,3.73,3.73,12843
2022-07-15,3.74,3.74,221257
2022-07-18,3.8,3.8,206874
2022-07-19,3.8,3.8,16303
2022-07-20,3.8,3.8,20725
2022-07-21,3.66,3.66,8480
2022-07-22,3.55,3.55,128540
2022-07-25,3.74,3.74,21357
2022-07-26,3.75,3.75,10484
2022-07-27,3.58,3.58,303743
2022-07-28,3.92,3.92,118886
2022-07-29,3.72,3.72,1586
2022-08-01,3.72,3.72,31944
2022-08-02,3.63,3.63,19452
2022-08-03,3.6,3.6,56845
2022-08-04,3.72,3.72,6010
2022-08-05,3.67,3.67,17160
2022-08-08,3.8,3.8,119227
2022-08-09,3.71,3.71,19779
2022-08-10,3.72,3.72,290406
2022-08-11,3.77,3.77,186972
2022-08-12,3.77,3.77,26704
2022-08-15,3.85,3.85,21264
2022-08-16,3.57,3.57,32793
2022-08-17,3.77,3.77,170972
2022-08-18,3.51,3.51,134640
2022-08-19,3.5,3.5,24194
2022-08-22,3.5,3.5,10203
2022-08-23,3.42,3.42,12193
2022-08-24,3.39,3.39,9935
2022-08-25,3.36,3.36,88937
2022-08-26,3.29,3.29,156969
2022-08-29,3.12,3.12,90007
2022-08-30,3.1,3.1,81958
2022-08-31,3.01,3.01,64458
2022-09-01,3.01,3.01,1346301
2022-09-02,3.05,3.05,186526
2022-09-05,3.01,3.01,24594
2022-09-06,2.96,2.96,16650
2022-09-07,2.84,2.84,11775
2022-09-08,2.9,2.9,25005
2022-09-09,3.05,3.05,34180
2022-09-12,2.97,2.97,17902
2022-09-13,3,3,1781
2022-09-14,2.95,2.95,12878
2022-09-15,2.98,2.98,157
2022-09-16,3.1,3.1,7506
2022-09-19,2.99,2.99,61146
2022-09-20,2.96,2.96,47040
2022-09-21,3,3,24259
2022-09-23,2.99,2.99,16604
2022-09-26,3.11,3.11,1274422
2022-09-27,3.2,3.2,23173
2022-09-28,3.15,3.15,100445
2022-09-29,3.2,3.2,36809
2022-09-30,3.1,3.1,17242
2022-10-02,3,3,20827
2022-10-03,2.95,2.95,146440
2022-10-04,3.16,3.16,31915
2022-10-05,3.17,3.17,13657
2022-10-06,3.24,3.24,51528
2022-10-09,3.25,3.25,504551
2022-10-10,3.1,3.1,33348
2022-10-11,3.19,3.19,251914
2022-10-12,3.29,3.29,6607
2022-10-13,3.26,3.26,9996
