date,adjusted_close,close,volume
2015-10-19,2.93,2.93,1063267
2015-10-20,2.9,2.9,1260121
2015-10-21,2.89,2.89,2189941
2015-10-22,2.92,2.92,1311615
2015-10-23,3,3,2006596
2015-10-26,3.01,3.01,804341
2015-10-27,3.02,3.02,875015
2015-10-28,3.04,3.04,403249
2015-10-29,3.04,3.04,714331
2015-10-30,3.04,3.04,554487
2015-11-02,3,3,796714
2015-11-03,3.02,3.02,769828
2015-11-04,3.04,3.04,709148
2015-11-05,3.01,3.01,884518
2015-11-06,3.06,3.06,1202900
2015-11-09,2.98,2.98,1347421
2015-11-10,2.94,2.94,1014554
2015-11-11,2.98,2.98,1645648
2015-11-12,2.97,2.97,867917
2015-11-13,2.99,2.99,1033841
2015-11-16,2.92,2.92,1609361
2015-11-17,2.96,2.96,1983623
2015-11-18,3,3,1183909
2015-11-19,3.03,3.03,1496370
2015-11-20,3.06,3.06,880027
2015-11-23,3.1,3.1,520511
2015-11-24,3.06,3.06,1007921
2015-11-25,3.05,3.05,654569
2015-11-26,3.02,3.02,946032
2015-11-27,3.06,3.06,1001052
2015-11-30,3.02,3.02,759630
2015-12-01,3.08,3.08,1637182
2015-12-02,3.06,3.06,967400
2015-12-03,3.04,3.04,847755
2015-12-04,3,3,1027031
2015-12-07,3.03,3.03,1090244
2015-12-08,3.06,3.06,1089084
2015-12-09,3.03,3.03,690018
2015-12-10,2.97,2.97,1383885
2015-12-11,2.99,2.99,669477
2015-12-14,2.93,2.93,933395
2015-12-15,2.93,2.93,655118
2015-12-16,3.06,3.06,1332878
2015-12-17,3.12,3.12,2190508
2015-12-18,3.11,3.11,1381677
2015-12-21,3.1,3.1,551181
2015-12-22,3.11,3.11,728400
2015-12-23,3.13,3.13,305595
2015-12-24,3.14,3.14,257091
2015-12-28,3.14,3.14,0
2015-12-29,3.23,3.23,829793
2015-12-30,3.26,3.26,217199
2015-12-31,3.16,3.16,314588
2016-01-04,3.14,3.14,804983
2016-01-05,3.12,3.12,1103532
2016-01-06,3.13,3.13,1184951
2016-01-07,3.01,4.36,1301408
2016-01-08,3.04,3.04,1301408
2016-01-10,2.99,4.33,1050491
2016-01-11,2.97,4.31,1588586
2016-01-12,3.09,4.48,1398373
