date,adjusted_close,close,volume
2016-01-07,1.33,2.41,164179
2016-01-10,1.32,2.39,162757
2016-01-11,1.32,2.39,210527
2016-01-12,1.32,2.4,289310
2016-01-13,1.32,2.4,288791
2016-01-14,1.32,2.4,275685
2016-01-17,1.33,2.41,155886
2016-01-18,1.32,2.4,173209
2016-01-19,1.32,2.4,475453
2016-01-20,1.35,2.44,236761
2016-01-21,1.32,2.39,243287
2016-01-24,1.32,2.4,105064
2016-01-26,1.33,2.41,221876
2016-01-27,1.32,2.39,1199594
2016-01-28,1.31,2.38,375749
2016-01-31,1.33,2.41,407744
2016-02-01,1.33,2.41,152229
2016-02-02,1.3,2.36,913374
2016-02-03,1.33,2.41,273104
2016-02-04,1.34,2.42,410687
2016-02-07,1.36,2.47,300049
2016-02-08,1.32,2.4,317464
2016-02-09,1.32,2.39,268205
2016-02-10,1.33,2.41,364496
2016-02-11,1.31,2.37,415016
2016-02-14,1.31,2.37,426872
2016-02-15,1.31,2.38,452729
2016-02-16,1.33,2.41,169377
2016-02-17,1.34,2.42,672053
2016-02-18,1.34,2.42,133186
2016-02-21,1.33,2.41,215748
2016-02-22,1.33,2.41,109950
2016-02-23,1.32,2.4,297663
2016-02-24,1.31,2.38,570148
2016-02-25,1.31,2.38,159501
2016-02-28,1.31,2.37,426904
2016-02-29,1.3,2.36,294990
2016-03-01,1.32,2.39,347577
2016-03-02,1.35,2.44,880514
2016-03-03,1.35,2.44,542588
2016-03-06,1.35,2.45,372571
2016-03-07,1.34,2.43,359350
2016-03-08,1.34,2.43,350710
2016-03-09,1.35,2.45,469115
2016-03-10,1.34,2.43,364855
2016-03-13,1.35,2.45,313618
2016-03-14,1.35,2.45,355971
2016-03-15,1.36,2.47,761986
2016-03-16,1.36,2.47,621899
2016-03-17,1.35,2.44,2984874
2016-03-20,1.36,2.47,476134
2016-03-21,1.38,2.51,657262
2016-03-22,1.38,2.5,165022
2016-03-23,1.39,2.52,132392
2016-03-28,1.39,2.52,286237
2016-03-29,1.41,2.5,156743
2016-03-30,1.43,2.54,429685
2016-03-31,1.43,2.53,470894
2016-04-01,1.52,2.7,5253496
2016-04-04,1.44,2.55,218170
2016-04-05,1.42,2.52,295391
2016-04-06,1.43,2.53,272120
2016-04-07,1.42,2.52,322023
2016-04-08,1.41,2.51,364378
2016-04-11,1.42,2.52,266551
2016-04-12,1.41,2.51,258957
2016-04-13,1.41,2.51,75892
2016-04-14,1.43,2.53,123069
2016-04-15,1.43,2.54,135860
2016-04-18,1.46,2.59,242031
2016-04-19,1.43,2.53,284349
2016-04-20,1.44,2.55,131585
2016-04-21,1.45,2.57,103045
2016-04-22,1.46,2.59,225818
2016-04-26,1.46,2.6,229180
2016-04-27,1.5,2.67,374240
2016-04-28,1.55,2.75,445419
2016-04-29,1.52,2.7,414524
2016-05-01,1.48,2.63,14519574
2016-05-02,1.49,2.64,253495
2016-05-03,1.5,2.67,314037
2016-05-04,1.5,2.67,217318
2016-05-05,1.5,2.67,219966
2016-05-06,1.53,2.72,161012
2016-05-09,1.5,2.67,473049
2016-05-10,1.52,2.7,227752
2016-05-11,1.52,2.7,309776
2016-05-12,1.53,2.72,300531
2016-05-13,1.57,2.78,1134859
2016-05-16,1.56,2.77,372761
2016-05-17,1.55,2.76,288656
2016-05-18,1.56,2.77,279249
2016-05-19,1.53,2.72,250810
2016-05-20,1.54,2.74,4326954
2016-05-23,1.53,2.72,362971
2016-05-24,1.51,2.69,256606
2016-05-25,1.52,2.7,163580
2016-05-26,1.53,2.72,275541
2016-05-27,1.53,2.71,220812
2016-05-30,1.53,2.72,227130
2016-05-31,1.48,2.63,3882709
2016-06-01,1.5,2.67,189526
2016-06-02,1.53,2.71,518955
2016-06-03,1.52,2.7,168802
2016-06-06,1.52,2.7,104163
2016-06-07,1.51,2.68,155662
2016-06-08,1.52,2.7,179815
2016-06-09,1.5,2.66,3290365
2016-06-10,1.5,2.66,260573
2016-06-14,1.51,2.68,393766
2016-06-15,1.52,2.7,536087
2016-06-16,1.51,2.68,196741
2016-06-17,1.52,2.7,257856
2016-06-20,1.52,2.7,76580
2016-06-21,1.51,2.69,239558
2016-06-22,1.51,2.69,241707
2016-06-23,1.51,2.69,93876
2016-06-24,1.52,2.7,177951
2016-06-27,1.51,2.69,295516
2016-06-28,1.53,2.72,315091
2016-06-29,1.53,2.66,137766
