date,adjusted_close,close,volume
2016-11-07,2.18,3.88,2321962
2016-11-08,2.19,3.89,4736965
2016-11-09,2.15,3.81,1325577
2016-11-10,2.12,3.76,904272
2016-11-13,2.13,3.78,340027
2016-11-14,2.12,3.76,540096
2016-11-15,2.07,3.69,423737
2016-11-16,2,3.56,407992
2016-11-17,2.04,3.63,547833
2016-11-20,2.02,3.6,362484
2016-11-21,2.02,3.6,283640
2016-11-22,2.03,3.61,242777
2016-11-23,2.02,3.6,256811
2016-11-24,2.03,3.61,313710
2016-11-27,2.03,3.61,305191
2016-11-28,2.04,3.63,87034
2016-11-29,2.1,3.72,93900
2016-11-30,2.11,3.75,124124
2016-12-01,2.1,3.73,149304
2016-12-04,2.12,3.77,111819
2016-12-05,2.16,3.83,194739
2016-12-06,2.16,3.84,76712
2016-12-07,2.18,3.87,184910
2016-12-08,2.17,3.85,176751
2016-12-11,2.15,3.82,72762
2016-12-12,2.15,3.82,389462
2016-12-13,2.15,3.82,344634
2016-12-14,2.17,3.85,271160
2016-12-15,2.24,3.98,1349008
2016-12-18,2.21,3.92,179678
2016-12-19,2.19,3.89,142150
2016-12-20,2.2,3.9,540925
2016-12-21,2.21,3.92,298374
2016-12-22,2.21,3.92,266253
2016-12-26,2.21,3.93,382985
2016-12-27,2.21,3.93,102845
2016-12-28,2.2,3.88,21023
2016-12-29,2.23,3.93,259117
2017-01-02,2.23,3.93,373611
2017-01-03,2.23,3.92,132286
2017-01-04,2.22,3.91,110469
2017-01-05,2.22,3.91,192793
2017-01-08,2.21,3.9,57298
2017-01-09,2.22,3.91,104868
2017-01-10,2.22,3.91,72247
2017-01-11,2.21,3.89,97351
2017-01-12,2.22,3.91,101774
2017-01-15,2.21,3.89,52114
2017-01-16,2.21,3.9,165652
2017-01-17,2.2,3.88,83393
2017-01-18,2.18,3.83,148259
2017-01-19,2.16,3.8,129847
2017-01-22,2.16,3.8,140172
2017-01-23,2.15,3.78,112039
2017-01-24,2.14,3.77,107395
2017-01-26,2.16,3.8,112392
2017-01-29,2.12,3.73,76150
2017-01-30,2.14,3.77,41399
2017-01-31,2.15,3.78,45917
2017-02-01,2.17,3.82,5215
2017-02-02,2.2,3.87,295759
2017-02-05,2.16,3.8,75521
2017-02-06,2.15,3.78,148626
2017-02-07,2.15,3.78,88516
2017-02-08,2.17,3.82,182473
2017-02-09,2.16,3.8,118874
2017-02-12,2.14,3.77,172406
2017-02-13,2.16,3.81,76238
2017-02-14,2.16,3.81,129916
2017-02-15,2.17,3.82,148989
2017-02-16,2.17,3.82,130997
2017-02-19,2.2,3.87,146705
2017-02-20,2.19,3.86,100725
2017-02-21,2.19,3.85,73828
2017-02-22,2.2,3.88,361294
2017-02-23,2.21,3.89,146108
2017-02-26,2.2,3.88,147202
2017-02-27,2.21,3.89,251992
2017-02-28,2.21,3.89,104646
2017-03-01,2.18,3.83,127305
2017-03-02,2.2,3.87,279907
2017-03-05,2.21,3.9,145791
2017-03-06,2.21,3.89,177997
2017-03-07,2.21,3.9,262268
2017-03-08,2.18,3.83,646018
2017-03-09,2.17,3.82,628139
2017-03-12,2.16,3.8,183230
2017-03-13,2.21,3.89,1192910
2017-03-14,2.21,3.89,904571
2017-03-15,2.21,3.89,565524
2017-03-16,2.24,3.95,7145729
2017-03-19,2.21,3.89,224363
2017-03-20,2.21,3.89,43885
2017-03-21,2.2,3.87,76435
2017-03-22,2.21,3.89,168712
2017-03-23,2.23,3.92,209874
2017-03-26,2.24,3.94,60249
2017-03-27,2.23,3.92,65990
2017-03-28,2.23,3.92,78155
2017-03-29,2.23,3.86,81240
2017-03-30,2.25,3.9,107487
2017-04-03,2.25,3.9,152196
2017-04-04,2.24,3.89,135373
2017-04-05,2.25,3.9,97239
2017-04-06,2.23,3.87,73606
2017-04-07,2.26,3.92,173747
2017-04-10,2.26,3.91,111128
2017-04-11,2.24,3.89,218376
2017-04-12,2.26,3.91,343426
2017-04-13,2.26,3.91,569954
