date,adjusted_close,close,volume
2016-01-07,0.08,0.08,3501663
2016-01-10,0.08,0.08,783249
2016-01-11,0.08,0.08,1327183
2016-01-12,0.08,0.08,2941652
2016-01-13,0.08,0.08,3365769
2016-01-14,0.08,0.08,1435385
2016-01-17,0.08,0.08,2509579
2016-01-18,0.08,0.08,632889
2016-01-19,0.08,0.08,1063063
2016-01-20,0.08,0.08,1768879
2016-01-21,0.08,0.08,391904
2016-01-24,0.08,0.08,1254127
2016-01-26,0.08,0.08,0
2016-01-27,0.09,0.09,5658106
2016-01-28,0.08,0.08,1876035
2016-01-31,0.08,0.08,1075343
2016-02-01,0.08,0.08,1296809
2016-02-02,0.08,0.08,1553781
2016-02-03,0.08,0.08,769627
2016-02-04,0.08,0.08,490897
2016-02-07,0.08,0.08,1425268
2016-02-08,0.08,0.08,837741
2016-02-09,0.08,0.08,757210
2016-02-10,0.08,0.08,559340
2016-02-11,0.08,0.08,703558
2016-02-14,0.08,0.08,1107682
2016-02-15,0.08,0.08,1436192
2016-02-16,0.08,0.08,414634
2016-02-17,0.08,0.08,3301922
2016-02-18,0.07,0.07,2101012
2016-02-21,0.07,0.07,1099679
2016-02-22,0.08,0.08,2797018
2016-02-23,0.07,0.07,1877650
2016-02-24,0.07,0.07,2165346
2016-02-25,0.07,0.07,353900
2016-02-28,0.07,0.07,309990
2016-02-29,0.07,0.07,1045542
2016-03-01,0.08,0.08,5088788
2016-03-02,0.08,0.08,1811223
2016-03-03,0.08,0.08,1348479
2016-03-06,0.08,0.08,1820145
2016-03-07,0.08,0.08,2613299
2016-03-08,0.08,0.08,1119024
2016-03-09,0.08,0.08,1262259
2016-03-10,0.09,0.09,819572
2016-03-13,0.09,0.09,1250875
2016-03-14,0.08,0.08,3668172
2016-03-15,0.08,0.08,1372304
2016-03-16,0.08,0.08,6515214
2016-03-17,0.09,0.09,2096790
2016-03-20,0.08,0.08,1855296
2016-03-21,0.08,0.08,1329011
2016-03-22,0.08,0.08,1897135
2016-03-23,0.08,0.08,1696621
2016-03-28,0.08,0.08,382185
2016-03-29,0.08,0.08,815773
2016-03-30,0.08,0.08,571212
2016-03-31,0.08,0.08,1615076
2016-04-01,0.1,0.1,135046750
2016-04-04,0.08,0.08,2032460
2016-04-05,0.08,0.08,1685274
2016-04-06,0.08,0.08,986839
2016-04-07,0.08,0.08,884111
2016-04-08,0.08,0.08,1397501
2016-04-11,0.08,0.08,1110685
2016-04-12,0.08,0.08,2397056
2016-04-13,0.08,0.08,1883902
2016-04-14,0.08,0.08,405866
2016-04-15,0.09,0.09,2455102
